case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p050_mixed_damage,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,568516,0,0,754,754,39368,8.8076,6.6745,0.8037471771240234,0.9670178890228271,0.1632707118988037,0.3954562842845917,0.9045246839523315,0.5090683996677399,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p014_mixed_damage,p014,landscape_natural,Landscape on a River,p014_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,527076,0,20,726,746,45810,13.7123,7.7667,0.8052594661712646,0.9654538035392761,0.16019433736801147,0.3331441879272461,0.8014734983444214,0.4683293104171753,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p048_mixed_damage,p048,high_texture_brushwork,A Farm in Brittany,p048_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,589824,0,0,768,768,52192,11.0862,8.8487,0.8208789825439453,0.9846363067626953,0.16375732421875,0.4098643660545349,0.8761286735534668,0.4662643074989319,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p014_scratch_thin,p014,landscape_natural,Landscape on a River,p014_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,301401,219,109,768,658,8107,2.4267,1.3745,0.8565492630004883,0.9974125623703003,0.140863299369812,0.6256421804428101,0.9983271956443787,0.3726850152015686,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p027_mixed_damage,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,p027_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,541696,0,15,736,751,44664,9.6766,7.5724,0.7802484035491943,0.958137035369873,0.1778886318206787,0.5743319988250732,0.9191585779190063,0.3448265790939331,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p044_scratch_thin,p044,high_texture_brushwork,Versailles,p044_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,589824,0,0,768,768,10331,2.0986,1.7515,0.8743039965629578,0.999619722366333,0.12531572580337524,0.6628749966621399,0.9977720975875854,0.33489710092544556,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p015_scratch_thin,p015,landscape_natural,Landscape,p015_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,589824,0,0,768,768,8234,1.9423,1.396,0.919958233833313,0.9998044967651367,0.07984626293182373,0.665026843547821,0.9994256496429443,0.3343988060951233,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p050_scratch_thin,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,589824,0,0,768,768,11991,2.6827,2.033,0.820162296295166,0.9991500377655029,0.17898774147033691,0.6756763458251953,0.997313916683197,0.3216375708580017,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p041_scratch_thin,p041,high_texture_brushwork,Wheat Field with Cypresses,p041_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,589824,0,0,768,768,11793,2.5132,1.9994,0.89035964012146,0.9993387460708618,0.10897910594940186,0.6784182786941528,0.9975597858428955,0.3191415071487427,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p014_loss_small,p014,landscape_natural,Landscape on a River,p014_loss_small,loss_small,opencv_telea,mask_bbox_crop,274576,148,130,672,654,18677,5.5906,3.1665,0.8788615465164185,0.9964719414710999,0.1176103949546814,0.656363308429718,0.9687113165855408,0.31234800815582275,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
