case_id,painting_id,category,title,mask_id,mask_type,model_name,selection_group,figure_filename,figure_path,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked,status,issue
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,all_lama_cases,p001_loss_large_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p001_loss_large_lama_error_maps.png,589824,67242,25.058496475219727,1.1159248352050781,23.942569732666016,251.0,134.0,-48.666664123535156,247.3333282470703,219.80459594726562,9.7885160446167,210.01609802246094,84,67156,2,0.12492192379762648,99.87210374468339,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,lama,all_lama_cases,p001_loss_small_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p001_loss_small_lama_error_maps.png,589824,24198,8.864421844482422,0.1185302734375,8.745891571044922,247.0,34.0,0.0,244.0,216.06947326660156,2.889164447784424,213.18028259277344,0,24198,0,0.0,100.0,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,lama,all_lama_cases,p001_mixed_damage_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p001_mixed_damage_lama_error_maps.png,589824,44392,16.894121170043945,0.6450386643409729,16.24907684326172,255.0,102.33333587646484,0.0,255.0,224.4674072265625,8.57044792175293,215.89694213867188,0,44392,0,0.0,100.0,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,lama,all_lama_cases,p001_scratch_thin_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p001_scratch_thin_lama_error_maps.png,589824,8012,2.9604079723358154,0.08796127140522003,2.8724465370178223,255.0,88.0,0.0,255.0,217.9380645751953,6.475494861602783,211.46255493164062,0,8012,0,0.0,100.0,ok,
p001_zero_control,p001,portrait_figure,Juan de Pareja,p001_zero_control,zero_control,lama,all_lama_cases,p001_zero_control_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p001_zero_control_lama_error_maps.png,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,,,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,lama,all_lama_cases,p002_loss_large_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p002_loss_large_lama_error_maps.png,589824,49705,19.01308822631836,0.5440995693206787,18.4689884185791,255.0,54.66666793823242,0.0,255.0,225.61866760253906,6.4565534591674805,219.162109375,0,49705,0,0.0,100.0,ok,
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_small,loss_small,lama,all_lama_cases,p002_loss_small_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p002_loss_small_lama_error_maps.png,589824,19520,7.000389099121094,0.12497401237487793,6.875414848327637,255.0,82.0,0.0,255.0,211.52650451660156,3.776263952255249,207.75027465820312,0,19520,0,0.0,100.0,ok,
p002_mixed_damage,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_mixed_damage,mixed_damage,lama,all_lama_cases,p002_mixed_damage_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p002_mixed_damage_lama_error_maps.png,589824,42027,15.125449180603027,0.4190549850463867,14.706398963928223,255.0,167.0,-100.66666412353516,255.0,212.27674865722656,5.881187438964844,206.3955535888672,104,41923,0,0.24745996621219693,99.75254003378781,ok,
p002_scratch_thin,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_scratch_thin,scratch_thin,lama,all_lama_cases,p002_scratch_thin_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p002_scratch_thin_lama_error_maps.png,589824,8436,3.17604660987854,0.03478269279003143,3.141263723373413,255.0,57.66666793823242,0.0,255.0,222.06121826171875,2.4319188594818115,219.62928771972656,0,8436,0,0.0,100.0,ok,
p002_zero_control,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_zero_control,zero_control,lama,all_lama_cases,p002_zero_control_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p002_zero_control_lama_error_maps.png,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,,,ok,
