case_id,painting_id,category,title,mask_id,mask_type,model_name,selection_group,figure_filename,figure_path,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked,status,issue
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,opencv_telea,all_opencv_cases,p001_loss_large_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p001_loss_large_opencv_telea_error_maps.png,589824,67242,25.058494567871094,2.166396379470825,22.89209747314453,251.0,150.0,-65.33333587646484,245.6666717529297,219.8046112060547,19.00289535522461,200.80169677734375,99,67140,3,0.14722941019005978,99.84830909253145,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,opencv_telea,all_opencv_cases,p001_loss_small_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p001_loss_small_opencv_telea_error_maps.png,589824,24198,8.864421844482422,0.14584462344646454,8.71857738494873,247.0,57.33333206176758,0.0,244.3333282470703,216.06947326660156,3.5549492835998535,212.51451110839844,0,24198,0,0.0,100.0,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,opencv_telea,all_opencv_cases,p001_mixed_damage_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p001_mixed_damage_opencv_telea_error_maps.png,589824,44392,16.894119262695312,0.5904297828674316,16.30368995666504,255.0,96.66666412353516,0.0,255.0,224.4674072265625,7.844874382019043,216.62254333496094,0,44392,0,0.0,100.0,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,opencv_telea,all_opencv_cases,p001_scratch_thin_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p001_scratch_thin_opencv_telea_error_maps.png,589824,8012,2.9604082107543945,0.0890858992934227,2.871321678161621,255.0,85.0,0.0,255.0,217.9380645751953,6.558287143707275,211.37977600097656,0,8012,0,0.0,100.0,ok,
p001_zero_control,p001,portrait_figure,Juan de Pareja,p001_zero_control,zero_control,opencv_telea,all_opencv_cases,p001_zero_control_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p001_zero_control_opencv_telea_error_maps.png,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,,,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,opencv_telea,all_opencv_cases,p002_loss_large_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p002_loss_large_opencv_telea_error_maps.png,589824,49705,19.01308822631836,1.0010874271392822,18.012001037597656,255.0,100.0,0.0,255.0,225.61866760253906,11.879395484924316,213.73928833007812,0,49705,0,0.0,100.0,ok,
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_small,loss_small,opencv_telea,all_opencv_cases,p002_loss_small_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p002_loss_small_opencv_telea_error_maps.png,589824,19520,7.000389575958252,0.1689063161611557,6.831483364105225,255.0,56.66666793823242,0.0,254.0,211.52650451660156,5.1037397384643555,206.42279052734375,0,19520,0,0.0,100.0,ok,
p002_mixed_damage,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_mixed_damage,mixed_damage,opencv_telea,all_opencv_cases,p002_mixed_damage_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p002_mixed_damage_opencv_telea_error_maps.png,589824,42027,15.125452995300293,0.6668051481246948,14.458646774291992,255.0,151.3333282470703,-66.66666412353516,255.0,212.2767333984375,9.358214378356934,202.91854858398438,37,41990,0,0.08803864182549313,99.91196135817451,ok,
p002_scratch_thin,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_scratch_thin,scratch_thin,opencv_telea,all_opencv_cases,p002_scratch_thin_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p002_scratch_thin_opencv_telea_error_maps.png,589824,8436,3.176046133041382,0.04552488029003143,3.130521297454834,255.0,93.33333587646484,0.0,255.0,222.0612030029297,3.182985544204712,218.87823486328125,0,8436,0,0.0,100.0,ok,
p002_zero_control,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_zero_control,zero_control,opencv_telea,all_opencv_cases,p002_zero_control_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p002_zero_control_opencv_telea_error_maps.png,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,,,ok,
p003_loss_large,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_loss_large,loss_large,opencv_telea,all_opencv_cases,p003_loss_large_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p003_loss_large_opencv_telea_error_maps.png,589824,48196,14.352445602416992,1.6324514150619507,12.719995498657227,233.6666717529297,122.66666412353516,-33.33332824707031,226.3333282470703,175.64566040039062,19.977985382080078,155.66766357421875,32,48164,0,0.06639555149804963,99.93360444850195,ok,
p003_loss_small,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_loss_small,loss_small,opencv_telea,all_opencv_cases,p003_loss_small_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p003_loss_small_opencv_telea_error_maps.png,589824,20912,6.563358783721924,0.4320322573184967,6.131326675415039,240.3333282470703,101.66666412353516,0.0,229.3333282470703,185.11985778808594,12.185491561889648,172.9343719482422,0,20912,0,0.0,100.0,ok,
p003_mixed_damage,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_mixed_damage,mixed_damage,opencv_telea,all_opencv_cases,p003_mixed_damage_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p003_mixed_damage_opencv_telea_error_maps.png,589824,48680,14.923136711120605,1.2129584550857544,13.71017837524414,255.0,133.6666717529297,-60.66667175292969,249.0,180.81396484375,14.69663143157959,166.11734008789062,66,48612,2,0.13557929334428925,99.86031224322105,ok,
p003_scratch_thin,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_scratch_thin,scratch_thin,opencv_telea,all_opencv_cases,p003_scratch_thin_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p003_scratch_thin_opencv_telea_error_maps.png,589824,10496,3.3610823154449463,0.11575938761234283,3.2453229427337646,255.0,122.0,-66.0,232.0,188.87643432617188,6.505112648010254,182.37132263183594,21,10474,1,0.20007621951219512,99.79039634146342,ok,
p003_zero_control,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_zero_control,zero_control,opencv_telea,all_opencv_cases,p003_zero_control_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p003_zero_control_opencv_telea_error_maps.png,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,,,ok,
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_large,loss_large,opencv_telea,all_opencv_cases,p004_loss_large_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p004_loss_large_opencv_telea_error_maps.png,589824,56801,17.957366943359375,3.2103569507598877,14.74700927734375,240.6666717529297,177.0,-62.33333206176758,235.33334350585938,186.47006225585938,33.33648681640625,153.13357543945312,122,56676,3,0.2147849509691731,99.77993345187585,ok,
