case_id,painting_id,category,title,mask_id,mask_type,model_name,selection_group,figure_filename,figure_path,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked,status,issue
p006_loss_large,p006,portrait_figure,Boy with a Sword,p006_loss_large,loss_large,lama,strongest_masked_mse_improvement,p006_loss_large_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\selected_cases\strongest_masked_mse_improvement\p006_loss_large_lama_error_maps.png,589824,51891,20.052406311035156,0.5944247245788574,19.457983016967773,253.6666717529297,106.33333587646484,0.0,240.6666717529297,227.92758178710938,6.756586074829102,221.17098999023438,0,51891,0,0.0,100.0,ok,
p006_mixed_damage,p006,portrait_figure,Boy with a Sword,p006_mixed_damage,mixed_damage,lama,strongest_masked_mse_improvement,p006_mixed_damage_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\selected_cases\strongest_masked_mse_improvement\p006_mixed_damage_lama_error_maps.png,589824,44236,17.0333251953125,0.2350870817899704,16.79823875427246,255.0,68.0,0.0,255.0,227.1151580810547,3.1345510482788086,223.98057556152344,0,44236,0,0.0,100.0,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,lama,strongest_masked_mse_improvement,p002_loss_large_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\selected_cases\strongest_masked_mse_improvement\p002_loss_large_lama_error_maps.png,589824,49705,19.01308822631836,0.5440995693206787,18.4689884185791,255.0,54.66666793823242,0.0,255.0,225.61866760253906,6.4565534591674805,219.162109375,0,49705,0,0.0,100.0,ok,
p006_scratch_thin,p006,portrait_figure,Boy with a Sword,p006_scratch_thin,scratch_thin,lama,strongest_masked_mse_improvement,p006_scratch_thin_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\selected_cases\strongest_masked_mse_improvement\p006_scratch_thin_lama_error_maps.png,589824,13053,4.960737228393555,0.0624864287674427,4.898251056671143,255.0,57.33333206176758,0.0,255.0,224.1601104736328,2.8235654830932617,221.3365478515625,0,13053,0,0.0,100.0,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,lama,strongest_masked_mse_improvement,p001_mixed_damage_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\selected_cases\strongest_masked_mse_improvement\p001_mixed_damage_lama_error_maps.png,589824,44392,16.894121170043945,0.6450386643409729,16.24907684326172,255.0,102.33333587646484,0.0,255.0,224.4674072265625,8.57044792175293,215.89694213867188,0,44392,0,0.0,100.0,ok,
p036_loss_large,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_large,loss_large,lama,weakest_masked_mse_improvement,p036_loss_large_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\selected_cases\weakest_masked_mse_improvement\p036_loss_large_lama_error_maps.png,589824,92174,7.244572162628174,3.52787184715271,3.7166993618011475,255.0,222.0,-189.3333282470703,255.0,46.358219146728516,22.574951171875,23.783266067504883,9836,82297,41,10.671122008375464,89.28439690151235,ok,
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_scratch_thin,scratch_thin,lama,weakest_masked_mse_improvement,p036_scratch_thin_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\selected_cases\weakest_masked_mse_improvement\p036_scratch_thin_lama_error_maps.png,589824,13905,0.6917645335197449,0.056168727576732635,0.6355957984924316,255.0,144.0,-102.66667175292969,255.0,29.343351364135742,2.3825724124908447,26.960783004760742,10,13895,0,0.0719165767709457,99.92808342322905,ok,
p032_mixed_damage,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_mixed_damage,mixed_damage,lama,weakest_masked_mse_improvement,p032_mixed_damage_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\selected_cases\weakest_masked_mse_improvement\p032_mixed_damage_lama_error_maps.png,589824,51647,3.56558895111084,0.3242233395576477,3.241366147994995,244.0,87.0,-31.33333396911621,239.6666717529297,40.7200813293457,3.702725410461426,37.017356872558594,51,51594,2,0.09874726508800123,99.89738029314384,ok,
p036_loss_small,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_small,loss_small,lama,weakest_masked_mse_improvement,p036_loss_small_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\selected_cases\weakest_masked_mse_improvement\p036_loss_small_lama_error_maps.png,589824,18062,1.1337370872497559,0.0631205141544342,1.0706167221069336,255.0,30.33333396911621,0.0,254.3333282470703,37.02277755737305,2.0612335205078125,34.96154022216797,0,18062,0,0.0,100.0,ok,
p020_loss_small,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_loss_small,loss_small,lama,weakest_masked_mse_improvement,p020_loss_small_lama_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\selected_cases\weakest_masked_mse_improvement\p020_loss_small_lama_error_maps.png,589824,13227,1.3968043327331543,0.19704578816890717,1.1997582912445068,178.0,137.6666717529297,-103.0,159.0,62.286888122558594,8.786749839782715,53.50014114379883,121,13102,4,0.9147954940651697,99.0549633325773,ok,
