case_id,painting_id,category,title,mask_id,mask_type,model_name,selection_group,figure_filename,figure_path,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked,status,issue
p032_loss_large,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_large,loss_large,stable_diffusion_inpainting,,p032_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p032_loss_large_stable_diffusion_inpainting_error_maps.png,589824,88089,9.137643814086914,5.566995620727539,3.570648193359375,241.6666717529297,196.0,-170.3333282470703,237.6666717529297,61.18359375,8.177399635314941,53.006187438964844,1025,87028,36,1.1635959086832635,98.79553633257274,ok,
p036_loss_large,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_large,loss_large,stable_diffusion_inpainting,,p036_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p036_loss_large_stable_diffusion_inpainting_error_maps.png,589824,92174,7.244572162628174,11.263019561767578,-4.01845121383667,255.0,235.3333282470703,-215.66665649414062,255.0,46.358219146728516,39.67801284790039,6.680202484130859,15521,76630,23,16.83880486905201,83.13624232429969,ok,
p037_loss_large,p037,abstraction_surrealism,In the Sea,p037_loss_large,loss_large,stable_diffusion_inpainting,,p037_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p037_loss_large_stable_diffusion_inpainting_error_maps.png,589824,47216,14.214847564697266,5.924378871917725,8.290470123291016,246.0,172.0,-107.0,239.33334350585938,177.5723876953125,23.200796127319336,154.37159729003906,17,47197,2,0.03600474415452389,99.959759403592,ok,
p032_loss_small,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_small,loss_small,stable_diffusion_inpainting,,p032_loss_small_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p032_loss_small_stable_diffusion_inpainting_error_maps.png,589824,24362,2.7865476608276367,5.2540693283081055,-2.4675211906433105,241.0,112.0,-112.0,238.3333282470703,67.46461486816406,6.8647074699401855,60.599910736083984,202,24153,7,0.8291601674739348,99.14210655939578,ok,
p035_loss_small,p035,abstraction_surrealism,The Bewitched Mill,p035_loss_small,loss_small,stable_diffusion_inpainting,,p035_loss_small_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p035_loss_small_stable_diffusion_inpainting_error_maps.png,589824,13591,3.401252031326294,7.705925941467285,-4.304672718048096,225.0,148.0,-146.3333282470703,222.0,147.60800170898438,23.98209571838379,123.62590026855469,120,13468,3,0.8829372378780075,99.09498933117504,ok,
p036_loss_small,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_small,loss_small,stable_diffusion_inpainting,,p036_loss_small_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p036_loss_small_stable_diffusion_inpainting_error_maps.png,589824,18062,1.1337370872497559,6.210129737854004,-5.0763936042785645,255.0,118.0,-118.0,253.0,37.02277755737305,7.111191272735596,29.911582946777344,7,18055,0,0.03875539807330307,99.96124460192671,ok,
p040_loss_small,p040,abstraction_surrealism,Houses at Murnau,p040_loss_small,loss_small,stable_diffusion_inpainting,,p040_loss_small_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p040_loss_small_stable_diffusion_inpainting_error_maps.png,589824,23305,6.408724308013916,9.385607719421387,-2.9768810272216797,220.6666717529297,156.6666717529297,-156.6666717529297,214.33334350585938,162.19778442382812,24.310077667236328,137.88771057128906,150,23153,2,0.6436387041407423,99.34777944647072,ok,
p032_mixed_damage,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_mixed_damage,mixed_damage,stable_diffusion_inpainting,,p032_mixed_damage_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p032_mixed_damage_stable_diffusion_inpainting_error_maps.png,589824,51647,3.56558895111084,7.910440444946289,-4.344851016998291,244.0,202.6666717529297,-180.0,241.0,40.7200813293457,15.60427474975586,25.11580467224121,4396,47203,48,8.51162700640889,91.39543439115533,ok,
p036_mixed_damage,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_mixed_damage,mixed_damage,stable_diffusion_inpainting,,p036_mixed_damage_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p036_mixed_damage_stable_diffusion_inpainting_error_maps.png,589824,47780,3.4369843006134033,7.755521774291992,-4.318536281585693,255.0,228.6666717529297,-208.6666717529297,255.0,42.42812728881836,21.388349533081055,21.039777755737305,5840,41925,15,12.222687316868983,87.74591879447468,ok,
p039_mixed_damage,p039,abstraction_surrealism,Painting with Troika,p039_mixed_damage,mixed_damage,stable_diffusion_inpainting,,p039_mixed_damage_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p039_mixed_damage_stable_diffusion_inpainting_error_maps.png,589824,40658,11.868009567260742,8.588427543640137,3.2795825004577637,226.6666717529297,161.0,-161.0,218.3333282470703,172.1687469482422,26.115745544433594,146.05299377441406,578,40079,1,1.4216144424221555,98.57592601702002,ok,
p032_scratch_thin,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_scratch_thin,scratch_thin,stable_diffusion_inpainting,,p032_scratch_thin_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p032_scratch_thin_stable_diffusion_inpainting_error_maps.png,589824,14929,1.4413422346115112,7.271642208099365,-5.8302998542785645,242.3333282470703,190.6666717529297,-188.3333282470703,237.3333282470703,56.9454345703125,66.25721740722656,-9.311788558959961,8411,6492,26,56.34000937772121,43.485832942594946,ok,
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_scratch_thin,scratch_thin,stable_diffusion_inpainting,,p036_scratch_thin_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p036_scratch_thin_stable_diffusion_inpainting_error_maps.png,589824,13905,0.6917645335197449,7.85820198059082,-7.166436195373535,255.0,196.6666717529297,-188.0,254.33334350585938,29.343351364135742,90.69157409667969,-61.34822082519531,12116,1775,14,87.13412441567782,12.765192376842863,ok,
p040_scratch_thin,p040,abstraction_surrealism,Houses at Murnau,p040_scratch_thin,scratch_thin,stable_diffusion_inpainting,,p040_scratch_thin_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p040_scratch_thin_stable_diffusion_inpainting_error_maps.png,589824,12885,3.4951999187469482,10.161872863769531,-6.666672229766846,217.6666717529297,152.3333282470703,-152.3333282470703,211.0,159.996337890625,42.94758987426758,117.04873657226562,7,12878,0,0.0543267365153279,99.94567326348466,ok,
p029_loss_large,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",p029_loss_large,loss_large,stable_diffusion_inpainting,,p029_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p029_loss_large_stable_diffusion_inpainting_error_maps.png,589824,39135,10.428811073303223,7.797709941864014,2.63110089302063,226.3333282470703,162.6666717529297,-162.6666717529297,198.66665649414062,157.17807006835938,23.24852180480957,133.9295196533203,139,38995,1,0.3551807844640347,99.64226395809378,ok,
p030_loss_large,p030,architecture_structured,Interior with Five Women,p030_loss_large,loss_large,stable_diffusion_inpainting,,p030_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p030_loss_large_stable_diffusion_inpainting_error_maps.png,589824,49329,14.50261402130127,5.906157970428467,8.596455574035645,235.3333282470703,166.3333282470703,-121.66666412353516,227.0,173.4069061279297,24.96295738220215,148.4439697265625,197,49132,0,0.39935940319082086,99.60064059680917,ok,
