selection_group,mask_type,category,masked_pixel_count,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,positive_improvement_percentage_masked,negative_improvement_percentage_masked
strongest_masked_mse_improvement,loss_large,portrait_figure,51891,227.92758178710938,6.756586074829102,221.17098999023438,100.0,0.0
strongest_masked_mse_improvement,mixed_damage,portrait_figure,44236,227.1151580810547,3.1345510482788086,223.98057556152344,100.0,0.0
strongest_masked_mse_improvement,loss_large,portrait_figure,49705,225.61866760253906,6.4565534591674805,219.162109375,100.0,0.0
strongest_masked_mse_improvement,scratch_thin,portrait_figure,13053,224.1601104736328,2.8235654830932617,221.3365478515625,100.0,0.0
strongest_masked_mse_improvement,mixed_damage,portrait_figure,44392,224.4674072265625,8.57044792175293,215.89694213867188,100.0,0.0
weakest_masked_mse_improvement,loss_large,abstraction_surrealism,92174,46.358219146728516,22.574951171875,23.783266067504883,89.28439690151235,10.671122008375464
weakest_masked_mse_improvement,scratch_thin,abstraction_surrealism,13905,29.343351364135742,2.3825724124908447,26.960783004760742,99.92808342322905,0.0719165767709457
weakest_masked_mse_improvement,mixed_damage,abstraction_surrealism,51647,40.7200813293457,3.702725410461426,37.017356872558594,99.89738029314384,0.09874726508800123
weakest_masked_mse_improvement,loss_small,abstraction_surrealism,18062,37.02277755737305,2.0612335205078125,34.96154022216797,100.0,0.0
weakest_masked_mse_improvement,loss_small,landscape_natural,13227,62.286888122558594,8.786749839782715,53.50014114379883,99.0549633325773,0.9147954940651697
representative_mixed_damage_abstraction_surrealism,mixed_damage,abstraction_surrealism,44266,146.7521514892578,18.76777458190918,127.98439025878906,98.94727330230877,1.0459494871910722
representative_mixed_damage_architecture_structured,mixed_damage,architecture_structured,50041,150.00669860839844,11.26882553100586,138.73788452148438,99.99000819328151,0.009991806718490839
representative_mixed_damage_high_texture_brushwork,mixed_damage,high_texture_brushwork,46861,173.28076171875,12.412880897521973,160.86788940429688,99.76739719596253,0.2283348626789868
representative_mixed_damage_landscape_natural,mixed_damage,landscape_natural,44361,150.50926208496094,7.973407745361328,142.53587341308594,100.0,0.0
representative_mixed_damage_portrait_figure,mixed_damage,portrait_figure,38316,189.6245574951172,18.676593780517578,170.9479522705078,99.49890385217664,0.4958763962835369
zero_control_sanity_check,zero_control,portrait_figure,0,,,,,
