case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,full_image,589824,0,0,768,768,67242,13.2058,11.4003,0.9320405125617981,0.9938108921051025,0.06177037954330444,0.7962193489074707,0.9844505190849304,0.18823117017745972,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,content_region,509184,52,0,715,768,67242,13.2058,11.4003,0.9169899225234985,0.9935957193374634,0.07660579681396484,0.7902950048446655,0.9815056324005127,0.19121062755584717,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,mask_bbox_crop,178929,197,314,620,737,67242,13.2058,11.4003,0.8109001517295837,0.9776870012283325,0.16678684949874878,0.7064647078514099,0.9600919485092163,0.2536272406578064,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,lama,full_image,589824,0,0,768,768,24198,4.7523,4.1026,0.9149213433265686,0.9996049404144287,0.08468359708786011,0.9354926943778992,0.9997623562812805,0.06426966190338135,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,lama,content_region,509184,52,0,715,768,24198,4.7523,4.1026,0.9208723902702332,0.999727725982666,0.07885533571243286,0.9329660534858704,0.999725878238678,0.06675982475280762,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,lama,mask_bbox_crop,471969,48,1,735,688,24198,4.7523,4.1026,0.9106937050819397,0.9998026490211487,0.08910894393920898,0.9489419460296631,0.9996321797370911,0.05069023370742798,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,lama,full_image,589824,0,0,768,768,44392,8.7183,7.5263,0.8958069086074829,0.9981958270072937,0.10238891839981079,0.7951979041099548,0.9924310445785522,0.1972331404685974,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,lama,content_region,509184,52,0,715,768,44392,8.7183,7.5263,0.904810905456543,0.9967635273933411,0.0919526219367981,0.7941329479217529,0.9911219477653503,0.1969889998435974,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,44392,8.7183,7.5263,0.8958069086074829,0.9981958270072937,0.10238891839981079,0.7951979041099548,0.9924310445785522,0.1972331404685974,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,lama,full_image,589824,0,0,768,768,8012,1.5735,1.3584,0.8579663038253784,0.9996943473815918,0.14172804355621338,0.9249415397644043,0.9995376467704773,0.074596107006073,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,lama,content_region,509184,52,0,715,768,8012,1.5735,1.3584,0.8042036890983582,0.9994970560073853,0.1952933669090271,0.9101991057395935,0.9993930459022522,0.08919394016265869,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
