feature_row_id,feature_case_id,metric_case_id,restoration_case_id,source_case_id,source_case_id_original,case_id,dataset_name,metric_applicability,painting_id,category,title,artist,style,model_name,mask_id,mask_type,metric_mask_id,metric_mask_type,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,mask_area_pixels,is_zero_control,mask_threshold_rule,mask_bbox_margin,feature_input_size,clip_model_name,clip_model_revision,dinov2_model_name,dinov2_model_revision,clean_embedding_id,damaged_embedding_id,restored_embedding_id,embedding_group_id,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,mean_similarity_improvement,metric_runtime_seconds,case_runtime_seconds,feature_similarity_schema_version,feature_similarity_implementation_name,device,python_version,numpy_version,pandas_version,pillow_version,torch_version,torchvision_version,transformers_version,status,issue
lama__canonical__canonical__p001_loss_large__full_image__feature_similarity,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_loss_large,loss_large,p001_loss_large,loss_large,full_image,589824,0,0,768,768,69018,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_loss_large__full_image__clean,lama__canonical__canonical__p001_loss_large__full_image__damaged,lama__canonical__canonical__p001_loss_large__full_image__restored,canonical__p001__full_image,0.7656404972076416,0.9061058163642883,0.14046531915664673,0.9003574848175049,0.9573915004730225,0.05703401565551758,0.09874966740608215,0.3210016000084579,0.7507311999797821,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p001_loss_large__content_region__feature_similarity,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_loss_large,loss_large,p001_loss_large,loss_large,content_region,509184,52,0,715,768,69018,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_loss_large__content_region__clean,lama__canonical__canonical__p001_loss_large__content_region__damaged,lama__canonical__canonical__p001_loss_large__content_region__restored,canonical__p001__content_region,0.7647113800048828,0.9132991433143616,0.14858776330947876,0.8845031261444092,0.951410710811615,0.06690758466720581,0.10774767398834229,0.18332990002818406,0.7507311999797821,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p001_loss_large__mask_bbox_crop__feature_similarity,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_loss_large,loss_large,p001_loss_large,loss_large,mask_bbox_crop,198025,197,0,642,445,69018,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_loss_large__mask_bbox_crop__clean,lama__canonical__canonical__p001_loss_large__mask_bbox_crop__damaged,lama__canonical__canonical__p001_loss_large__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,0.6968082785606384,0.836020827293396,0.13921254873275757,0.7667974233627319,0.9416158199310303,0.17481839656829834,0.15701547265052795,0.16347129992209375,0.7507311999797821,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p001_loss_small__full_image__feature_similarity,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_loss_small,loss_small,p001_loss_small,loss_small,full_image,589824,0,0,768,768,18239,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_loss_small__full_image__clean,lama__canonical__canonical__p001_loss_small__full_image__damaged,lama__canonical__canonical__p001_loss_small__full_image__restored,canonical__p001__full_image,0.8789300322532654,0.9897382259368896,0.11080819368362427,0.9145395755767822,0.9960082769393921,0.08146870136260986,0.09613844752311707,0.18327679997310042,0.6354278000071645,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p001_loss_small__content_region__feature_similarity,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_loss_small,loss_small,p001_loss_small,loss_small,content_region,509184,52,0,715,768,18239,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_loss_small__content_region__clean,lama__canonical__canonical__p001_loss_small__content_region__damaged,lama__canonical__canonical__p001_loss_small__content_region__restored,canonical__p001__content_region,0.8871951103210449,0.990122377872467,0.10292726755142212,0.9191185235977173,0.9970612525939941,0.07794272899627686,0.09043499827384949,0.18790280004031956,0.6354278000071645,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p001_loss_small__mask_bbox_crop__feature_similarity,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_loss_small,loss_small,p001_loss_small,loss_small,mask_bbox_crop,525625,0,23,725,748,18239,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_loss_small__mask_bbox_crop__clean,lama__canonical__canonical__p001_loss_small__mask_bbox_crop__damaged,lama__canonical__canonical__p001_loss_small__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,0.8775657415390015,0.9910340309143066,0.11346828937530518,0.9412903189659119,0.9974637627601624,0.05617344379425049,0.08482086658477783,0.1760080000385642,0.6354278000071645,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p001_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,p001_mixed_damage,canonical__p001_mixed_damage,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,full_image,589824,0,0,768,768,45733,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_mixed_damage__full_image__clean,lama__canonical__canonical__p001_mixed_damage__full_image__damaged,lama__canonical__canonical__p001_mixed_damage__full_image__restored,canonical__p001__full_image,0.6738892793655396,0.9607895016670227,0.28690022230148315,0.7721320986747742,0.9873285889625549,0.21519649028778076,0.25104835629463196,0.19513030000962317,0.6615514999721199,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p001_mixed_damage__content_region__feature_similarity,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,p001_mixed_damage,canonical__p001_mixed_damage,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,content_region,509184,52,0,715,768,45733,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_mixed_damage__content_region__clean,lama__canonical__canonical__p001_mixed_damage__content_region__damaged,lama__canonical__canonical__p001_mixed_damage__content_region__restored,canonical__p001__content_region,0.6879823207855225,0.9593481421470642,0.27136582136154175,0.7524926662445068,0.9862928986549377,0.2338002324104309,0.25258302688598633,0.1823244000552222,0.6615514999721199,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p001_mixed_damage__mask_bbox_crop__feature_similarity,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,p001_mixed_damage,canonical__p001_mixed_damage,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,mask_bbox_crop,589824,0,0,768,768,45733,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_mixed_damage__mask_bbox_crop__clean,lama__canonical__canonical__p001_mixed_damage__mask_bbox_crop__damaged,lama__canonical__canonical__p001_mixed_damage__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,0.6738892793655396,0.9607895016670227,0.28690022230148315,0.7721320986747742,0.9873285889625549,0.21519649028778076,0.25104835629463196,0.19808850006666034,0.6615514999721199,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p001_scratch_thin__full_image__feature_similarity,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,canonical__p001_scratch_thin,p001_scratch_thin,canonical__p001_scratch_thin,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_scratch_thin,scratch_thin,p001_scratch_thin,scratch_thin,full_image,589824,0,0,768,768,12058,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_scratch_thin__full_image__clean,lama__canonical__canonical__p001_scratch_thin__full_image__damaged,lama__canonical__canonical__p001_scratch_thin__full_image__restored,canonical__p001__full_image,0.7972686290740967,0.9994229674339294,0.20215433835983276,0.8988736867904663,0.9995550513267517,0.1006813645362854,0.15141785144805908,0.18028239998966455,0.6381484000012279,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
