case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,opencv_telea,full_image,589824,0,0,768,768,67242,13.2058,11.4003,0.9320404529571533,0.9672892093658447,0.035248756408691406,0.7962193489074707,0.9386806488037109,0.14246129989624023,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,opencv_telea,content_region,509184,52,0,715,768,67242,13.2058,11.4003,0.9169899821281433,0.9648141860961914,0.047824203968048096,0.7902950048446655,0.9200644493103027,0.1297694444656372,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,opencv_telea,mask_bbox_crop,178929,197,314,620,737,67242,13.2058,11.4003,0.8108999729156494,0.8080077767372131,-0.0028921961784362793,0.7064647078514099,0.7482913732528687,0.04182666540145874,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,opencv_telea,full_image,589824,0,0,768,768,24198,4.7523,4.1026,0.9149213433265686,0.9993337988853455,0.08441245555877686,0.9354926943778992,0.9984087944030762,0.062916100025177,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,opencv_telea,content_region,509184,52,0,715,768,24198,4.7523,4.1026,0.9208723902702332,0.9992572069168091,0.07838481664657593,0.9329660534858704,0.9980133771896362,0.06504732370376587,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,opencv_telea,mask_bbox_crop,471969,48,1,735,688,24198,4.7523,4.1026,0.9106937050819397,0.999297559261322,0.08860385417938232,0.9489419460296631,0.9978883266448975,0.048946380615234375,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,opencv_telea,full_image,589824,0,0,768,768,44392,8.7183,7.5263,0.8958069682121277,0.9943641424179077,0.09855717420578003,0.7951979041099548,0.9748541116714478,0.17965620756149292,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,opencv_telea,content_region,509184,52,0,715,768,44392,8.7183,7.5263,0.9048107266426086,0.9922168850898743,0.08740615844726562,0.7941329479217529,0.9747757911682129,0.18064284324645996,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,589824,0,0,768,768,44392,8.7183,7.5263,0.8958069682121277,0.9943641424179077,0.09855717420578003,0.7951979041099548,0.9748541116714478,0.17965620756149292,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,opencv_telea,full_image,589824,0,0,768,768,8012,1.5735,1.3584,0.857966423034668,0.9996324777603149,0.14166605472564697,0.9249415397644043,0.9989679455757141,0.07402640581130981,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,opencv_telea,content_region,509184,52,0,715,768,8012,1.5735,1.3584,0.8042035698890686,0.9995360374450684,0.19533246755599976,0.9101991057395935,0.998798131942749,0.08859902620315552,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
