rank_direction,rank_metric,rank_evaluation_region,rank_position,rank_metric_value,feature_row_id,feature_case_id,restoration_case_id,source_case_id,dataset_name,painting_id,category,title,artist,style,model_name,mask_type,metric_mask_type,evaluation_region,region_pixel_count,mask_area_pixels,is_zero_control,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,mean_similarity_improvement,clean_embedding_id,damaged_embedding_id,restored_embedding_id,embedding_group_id,status,issue
strongest,clip_similarity_improvement,full_image,1,0.30176597833633423,lama__canonical__canonical__p002_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p002_mixed_damage,lama__canonical__canonical__p002_mixed_damage,canonical__p002_mixed_damage,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,mixed_damage,mixed_damage,full_image,589824,34546,False,0.6968780755996704,0.9986440539360046,0.30176597833633423,0.6990557909011841,0.9964703917503357,0.2974146008491516,0.2995902895927429,lama__canonical__canonical__p002_mixed_damage__full_image__clean,lama__canonical__canonical__p002_mixed_damage__full_image__damaged,lama__canonical__canonical__p002_mixed_damage__full_image__restored,canonical__p002__full_image,ok,
strongest,clip_similarity_improvement,full_image,2,0.28690022230148315,lama__canonical__canonical__p001_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,mixed_damage,mixed_damage,full_image,589824,45733,False,0.6738892793655396,0.9607895016670227,0.28690022230148315,0.7721320986747742,0.9873285889625549,0.21519649028778076,0.25104835629463196,lama__canonical__canonical__p001_mixed_damage__full_image__clean,lama__canonical__canonical__p001_mixed_damage__full_image__damaged,lama__canonical__canonical__p001_mixed_damage__full_image__restored,canonical__p001__full_image,ok,
strongest,clip_similarity_improvement,full_image,3,0.24259895086288452,lama__canonical__canonical__p050_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p050_mixed_damage,lama__canonical__canonical__p050_mixed_damage,canonical__p050_mixed_damage,canonical,p050,high_texture_brushwork,Landscape with a Sunlit Stream,Charles-François Daubigny,,lama,mixed_damage,mixed_damage,full_image,589824,50756,False,0.7521167397499084,0.994715690612793,0.24259895086288452,0.31442761421203613,0.9874746203422546,0.6730470061302185,0.4578229784965515,lama__canonical__canonical__p050_mixed_damage__full_image__clean,lama__canonical__canonical__p050_mixed_damage__full_image__damaged,lama__canonical__canonical__p050_mixed_damage__full_image__restored,canonical__p050__full_image,ok,
strongest,clip_similarity_improvement,full_image,4,0.23923367261886597,lama__canonical__canonical__p006_scratch_thin__full_image__feature_similarity,lama__canonical__canonical__p006_scratch_thin,lama__canonical__canonical__p006_scratch_thin,canonical__p006_scratch_thin,canonical,p006,portrait_figure,Boy with a Sword,Édouard Manet,Realism / early modern French painting,lama,scratch_thin,scratch_thin,full_image,589824,12613,False,0.7604175806045532,0.9996512532234192,0.23923367261886597,0.7881960868835449,0.9990572929382324,0.2108612060546875,0.22504743933677673,lama__canonical__canonical__p006_scratch_thin__full_image__clean,lama__canonical__canonical__p006_scratch_thin__full_image__damaged,lama__canonical__canonical__p006_scratch_thin__full_image__restored,canonical__p006__full_image,ok,
strongest,clip_similarity_improvement,full_image,5,0.2257102131843567,lama__canonical__canonical__p049_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p049_mixed_damage,lama__canonical__canonical__p049_mixed_damage,canonical__p049_mixed_damage,canonical,p049,high_texture_brushwork,Peonies,Édouard Manet,Modern French painting,lama,mixed_damage,mixed_damage,full_image,589824,49278,False,0.7656948566436768,0.9914050698280334,0.2257102131843567,0.7741742134094238,0.9504607915878296,0.17628657817840576,0.20099839568138123,lama__canonical__canonical__p049_mixed_damage__full_image__clean,lama__canonical__canonical__p049_mixed_damage__full_image__damaged,lama__canonical__canonical__p049_mixed_damage__full_image__restored,canonical__p049__full_image,ok,
strongest,clip_similarity_improvement,full_image,6,0.22519057989120483,lama__canonical__canonical__p021_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p021_mixed_damage,lama__canonical__canonical__p021_mixed_damage,canonical__p021_mixed_damage,canonical,p021,architecture_structured,Interior of the Oude Kerk in Delft,Gerard Houckgeest,,lama,mixed_damage,mixed_damage,full_image,589824,49836,False,0.771545946598053,0.9967365264892578,0.22519057989120483,0.8671389818191528,0.9827162027359009,0.11557722091674805,0.17038390040397644,lama__canonical__canonical__p021_mixed_damage__full_image__clean,lama__canonical__canonical__p021_mixed_damage__full_image__damaged,lama__canonical__canonical__p021_mixed_damage__full_image__restored,canonical__p021__full_image,ok,
strongest,clip_similarity_improvement,full_image,7,0.21927696466445923,lama__canonical__canonical__p025_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p025_mixed_damage,lama__canonical__canonical__p025_mixed_damage,canonical__p025_mixed_damage,canonical,p025,architecture_structured,The Quay de Paris in Rouen,Johannes Bosboom,,lama,mixed_damage,mixed_damage,full_image,589824,44548,False,0.7736981511116028,0.992975115776062,0.21927696466445923,0.8510907888412476,0.9826157093048096,0.131524920463562,0.17540094256401062,lama__canonical__canonical__p025_mixed_damage__full_image__clean,lama__canonical__canonical__p025_mixed_damage__full_image__damaged,lama__canonical__canonical__p025_mixed_damage__full_image__restored,canonical__p025__full_image,ok,
strongest,clip_similarity_improvement,full_image,8,0.20493805408477783,lama__canonical__canonical__p029_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p029_mixed_damage,lama__canonical__canonical__p029_mixed_damage,canonical__p029_mixed_damage,canonical,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",workshop of Johannes Vinckboons,,lama,mixed_damage,mixed_damage,full_image,589824,50750,False,0.7882362604141235,0.9931743144989014,0.20493805408477783,0.8151045441627502,0.9786336421966553,0.16352909803390503,0.18423357605934143,lama__canonical__canonical__p029_mixed_damage__full_image__clean,lama__canonical__canonical__p029_mixed_damage__full_image__damaged,lama__canonical__canonical__p029_mixed_damage__full_image__restored,canonical__p029__full_image,ok,
strongest,clip_similarity_improvement,full_image,9,0.20215433835983276,lama__canonical__canonical__p001_scratch_thin__full_image__feature_similarity,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,canonical__p001_scratch_thin,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,scratch_thin,scratch_thin,full_image,589824,12058,False,0.7972686290740967,0.9994229674339294,0.20215433835983276,0.8988736867904663,0.9995550513267517,0.1006813645362854,0.15141785144805908,lama__canonical__canonical__p001_scratch_thin__full_image__clean,lama__canonical__canonical__p001_scratch_thin__full_image__damaged,lama__canonical__canonical__p001_scratch_thin__full_image__restored,canonical__p001__full_image,ok,
strongest,clip_similarity_improvement,full_image,10,0.20206254720687866,lama__canonical__canonical__p044_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p044_mixed_damage,lama__canonical__canonical__p044_mixed_damage,canonical__p044_mixed_damage,canonical,p044,high_texture_brushwork,Versailles,Auguste Renoir,Impressionism,lama,mixed_damage,mixed_damage,full_image,589824,42711,False,0.7945359349250793,0.996598482131958,0.20206254720687866,0.394756555557251,0.9753575921058655,0.5806010365486145,0.3913317918777466,lama__canonical__canonical__p044_mixed_damage__full_image__clean,lama__canonical__canonical__p044_mixed_damage__full_image__damaged,lama__canonical__canonical__p044_mixed_damage__full_image__restored,canonical__p044__full_image,ok,
