category,evaluation_region,rows,cases,median_clip_damaged_similarity,median_clip_restored_similarity,median_clip_similarity_improvement,mean_clip_damaged_similarity,mean_clip_restored_similarity,mean_clip_similarity_improvement,clip_improvement_rate,median_dinov2_damaged_similarity,median_dinov2_restored_similarity,median_dinov2_similarity_improvement,mean_dinov2_damaged_similarity,mean_dinov2_restored_similarity,mean_dinov2_similarity_improvement,dinov2_improvement_rate,mean_similarity_improvement,median_region_pixel_count
portrait_figure,full_image,82,82,0.896199,0.998056,0.092426,0.886816,0.972464,0.085647,0.780488,0.911286,0.995793,0.067441,0.89194,0.973441,0.081501,0.768293,0.083574,589824.0
portrait_figure,content_region,82,82,0.887083,0.99784,0.102942,0.885784,0.972714,0.08693,0.756098,0.920288,0.995692,0.066149,0.902632,0.971511,0.068878,0.768293,0.077904,509184.0
portrait_figure,mask_bbox_crop,72,72,0.863662,0.994424,0.123101,0.835389,0.956198,0.120809,0.861111,0.889714,0.988892,0.095989,0.831012,0.946298,0.115286,0.861111,0.118048,430361.0
landscape_natural,full_image,82,82,0.897291,0.998111,0.098137,0.908418,0.996002,0.087584,0.756098,0.912896,0.995367,0.068599,0.852854,0.988632,0.135777,0.768293,0.111681,589824.0
landscape_natural,content_region,82,82,0.883736,0.997902,0.113217,0.897917,0.9957,0.097783,0.756098,0.932896,0.995163,0.056893,0.885833,0.987869,0.102036,0.768293,0.099909,389376.0
landscape_natural,mask_bbox_crop,72,72,0.861785,0.997252,0.134678,0.849923,0.988996,0.139073,0.861111,0.827777,0.991711,0.133937,0.81192,0.968765,0.156845,0.861111,0.147959,343397.0
architecture_structured,full_image,82,82,0.891887,0.998348,0.103525,0.903533,0.992649,0.089116,0.756098,0.94414,0.995563,0.051202,0.900592,0.983492,0.0829,0.768293,0.086008,589824.0
architecture_structured,content_region,82,82,0.85833,0.998412,0.136528,0.873428,0.990331,0.116903,0.768293,0.948013,0.996268,0.043597,0.923116,0.984909,0.061793,0.756098,0.089348,406272.0
architecture_structured,mask_bbox_crop,70,70,0.853142,0.995243,0.143454,0.833326,0.979163,0.145837,0.885714,0.882155,0.988283,0.073175,0.859808,0.956716,0.096908,0.885714,0.121372,385130.5
abstraction_surrealism,full_image,82,82,0.944653,0.998582,0.050553,0.945564,0.994306,0.048742,0.756098,0.943793,0.995278,0.042151,0.927882,0.979959,0.052076,0.756098,0.050409,589824.0
abstraction_surrealism,content_region,82,82,0.943118,0.998132,0.053607,0.938479,0.994558,0.056079,0.756098,0.948314,0.995596,0.040933,0.932664,0.981483,0.048819,0.756098,0.052449,433152.0
abstraction_surrealism,mask_bbox_crop,70,70,0.927137,0.995367,0.070578,0.904342,0.981821,0.077478,0.885714,0.881148,0.986813,0.07151,0.871487,0.946248,0.074761,0.871429,0.07612,391522.5
high_texture_brushwork,full_image,82,82,0.903923,0.998066,0.090999,0.909831,0.992985,0.083154,0.756098,0.94087,0.996395,0.053876,0.892576,0.985298,0.092722,0.756098,0.087938,589824.0
high_texture_brushwork,content_region,82,82,0.887027,0.99786,0.105815,0.902298,0.991944,0.089646,0.756098,0.947475,0.996723,0.040267,0.911483,0.987409,0.075925,0.756098,0.082786,469248.0
high_texture_brushwork,mask_bbox_crop,71,71,0.850422,0.996598,0.126189,0.850848,0.975608,0.12476,0.873239,0.879833,0.991807,0.068851,0.838567,0.957129,0.118562,0.859155,0.121661,332929.0
