category,evaluation_region,rows,cases,mean_clip_damaged_similarity,mean_clip_restored_similarity,mean_clip_similarity_improvement,median_clip_similarity_improvement,clip_improvement_rate,mean_dinov2_damaged_similarity,mean_dinov2_restored_similarity,mean_dinov2_similarity_improvement,median_dinov2_similarity_improvement,dinov2_improvement_rate,mean_region_pixel_count
abstraction_surrealism,content_region,50,50,0.93406,0.99611,0.06205,0.05804,0.8,0.92953,0.98697,0.05744,0.05059,0.8,506419.2
abstraction_surrealism,full_image,50,50,0.93469,0.99582,0.06113,0.05678,0.8,0.92479,0.98717,0.06238,0.04681,0.8,589824.0
abstraction_surrealism,mask_bbox_crop,40,40,0.90277,0.99053,0.08776,0.07268,1.0,0.87714,0.9683,0.09116,0.076,1.0,467135.45
architecture_structured,content_region,50,50,0.87054,0.99488,0.12434,0.14132,0.8,0.91166,0.98568,0.07402,0.04912,0.8,437760.0
architecture_structured,full_image,50,50,0.89898,0.99522,0.09624,0.09935,0.8,0.90061,0.98676,0.08615,0.05085,0.78,589824.0
architecture_structured,mask_bbox_crop,40,40,0.83654,0.98825,0.15171,0.14883,1.0,0.86804,0.97118,0.10315,0.0793,1.0,404083.95
high_texture_brushwork,content_region,50,50,0.89607,0.99398,0.0979,0.10436,0.8,0.85989,0.98313,0.12323,0.09159,0.78,458803.2
high_texture_brushwork,full_image,50,50,0.9059,0.99508,0.08918,0.0912,0.8,0.8342,0.98416,0.14996,0.08925,0.78,589824.0
high_texture_brushwork,mask_bbox_crop,40,40,0.84712,0.98773,0.14061,0.13801,1.0,0.78922,0.96435,0.17513,0.13785,0.975,427452.45
landscape_natural,content_region,50,50,0.89073,0.99586,0.10513,0.12591,0.8,0.82414,0.98721,0.16308,0.117,0.8,413030.4
landscape_natural,full_image,50,50,0.90569,0.99702,0.09133,0.09841,0.8,0.7922,0.98833,0.19613,0.15285,0.8,589824.0
landscape_natural,mask_bbox_crop,40,40,0.85199,0.99033,0.13834,0.14968,1.0,0.74221,0.97156,0.22934,0.20574,1.0,428443.175
portrait_figure,content_region,50,50,0.89682,0.9949,0.09808,0.09438,0.8,0.88536,0.98633,0.10098,0.07542,0.8,457267.2
portrait_figure,full_image,50,50,0.90207,0.99477,0.0927,0.08805,0.8,0.87353,0.98668,0.11315,0.08947,0.8,589824.0
portrait_figure,mask_bbox_crop,40,40,0.86434,0.98707,0.12274,0.11907,1.0,0.825,0.96762,0.14262,0.12274,1.0,447260.925
