dataset_name,evaluation_region,rows,cases,median_clip_damaged_similarity,median_clip_restored_similarity,median_clip_similarity_improvement,mean_clip_damaged_similarity,mean_clip_restored_similarity,mean_clip_similarity_improvement,clip_improvement_rate,median_dinov2_damaged_similarity,median_dinov2_restored_similarity,median_dinov2_similarity_improvement,mean_dinov2_damaged_similarity,mean_dinov2_restored_similarity,mean_dinov2_similarity_improvement,dinov2_improvement_rate,mean_similarity_improvement,median_region_pixel_count
canonical,full_image,250,250,0.905123,0.998683,0.089419,0.904743,0.993469,0.088726,0.8,0.904614,0.996279,0.076921,0.868943,0.986815,0.117872,0.8,0.103299,589824.0
canonical,content_region,250,250,0.887993,0.998349,0.10271,0.893134,0.992978,0.099844,0.8,0.918759,0.996157,0.066962,0.889143,0.98699,0.097847,0.8,0.098846,446208.0
canonical,mask_bbox_crop,200,200,0.863144,0.997111,0.129401,0.845612,0.983047,0.137435,1.0,0.850391,0.992356,0.120055,0.807205,0.965288,0.158084,1.0,0.147759,474038.5
damage_size,full_image,35,35,0.88979,0.992746,0.101654,0.877334,0.975362,0.098028,1.0,0.953922,0.983979,0.031115,0.934535,0.977801,0.043266,1.0,0.070647,589824.0
damage_size,content_region,35,35,0.863511,0.990962,0.11262,0.856524,0.975711,0.119187,1.0,0.953623,0.987117,0.02518,0.938462,0.976867,0.038405,1.0,0.078796,433152.0
damage_size,mask_bbox_crop,35,35,0.709377,0.952833,0.221072,0.725126,0.937201,0.212076,1.0,0.770175,0.907324,0.118968,0.778693,0.898697,0.120004,0.971429,0.16604,71289.0
mask_robustness,full_image,75,75,0.887128,0.998411,0.106666,0.889318,0.991777,0.102459,1.0,0.910269,0.997196,0.06798,0.886295,0.982622,0.096327,1.0,0.099393,589824.0
mask_robustness,content_region,75,75,0.875975,0.998003,0.115661,0.875937,0.991218,0.11528,1.0,0.933212,0.996429,0.055736,0.915119,0.984746,0.069627,1.0,0.092454,433152.0
mask_robustness,mask_bbox_crop,75,75,0.872644,0.998021,0.116801,0.854082,0.982506,0.128423,1.0,0.912335,0.994936,0.062053,0.874773,0.963079,0.088306,0.986667,0.108365,351649.0
synthetic_degradation,full_image,50,50,0.99935,0.998086,-0.000456,0.996997,0.977619,-0.019378,0.04,0.998173,0.994567,-0.00203,0.995652,0.961279,-0.034373,0.06,-0.026875,589824.0
synthetic_degradation,content_region,50,50,0.999201,0.99828,-0.000662,0.997425,0.97549,-0.021934,0.02,0.998231,0.995196,-0.002143,0.996079,0.961739,-0.03434,0.04,-0.028137,433152.0
synthetic_degradation,mask_bbox_crop,45,45,0.998577,0.990252,-0.003277,0.996253,0.96648,-0.029774,0.0,0.997039,0.982942,-0.005893,0.993707,0.940115,-0.053592,0.0,-0.041683,318096.0
