metric_mask_type,evaluation_region,rows,cases,median_clip_damaged_similarity,median_clip_restored_similarity,median_clip_similarity_improvement,mean_clip_damaged_similarity,mean_clip_restored_similarity,mean_clip_similarity_improvement,clip_improvement_rate,median_dinov2_damaged_similarity,median_dinov2_restored_similarity,median_dinov2_similarity_improvement,mean_dinov2_damaged_similarity,mean_dinov2_restored_similarity,mean_dinov2_similarity_improvement,dinov2_improvement_rate,mean_similarity_improvement,median_region_pixel_count
loss_large,full_image,50,50,0.895179,0.989142,0.096618,0.880911,0.976589,0.095678,1.0,0.887017,0.967648,0.070621,0.854924,0.957002,0.102079,1.0,0.098878,589824.0
loss_large,content_region,50,50,0.862779,0.987422,0.118649,0.850793,0.975889,0.125096,1.0,0.886383,0.969492,0.075046,0.868677,0.958376,0.089699,1.0,0.107397,446208.0
loss_large,mask_bbox_crop,50,50,0.745157,0.954141,0.191421,0.750119,0.942859,0.19274,1.0,0.727197,0.907229,0.152687,0.708387,0.885362,0.176975,1.0,0.184857,109561.0
loss_small,full_image,50,50,0.9063,0.998612,0.091133,0.905076,0.997243,0.092167,1.0,0.944181,0.996078,0.052443,0.904845,0.994497,0.089652,1.0,0.090909,589824.0
loss_small,content_region,50,50,0.890301,0.998476,0.103875,0.89222,0.996663,0.104443,1.0,0.94837,0.996268,0.047144,0.919591,0.994311,0.07472,1.0,0.089581,446208.0
loss_small,mask_bbox_crop,50,50,0.894268,0.998209,0.100247,0.895158,0.995629,0.100472,1.0,0.941226,0.995425,0.049601,0.920278,0.99282,0.072543,1.0,0.086507,360000.0
mixed_damage,full_image,50,50,0.832365,0.996363,0.165635,0.838281,0.994114,0.155834,1.0,0.798559,0.988722,0.184606,0.734458,0.985347,0.250889,1.0,0.203361,589824.0
mixed_damage,content_region,50,50,0.836093,0.995809,0.15755,0.827123,0.993269,0.166146,1.0,0.819101,0.987926,0.163245,0.780276,0.984731,0.204455,1.0,0.1853,446208.0
mixed_damage,mask_bbox_crop,50,50,0.831153,0.996348,0.166863,0.835676,0.994319,0.158643,1.0,0.796848,0.98807,0.185953,0.741932,0.985471,0.243539,1.0,0.201091,589824.0
scratch_thin,full_image,50,50,0.908363,0.999726,0.091484,0.899448,0.999398,0.09995,1.0,0.879989,0.999206,0.111464,0.85049,0.997227,0.146737,1.0,0.123344,589824.0
scratch_thin,content_region,50,50,0.90118,0.999596,0.098142,0.895533,0.999071,0.103538,1.0,0.902121,0.998727,0.093177,0.877169,0.997531,0.120362,1.0,0.11195,446208.0
scratch_thin,mask_bbox_crop,50,50,0.908363,0.999675,0.091019,0.901497,0.999382,0.097885,1.0,0.886714,0.999163,0.109687,0.858221,0.9975,0.139279,1.0,0.118582,589824.0
zero_control,full_image,50,50,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,589824.0
zero_control,content_region,50,50,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,446208.0
,full_image,160,160,0.915979,0.997594,0.078811,0.920347,0.983762,0.063416,0.7,0.955596,0.994206,0.031523,0.931022,0.974898,0.043876,0.70625,0.053646,589824.0
,content_region,160,160,0.90315,0.997223,0.093692,0.909655,0.982911,0.073255,0.69375,0.96253,0.99427,0.025964,0.945525,0.975833,0.030308,0.7,0.051781,433152.0
,mask_bbox_crop,155,155,0.883358,0.986676,0.107541,0.866239,0.967623,0.101384,0.709677,0.923709,0.973233,0.04941,0.887607,0.941874,0.054267,0.696774,0.077826,214369.0
