evaluation_region,category,rows,cases,mean_clip_damaged_similarity,mean_clip_restored_similarity,mean_clip_similarity_improvement,median_clip_similarity_improvement,clip_improvement_rate,mean_dinov2_damaged_similarity,mean_dinov2_restored_similarity,mean_dinov2_similarity_improvement,median_dinov2_similarity_improvement,dinov2_improvement_rate,mean_region_pixel_count
content_region,abstraction_surrealism,50,50,0.93406,0.98542,0.05135,0.04887,0.78,0.92953,0.95132,0.02179,0.01105,0.58,506419.2
content_region,architecture_structured,50,50,0.87054,0.97114,0.1006,0.09522,0.76,0.91166,0.94864,0.03698,0.01713,0.6,437760.0
content_region,high_texture_brushwork,50,50,0.89607,0.97221,0.07614,0.08533,0.74,0.85989,0.93214,0.07225,0.03971,0.7,458803.2
content_region,landscape_natural,50,50,0.89073,0.96348,0.07275,0.08539,0.72,0.82414,0.89972,0.07559,0.02905,0.64,413030.4
content_region,portrait_figure,50,50,0.89682,0.98111,0.08428,0.08039,0.8,0.88536,0.95131,0.06595,0.03961,0.72,457267.2
full_image,abstraction_surrealism,50,50,0.93469,0.98712,0.05242,0.04701,0.78,0.92479,0.95246,0.02767,0.0144,0.58,589824.0
full_image,architecture_structured,50,50,0.89898,0.98074,0.08175,0.08863,0.78,0.90061,0.9504,0.04979,0.02673,0.68,589824.0
full_image,high_texture_brushwork,50,50,0.9059,0.97907,0.07317,0.07876,0.76,0.8342,0.94106,0.10686,0.05523,0.68,589824.0
full_image,landscape_natural,50,50,0.90569,0.97583,0.07015,0.07839,0.72,0.7922,0.90921,0.11701,0.0824,0.64,589824.0
full_image,portrait_figure,50,50,0.90207,0.98311,0.08104,0.07976,0.8,0.87353,0.9538,0.08026,0.06744,0.72,589824.0
mask_bbox_crop,abstraction_surrealism,40,40,0.90277,0.96786,0.06509,0.06114,0.95,0.87714,0.90375,0.02661,0.02973,0.75,467135.45
mask_bbox_crop,architecture_structured,40,40,0.83654,0.9479,0.11136,0.1138,0.975,0.86804,0.90202,0.03398,0.04044,0.75,404083.95
mask_bbox_crop,high_texture_brushwork,40,40,0.84712,0.93847,0.09135,0.1033,0.925,0.78922,0.88235,0.09313,0.07231,0.825,427452.45
mask_bbox_crop,landscape_natural,40,40,0.85199,0.94234,0.09035,0.10045,0.9,0.74221,0.8294,0.08718,0.09486,0.75,428443.175
mask_bbox_crop,portrait_figure,40,40,0.86434,0.95454,0.0902,0.09065,0.925,0.825,0.90441,0.07941,0.07541,0.875,447260.925
