evaluation_region,mask_type,rows,cases,mean_clip_damaged_similarity,mean_clip_restored_similarity,mean_clip_similarity_improvement,median_clip_similarity_improvement,clip_improvement_rate,mean_dinov2_damaged_similarity,mean_dinov2_restored_similarity,mean_dinov2_similarity_improvement,median_dinov2_similarity_improvement,dinov2_improvement_rate,mean_region_pixel_count
content_region,loss_large,50,50,0.86659,0.98468,0.1181,0.11466,1.0,0.84586,0.95458,0.10872,0.075,0.98,454656.0
content_region,loss_small,50,50,0.89482,0.99797,0.10315,0.09653,1.0,0.91281,0.99505,0.08224,0.04509,1.0,454656.0
content_region,mixed_damage,50,50,0.83301,0.99381,0.1608,0.15959,1.0,0.78871,0.98273,0.19402,0.14037,1.0,454656.0
content_region,scratch_thin,50,50,0.89381,0.99927,0.10546,0.09937,1.0,0.8632,0.99697,0.13377,0.10772,1.0,454656.0
content_region,zero_control,50,50,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,454656.0
full_image,loss_large,50,50,0.89394,0.98527,0.09133,0.08276,1.0,0.83905,0.95561,0.11655,0.08234,0.96,589824.0
full_image,loss_small,50,50,0.90769,0.99822,0.09053,0.0892,1.0,0.89479,0.99512,0.10034,0.05401,1.0,589824.0
full_image,mixed_damage,50,50,0.84591,0.99496,0.14905,0.15481,1.0,0.74694,0.98474,0.2378,0.18278,1.0,589824.0
full_image,scratch_thin,50,50,0.8998,0.99947,0.09967,0.10386,1.0,0.84456,0.99763,0.15307,0.12052,1.0,589824.0
full_image,zero_control,50,50,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,589824.0
mask_bbox_crop,loss_large,50,50,0.80508,0.96327,0.15819,0.1623,1.0,0.76151,0.89701,0.1355,0.10381,0.98,173541.22
mask_bbox_crop,loss_small,50,50,0.89377,0.99748,0.1037,0.09402,1.0,0.91628,0.99513,0.07885,0.05038,1.0,423731.28
mask_bbox_crop,mixed_damage,50,50,0.84528,0.99508,0.1498,0.1614,1.0,0.75315,0.98507,0.23192,0.19766,1.0,571905.92
mask_bbox_crop,scratch_thin,50,50,0.89807,0.9993,0.10123,0.10251,1.0,0.85036,0.99721,0.14685,0.11833,1.0,570322.34
