evaluation_region,mask_type,rows,cases,mean_clip_damaged_similarity,mean_clip_restored_similarity,mean_clip_similarity_improvement,median_clip_similarity_improvement,clip_improvement_rate,mean_dinov2_damaged_similarity,mean_dinov2_restored_similarity,mean_dinov2_similarity_improvement,median_dinov2_similarity_improvement,dinov2_improvement_rate,mean_region_pixel_count
content_region,loss_large,50,50,0.86659,0.94905,0.08246,0.07444,0.94,0.84586,0.88983,0.04397,0.03063,0.7,454656.0
content_region,loss_small,50,50,0.89482,0.96375,0.06893,0.07128,0.96,0.91281,0.94502,0.03221,0.01063,0.58,454656.0
content_region,mixed_damage,50,50,0.83301,0.93793,0.10491,0.10492,0.96,0.78871,0.86382,0.07511,0.05525,0.84,454656.0
content_region,scratch_thin,50,50,0.89381,0.93898,0.04518,0.0408,0.86,0.8632,0.87292,0.00972,0.00038,0.52,454656.0
content_region,zero_control,50,50,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,454656.0
full_image,loss_large,50,50,0.89394,0.95838,0.06445,0.05867,0.94,0.83905,0.88844,0.04939,0.03151,0.68,589824.0
full_image,loss_small,50,50,0.90769,0.9713,0.06361,0.06368,0.96,0.89479,0.93301,0.03823,0.0097,0.64,589824.0
full_image,mixed_damage,50,50,0.84591,0.94966,0.10376,0.11475,0.98,0.74694,0.86068,0.11374,0.08218,0.9,589824.0
full_image,scratch_thin,50,50,0.8998,0.94869,0.04889,0.04612,0.94,0.84456,0.86747,0.02291,0.00472,0.56,589824.0
full_image,zero_control,50,50,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,589824.0
mask_bbox_crop,loss_large,50,50,0.80508,0.91177,0.10669,0.11189,0.94,0.76151,0.80109,0.03958,0.04463,0.68,173541.22
mask_bbox_crop,loss_small,50,50,0.89377,0.96762,0.07385,0.06797,0.98,0.91628,0.93663,0.02035,0.00474,0.62,423731.28
mask_bbox_crop,mixed_damage,50,50,0.84528,0.95021,0.10492,0.10709,0.98,0.75315,0.86391,0.11076,0.08218,0.88,571905.92
mask_bbox_crop,scratch_thin,50,50,0.89807,0.94669,0.04862,0.04676,0.94,0.85036,0.86839,0.01804,0.00324,0.54,570322.34
