metric,winner,cases,case_rate
mse_improvement,lama,159,0.795
mse_improvement,opencv_telea,40,0.2
mse_improvement,stable_diffusion_inpainting,1,0.005
psnr_improvement,lama,159,0.795
psnr_improvement,opencv_telea,40,0.2
psnr_improvement,stable_diffusion_inpainting,1,0.005
ssim_improvement,opencv_telea,113,0.565
ssim_improvement,lama,87,0.435
lpips_improvement,lama,182,0.91
lpips_improvement,opencv_telea,12,0.06
lpips_improvement,stable_diffusion_inpainting,6,0.03
clip_improvement,lama,170,0.85
clip_improvement,opencv_telea,25,0.125
clip_improvement,stable_diffusion_inpainting,5,0.025
dinov2_improvement,lama,167,0.835
dinov2_improvement,opencv_telea,27,0.135
dinov2_improvement,stable_diffusion_inpainting,6,0.03
