final_visual_source,final_visual_reason,rows,unique_cases,figures_available
refined_model_comparison,old_vs_refined_vote_changed,22,22,1
refined_model_comparison,old_vs_refined_vote_changed; refined_metric_disagreement,2,2,2
refined_model_comparison,refined_category_mask_representative,18,18,1
refined_model_comparison,refined_category_mask_representative; refined_majority_vote_lama,1,1,1
refined_model_comparison,refined_category_mask_representative; refined_majority_vote_opencv_telea,1,1,1
refined_model_comparison,refined_majority_vote_lama,4,4,2
refined_model_comparison,refined_majority_vote_opencv_telea,4,4,4
refined_model_comparison,refined_majority_vote_stable_diffusion_inpainting; refined_metric_disagreement,1,1,1
refined_model_comparison,refined_metric_disagreement,9,9,4
stable_diffusion_uncertainty,category_mask_representative_highest,20,20,20
stable_diffusion_uncertainty,highest_masked_uncertainty,8,8,8
stable_diffusion_uncertainty,lowest_masked_uncertainty,8,8,8
uncertainty_trustworthiness_quadrant,high_uncertainty_high_reference_performance,4,4,4
uncertainty_trustworthiness_quadrant,high_uncertainty_low_reference_performance,4,4,4
uncertainty_trustworthiness_quadrant,low_uncertainty_low_reference_performance,4,4,4
