original_case_id,case_id,painting_id,category,mask_type,title,final_visual_source,final_visual_reason,final_figure_path,overall_metric_vote,masked_std_mean,refined_overall_metric_vote,combined_uncertainty_index,mean_pairwise_lpips,mean_dinov2_uncertainty_distance,refined_stable_diffusion_metric_wins,uncertainty_performance_quadrant,final_figure_exists
p039_scratch_thin,p039_scratch_thin,p039,abstraction_surrealism,scratch_thin,Painting with Troika,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p026_loss_small,p026_loss_small,p026,architecture_structured,loss_small,View of a Village along a River,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p027_loss_small,p027_loss_small,p027,architecture_structured,loss_small,Italian Landscape with the Ponte Lucano over the Aniene River,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p030_loss_small,p030_loss_small,p030,architecture_structured,loss_small,Interior with Five Women,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p041_loss_large,p041_loss_large,p041,high_texture_brushwork,loss_large,Wheat Field with Cypresses,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p041_loss_small,p041_loss_small,p041,high_texture_brushwork,loss_small,Wheat Field with Cypresses,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p049_loss_small,p049_loss_small,p049,high_texture_brushwork,loss_small,Peonies,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p050_loss_small,p050_loss_small,p050,high_texture_brushwork,loss_small,Landscape with a Sunlit Stream,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p041_mixed_damage,p041_mixed_damage,p041,high_texture_brushwork,mixed_damage,Wheat Field with Cypresses,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p050_mixed_damage,p050_mixed_damage,p050,high_texture_brushwork,mixed_damage,Landscape with a Sunlit Stream,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p042_scratch_thin,p042_scratch_thin,p042,high_texture_brushwork,scratch_thin,View of Beirut,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p049_scratch_thin,p049_scratch_thin,p049,high_texture_brushwork,scratch_thin,Peonies,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p015_loss_large,p015_loss_large,p015,landscape_natural,loss_large,Landscape,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p017_loss_large,p017_loss_large,p017,landscape_natural,loss_large,Picturesque Landscape,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p020_loss_large,p020_loss_large,p020,landscape_natural,loss_large,Mediterranean landscape (recto); Mountains (verso),refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p015_loss_small,p015_loss_small,p015,landscape_natural,loss_small,Landscape,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p016_mixed_damage,p016_mixed_damage,p016,landscape_natural,mixed_damage,Wooded Landscape with a House beside a River,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p016_scratch_thin,p016_scratch_thin,p016,landscape_natural,scratch_thin,Wooded Landscape with a House beside a River,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p010_loss_large,p010_loss_large,p010,portrait_figure,loss_large,Joan of Arc,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p010_loss_small,p010_loss_small,p010,portrait_figure,loss_small,Joan of Arc,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p004_scratch_thin,p004_scratch_thin,p004,portrait_figure,scratch_thin,Madame Georges Charpentier and Her Children,refined_model_comparison,old_vs_refined_vote_changed,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p004_scratch_thin_opencv_lama_stable_diffusion_comparison.png,tie_lama_opencv_telea,,,,,,,,True
p010_scratch_thin,p010_scratch_thin,p010,portrait_figure,scratch_thin,Joan of Arc,refined_model_comparison,old_vs_refined_vote_changed,,tie_lama_opencv_telea,,,,,,,,False
p040_loss_large,p040_loss_large,p040,abstraction_surrealism,loss_large,Houses at Murnau,refined_model_comparison,old_vs_refined_vote_changed; refined_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p040_loss_large_opencv_lama_stable_diffusion_comparison.png,opencv_telea,,,,,,,,True
p001_mixed_damage,p001_mixed_damage,p001,portrait_figure,mixed_damage,Juan de Pareja,refined_model_comparison,old_vs_refined_vote_changed; refined_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p001_mixed_damage_opencv_lama_stable_diffusion_comparison.png,tie_lama_opencv_telea,,,,,,,,True
p035_loss_large,p035_loss_large,p035,abstraction_surrealism,loss_large,The Bewitched Mill,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p034_loss_small,p034_loss_small,p034,abstraction_surrealism,loss_small,Painting with Green Center,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p033_mixed_damage,p033_mixed_damage,p033,abstraction_surrealism,mixed_damage,Movement,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p030_loss_large,p030_loss_large,p030,architecture_structured,loss_large,Interior with Five Women,refined_model_comparison,refined_category_mask_representative,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p030_loss_large_opencv_lama_stable_diffusion_comparison.png,lama,,,,,,,,True
p021_loss_small,p021_loss_small,p021,architecture_structured,loss_small,Interior of the Oude Kerk in Delft,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p021_mixed_damage,p021_mixed_damage,p021,architecture_structured,mixed_damage,Interior of the Oude Kerk in Delft,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p021_scratch_thin,p021_scratch_thin,p021,architecture_structured,scratch_thin,Interior of the Oude Kerk in Delft,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p049_loss_large,p049_loss_large,p049,high_texture_brushwork,loss_large,Peonies,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p046_loss_small,p046_loss_small,p046,high_texture_brushwork,loss_small,Boating,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p046_mixed_damage,p046_mixed_damage,p046,high_texture_brushwork,mixed_damage,Boating,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p045_scratch_thin,p045_scratch_thin,p045,high_texture_brushwork,scratch_thin,Two Girls with Parasols,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p019_loss_large,p019_loss_large,p019,landscape_natural,loss_large,Evening: Landscape with an Aqueduct,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p019_loss_small,p019_loss_small,p019,landscape_natural,loss_small,Evening: Landscape with an Aqueduct,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p012_mixed_damage,p012_mixed_damage,p012,landscape_natural,mixed_damage,An Extensive Wooded Landscape,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p014_scratch_thin,p014_scratch_thin,p014,landscape_natural,scratch_thin,Landscape on a River,refined_model_comparison,refined_category_mask_representative,,opencv_telea,,,,,,,,False
p008_loss_small,p008_loss_small,p008,portrait_figure,loss_small,Manuel Osorio Manrique de Zuñiga,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p008_mixed_damage,p008_mixed_damage,p008,portrait_figure,mixed_damage,Manuel Osorio Manrique de Zuñiga,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p006_scratch_thin,p006_scratch_thin,p006,portrait_figure,scratch_thin,Boy with a Sword,refined_model_comparison,refined_category_mask_representative,,lama,,,,,,,,False
p001_loss_large,p001_loss_large,p001,portrait_figure,loss_large,Juan de Pareja,refined_model_comparison,refined_category_mask_representative; refined_majority_vote_lama,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p001_loss_large_opencv_lama_stable_diffusion_comparison.png,lama,,,,,,,,True
p037_scratch_thin,p037_scratch_thin,p037,abstraction_surrealism,scratch_thin,In the Sea,refined_model_comparison,refined_category_mask_representative; refined_majority_vote_opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p037_scratch_thin_opencv_lama_stable_diffusion_comparison.png,opencv_telea,,,,,,,,True
p031_loss_small,p031_loss_small,p031,abstraction_surrealism,loss_small,Improvisation No. 30 (Cannons),refined_model_comparison,refined_majority_vote_lama,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p031_loss_small_opencv_lama_stable_diffusion_comparison.png,lama,,,,,,,,True
p032_loss_small,p032_loss_small,p032,abstraction_surrealism,loss_small,Composition (No. 1) Gray-Red,refined_model_comparison,refined_majority_vote_lama,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p032_loss_small_opencv_lama_stable_diffusion_comparison.png,lama,,,,,,,,True
p030_mixed_damage,p030_mixed_damage,p030,architecture_structured,mixed_damage,Interior with Five Women,refined_model_comparison,refined_majority_vote_lama,,lama,,,,,,,,False
p018_loss_small,p018_loss_small,p018,landscape_natural,loss_small,Classical Landscape with Figures,refined_model_comparison,refined_majority_vote_lama,,lama,,,,,,,,False
p040_scratch_thin,p040_scratch_thin,p040,abstraction_surrealism,scratch_thin,Houses at Murnau,refined_model_comparison,refined_majority_vote_opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p040_scratch_thin_opencv_lama_stable_diffusion_comparison.png,opencv_telea,,,,,,,,True
p024_scratch_thin,p024_scratch_thin,p024,architecture_structured,scratch_thin,Interior of the Church of St Bavo in Haarlem,refined_model_comparison,refined_majority_vote_opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p024_scratch_thin_opencv_lama_stable_diffusion_comparison.png,opencv_telea,,,,,,,,True
p029_scratch_thin,p029_scratch_thin,p029,architecture_structured,scratch_thin,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",refined_model_comparison,refined_majority_vote_opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p029_scratch_thin_opencv_lama_stable_diffusion_comparison.png,opencv_telea,,,,,,,,True
p030_scratch_thin,p030_scratch_thin,p030,architecture_structured,scratch_thin,Interior with Five Women,refined_model_comparison,refined_majority_vote_opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p030_scratch_thin_opencv_lama_stable_diffusion_comparison.png,opencv_telea,,,,,,,,True
p037_loss_large,p037_loss_large,p037,abstraction_surrealism,loss_large,In the Sea,refined_model_comparison,refined_majority_vote_stable_diffusion_inpainting; refined_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p037_loss_large_opencv_lama_stable_diffusion_comparison.png,stable_diffusion_inpainting,,,,,,,,True
p024_loss_large,p024_loss_large,p024,architecture_structured,loss_large,Interior of the Church of St Bavo in Haarlem,refined_model_comparison,refined_metric_disagreement,,lama,,,,,,,,False
p046_loss_large,p046_loss_large,p046,high_texture_brushwork,loss_large,Boating,refined_model_comparison,refined_metric_disagreement,,lama,,,,,,,,False
p048_loss_large,p048_loss_large,p048,high_texture_brushwork,loss_large,A Farm in Brittany,refined_model_comparison,refined_metric_disagreement,,lama,,,,,,,,False
p050_loss_large,p050_loss_large,p050,high_texture_brushwork,loss_large,Landscape with a Sunlit Stream,refined_model_comparison,refined_metric_disagreement,,lama,,,,,,,,False
