case_id,painting_id,category,mask_type,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,figure_path
p006_loss_large,p006,portrait_figure,loss_large,52182.8125,143.1318817138672,52039.68061828613,227.9276123046875,6.756586074829102,221.1710262298584,outputs/figures/lama_classical_metric_cases/p006_loss_large_lama_classical_metric_case.png
p006_mixed_damage,p006,portrait_figure,mixed_damage,51966.46875,28.328691482543945,51938.140058517456,227.11517333984375,3.1345510482788086,223.98062229156494,outputs/figures/lama_classical_metric_cases/p006_mixed_damage_lama_classical_metric_case.png
p002_loss_large,p002,portrait_figure,loss_large,51229.8515625,94.77253723144531,51135.079025268555,225.61866760253906,6.4565534591674805,219.16211414337158,outputs/figures/lama_classical_metric_cases/p002_loss_large_lama_classical_metric_case.png
p036_loss_large,p036,abstraction_surrealism,loss_large,5263.03271484375,3578.788330078125,1684.244384765625,46.358219146728516,22.574953079223633,23.783266067504883,outputs/figures/lama_classical_metric_cases/p036_loss_large_lama_classical_metric_case.png
p036_scratch_thin,p036,abstraction_surrealism,scratch_thin,2009.9451904296875,23.089704513549805,1986.8554859161377,29.343353271484375,2.3825721740722656,26.96078109741211,outputs/figures/lama_classical_metric_cases/p036_scratch_thin_lama_classical_metric_case.png
p032_mixed_damage,p032,abstraction_surrealism,mixed_damage,2763.684326171875,29.557987213134766,2734.1263389587402,40.7200813293457,3.702725648880005,37.0173556804657,outputs/figures/lama_classical_metric_cases/p032_mixed_damage_lama_classical_metric_case.png
p033_loss_large,p033,abstraction_surrealism,loss_large,26186.8046875,4599.54248046875,21587.26220703125,145.01168823242188,46.184539794921875,98.8271484375,outputs/figures/lama_classical_metric_cases/p033_loss_large_lama_classical_metric_case.png
p027_loss_large,p027,architecture_structured,loss_large,27120.30078125,772.5902099609375,26347.710571289062,157.13031005859375,20.103288650512695,137.02702140808105,outputs/figures/lama_classical_metric_cases/p027_loss_large_lama_classical_metric_case.png
p045_loss_large,p045,high_texture_brushwork,loss_large,26202.400390625,1484.510498046875,24717.889892578125,156.994384765625,26.169532775878906,130.8248519897461,outputs/figures/lama_classical_metric_cases/p045_loss_large_lama_classical_metric_case.png
p018_loss_large,p018,landscape_natural,loss_large,21350.681640625,1066.4521484375,20284.2294921875,136.6981658935547,16.825075149536133,119.87309074401855,outputs/figures/lama_classical_metric_cases/p018_loss_large_lama_classical_metric_case.png
p010_loss_large,p010,portrait_figure,loss_large,38570.0625,474.3353576660156,38095.727142333984,194.60337829589844,16.31846809387207,178.28491020202637,outputs/figures/lama_classical_metric_cases/p010_loss_large_lama_classical_metric_case.png
