case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p050_loss_large,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_loss_large,loss_large,lama,mask_bbox_crop,126025,276,195,631,550,51958,11.6243,8.8091,0.5895628929138184,0.9337325096130371,0.34416961669921875,0.31175124645233154,0.6861376166343689,0.37438637018203735,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p013_mixed_damage,p013,landscape_natural,Landscape with a Village in the Distance,p013_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,42332,10.3221,7.1771,0.7245900630950928,0.9991374015808105,0.2745473384857178,0.6110111474990845,0.9903571605682373,0.37934601306915283,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p022_loss_large,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",p022_loss_large,loss_large,lama,mask_bbox_crop,184900,231,8,661,438,72675,15.8242,12.3215,0.7214130163192749,0.9695748090744019,0.24816179275512695,0.8092225193977356,0.8918256163597107,0.0826030969619751,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,lama,mask_bbox_crop,129600,259,408,619,768,49705,14.4143,8.4271,0.7243326306343079,0.9698851108551025,0.24555248022079468,0.7628775835037231,0.9351863265037537,0.17230874300003052,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p049_loss_large,p049,high_texture_brushwork,Peonies,p049_loss_large,loss_large,lama,mask_bbox_crop,119025,154,286,499,631,48472,13.0672,8.218,0.7169419527053833,0.9504167437553406,0.23347479104995728,0.8582639694213867,0.950912356376648,0.09264838695526123,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p010_mixed_damage,p010,portrait_figure,Joan of Arc,p010_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,48195,9.0293,8.1711,0.762116551399231,0.9933129549026489,0.23119640350341797,0.462197870016098,0.9804537296295166,0.5182558596134186,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p021_mixed_damage,p021,architecture_structured,Interior of the Oude Kerk in Delft,p021_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,50041,10.0397,8.4841,0.7696846723556519,0.997758150100708,0.22807347774505615,0.8578055500984192,0.9861394166946411,0.12833386659622192,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p013_loss_large,p013,landscape_natural,Landscape with a Village in the Distance,p013_loss_large,loss_large,lama,mask_bbox_crop,116281,252,309,593,650,44375,10.8202,7.5234,0.7517073154449463,0.9746569395065308,0.22294962406158447,0.6172600984573364,0.8928258419036865,0.2755657434463501,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p027_loss_large,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,p027_loss_large,loss_large,lama,mask_bbox_crop,218089,89,177,556,644,73593,15.9441,12.4771,0.7646580934524536,0.985882043838501,0.22122395038604736,0.7020800113677979,0.9253842234611511,0.22330421209335327,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p022_loss_small,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",p022_loss_small,loss_small,lama,mask_bbox_crop,342225,111,105,696,690,24273,5.2852,4.1153,0.7598941326141357,0.9808399677276611,0.2209458351135254,0.9314420223236084,0.9892821907997131,0.057840168476104736,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
