case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p014_mixed_damage,p014,landscape_natural,Landscape on a River,p014_mixed_damage,mixed_damage,lama,mask_bbox_crop,527076,0,20,726,746,45810,13.7123,7.7667,0.8052594661712646,0.994938850402832,0.18967938423156738,0.3331441879272461,0.990325927734375,0.6571817398071289,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p050_mixed_damage,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_mixed_damage,mixed_damage,lama,mask_bbox_crop,568516,0,0,754,754,39368,8.8076,6.6745,0.803747296333313,0.9944785237312317,0.1907312273979187,0.3954562842845917,0.973585844039917,0.5781295597553253,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p048_mixed_damage,p048,high_texture_brushwork,A Farm in Brittany,p048_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,52192,11.0862,8.8487,0.8208789825439453,0.9920066595077515,0.17112767696380615,0.4098643660545349,0.976129412651062,0.5662650465965271,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p010_mixed_damage,p010,portrait_figure,Joan of Arc,p010_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,48195,9.0293,8.1711,0.762116551399231,0.9933129549026489,0.23119640350341797,0.462197870016098,0.9804537296295166,0.5182558596134186,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p011_mixed_damage,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,p011_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,44361,10.9397,7.5211,0.8860111832618713,0.9983255863189697,0.11231440305709839,0.5117112398147583,0.9883270859718323,0.476615846157074,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p011_loss_large,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,p011_loss_large,loss_large,lama,mask_bbox_crop,114921,0,125,339,464,49885,12.302,8.4576,0.8100756406784058,0.9929659366607666,0.18289029598236084,0.48841607570648193,0.9604262709617615,0.47201019525527954,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p015_mixed_damage,p015,landscape_natural,Landscape,p015_mixed_damage,mixed_damage,lama,mask_bbox_crop,553536,12,24,756,768,45768,10.796,7.7596,0.8455324172973633,0.996462881565094,0.1509304642677307,0.5655384659767151,0.9871866106987,0.42164814472198486,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p027_mixed_damage,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,p027_mixed_damage,mixed_damage,lama,mask_bbox_crop,541696,0,15,736,751,44664,9.6766,7.5724,0.7802485227584839,0.9979450106620789,0.21769648790359497,0.5743319988250732,0.9952752590179443,0.4209432601928711,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p044_mixed_damage,p044,high_texture_brushwork,Versailles,p044_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,49669,10.0894,8.421,0.8135443925857544,0.9967700242996216,0.1832256317138672,0.5766584873199463,0.9934163093566895,0.41675782203674316,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p020_mixed_damage,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,54098,13.3157,9.1719,0.82358717918396,0.9932134747505188,0.16962629556655884,0.5853419303894043,0.9669182300567627,0.3815762996673584,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p013_mixed_damage,p013,landscape_natural,Landscape with a Village in the Distance,p013_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,42332,10.3221,7.1771,0.7245900630950928,0.9991374015808105,0.2745473384857178,0.6110111474990845,0.9903571605682373,0.37934601306915283,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
