case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue
p011_loss_large,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,p011_loss_large,loss_large,lama,mask_bbox_crop,114921,0,125,339,464,49885,12.302,8.4576,0.6593158841133118,0.125665545463562,0.5336503386497498,alex,256,cuda,ok,
p010_mixed_damage,p010,portrait_figure,Joan of Arc,p010_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,48195,9.0293,8.1711,0.49672678112983704,0.01590718887746334,0.4808195922523737,alex,256,cuda,ok,
p006_scratch_thin,p006,portrait_figure,Boy with a Sword,p006_scratch_thin,scratch_thin,lama,mask_bbox_crop,494209,33,65,736,768,13053,2.9507,2.213,0.46624433994293213,0.0009097993024624884,0.46533454064046964,alex,256,cuda,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,lama,mask_bbox_crop,129600,259,408,619,768,49705,14.4143,8.4271,0.5892032980918884,0.14096690714359283,0.4482363909482956,alex,256,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,mask_bbox_crop,178929,197,314,620,737,67242,13.2058,11.4003,0.5921071767807007,0.14746947586536407,0.4446377009153366,alex,256,cuda,ok,
p006_loss_large,p006,portrait_figure,Boy with a Sword,p006_loss_large,loss_large,lama,mask_bbox_crop,134689,139,155,506,522,51891,11.7303,8.7977,0.5987578630447388,0.15886788070201874,0.43988998234272003,alex,256,cuda,ok,
p027_mixed_damage,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,p027_mixed_damage,mixed_damage,lama,mask_bbox_crop,541696,0,15,736,751,44664,9.6766,7.5724,0.4683019816875458,0.032694071531295776,0.43560791015625,alex,256,cuda,ok,
p026_mixed_damage,p026,architecture_structured,View of a Village along a River,p026_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,41381,10.1855,7.0158,0.45245397090911865,0.024191871285438538,0.4282620996236801,alex,256,cuda,ok,
p042_loss_large,p042,high_texture_brushwork,View of Beirut,p042_loss_large,loss_large,lama,mask_bbox_crop,103684,378,134,700,456,44565,11.7464,7.5556,0.44703298807144165,0.01981237344443798,0.42722061462700367,alex,256,cuda,ok,
p006_mixed_damage,p006,portrait_figure,Boy with a Sword,p006_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,44236,9.9998,7.4999,0.43814849853515625,0.01412935834378004,0.4240191401913762,alex,256,cuda,ok,
p015_loss_large,p015,landscape_natural,Landscape,p015_loss_large,loss_large,lama,mask_bbox_crop,113569,202,431,539,768,53971,12.7309,9.1504,0.6520757675170898,0.23061130940914154,0.4214644581079483,alex,256,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,8012,1.5735,1.3584,0.4253467917442322,0.005049925297498703,0.4202968664467335,alex,256,cuda,ok,
p013_loss_large,p013,landscape_natural,Landscape with a Village in the Distance,p013_loss_large,loss_large,lama,mask_bbox_crop,116281,252,309,593,650,44375,10.8202,7.5234,0.623293399810791,0.20440611243247986,0.41888728737831116,alex,256,cuda,ok,
p050_loss_large,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_loss_large,loss_large,lama,mask_bbox_crop,126025,276,195,631,550,51958,11.6243,8.8091,0.6429330110549927,0.22501900792121887,0.4179140031337738,alex,256,cuda,ok,
p050_scratch_thin,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,11991,2.6827,2.033,0.4201236367225647,0.0030327262356877327,0.41709091048687696,alex,256,cuda,ok,
p014_scratch_thin,p014,landscape_natural,Landscape on a River,p014_scratch_thin,scratch_thin,lama,mask_bbox_crop,301401,219,109,768,658,8107,2.4267,1.3745,0.421140193939209,0.004206624813377857,0.4169335691258311,alex,256,cuda,ok,
p014_mixed_damage,p014,landscape_natural,Landscape on a River,p014_mixed_damage,mixed_damage,lama,mask_bbox_crop,527076,0,20,726,746,45810,13.7123,7.7667,0.4394245743751526,0.022992830723524094,0.4164317436516285,alex,256,cuda,ok,
p014_loss_large,p014,landscape_natural,Landscape on a River,p014_loss_large,loss_large,lama,mask_bbox_crop,142884,88,241,466,619,57683,17.2662,9.7797,0.5740740299224854,0.16103819012641907,0.4130358397960663,alex,256,cuda,ok,
p022_scratch_thin,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",p022_scratch_thin,scratch_thin,lama,mask_bbox_crop,454276,47,0,721,674,11554,2.5158,1.9589,0.41253697872161865,0.0022654954809695482,0.4102714832406491,alex,256,cuda,ok,
p002_mixed_damage,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,42027,12.1877,7.1253,0.4236736595630646,0.021850645542144775,0.4018230140209198,alex,256,cuda,ok,
