case_id,painting_id,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,status,issue,category
p006_loss_large,p006,,p006_loss_large,loss_large,lama,masked_region,51891,,,,,51891,11.7303,8.7977,52182.8125,143.1318817138672,52039.68061828613,227.9276123046875,6.756586074829102,221.1710262298584,0.9555287827861452,26.57343980006585,25.617911017279702,,,,ok,,portrait_figure
p006_mixed_damage,p006,,p006_mixed_damage,mixed_damage,lama,masked_region,44236,,,,,44236,9.9998,7.4999,51966.46875,28.328691482543945,51938.140058517456,227.11517333984375,3.1345510482788086,223.98062229156494,0.973571544259259,33.60853846179279,32.63496691753353,,,,ok,,portrait_figure
p002_loss_large,p002,,p002_loss_large,loss_large,lama,masked_region,49705,,,,,49705,14.4143,8.4271,51229.8515625,94.77253723144531,51135.079025268555,225.61866760253906,6.4565534591674805,219.16211414337158,1.0355726334957343,28.363978532422983,27.32840589892725,,,,ok,,portrait_figure
p006_scratch_thin,p006,,p006_scratch_thin,scratch_thin,lama,masked_region,13053,,,,,13053,2.9507,2.213,51070.07421875,32.09754943847656,51037.97666931152,224.1601104736328,2.8235654830932617,221.33654499053955,1.0491387186355186,33.06608484412355,32.01694612548803,,,,ok,,portrait_figure
p001_mixed_damage,p001,,p001_mixed_damage,mixed_damage,lama,masked_region,44392,,,,,44392,8.7183,7.5263,50740.69921875,296.2032775878906,50444.49594116211,224.46737670898438,8.57044792175293,215.89692878723145,1.0772391326102264,23.41490501043087,22.337665877820644,,,,ok,,portrait_figure
p002_scratch_thin,p002,,p002_scratch_thin,scratch_thin,lama,masked_region,8436,,,,,8436,2.4464,1.4303,50183.65625,20.0655517578125,50163.59069824219,222.0612030029297,2.4319188594818115,219.62928414344788,1.1251806117602001,35.10629254506565,33.98111193330545,,,,ok,,portrait_figure
p006_loss_small,p006,,p006_loss_small,loss_small,lama,masked_region,22150,,,,,22150,5.0071,3.7554,49847.9765625,9.905508041381836,49838.07105445862,222.69287109375,2.1138148307800293,220.57905626296997,1.1543282681754836,38.172036059897664,37.01770779172218,,,,ok,,portrait_figure
p001_loss_large,p001,,p001_loss_large,loss_large,lama,masked_region,67242,,,,,67242,13.2058,11.4003,48997.8046875,294.1728515625,48703.6318359375,219.8046417236328,9.788515090942383,210.01612663269043,1.229037386651714,23.44477770520706,22.215740318555344,,,,ok,,portrait_figure
p001_scratch_thin,p001,,p001_scratch_thin,scratch_thin,lama,masked_region,8012,,,,,8012,1.5735,1.3584,48508.5546875,144.8795623779297,48363.67512512207,217.93804931640625,6.475494861602783,211.46255445480347,1.2726202585418058,26.520732353864346,25.24811209532254,,,,ok,,portrait_figure
p001_loss_small,p001,,p001_loss_small,loss_small,lama,masked_region,24198,,,,,24198,4.7523,4.1026,46995.5,15.359286308288574,46980.14071369171,216.0694580078125,2.889164447784424,213.18029356002808,1.4102408630948342,36.26709324832127,34.85685238522643,,,,ok,,portrait_figure
p002_mixed_damage,p002,,p002_mixed_damage,mixed_damage,lama,masked_region,42027,,,,,42027,12.1877,7.1253,45998.8828125,142.59649658203125,45856.28631591797,212.27674865722656,5.881187438964844,206.39556121826172,1.50333076887606,26.589715052944364,25.086384284068302,,,,ok,,portrait_figure
p013_loss_large,p013,,p013_loss_large,loss_large,lama,masked_region,44375,,,,,44375,10.8202,7.5234,46091.91796875,701.8604125976562,45390.057556152344,212.23541259765625,17.503984451293945,194.7314281463623,1.4945558058210142,19.668296135051957,18.17374032923094,,,,ok,,landscape_natural
p002_loss_small,p002,,p002_loss_small,loss_small,lama,masked_region,19520,,,,,19520,5.6607,3.3095,45094.36328125,44.49993133544922,45049.86334991455,211.52651977539062,3.77626371383667,207.75025606155396,1.5895810166933888,31.647210200141362,30.057629183447972,,,,ok,,portrait_figure
p019_loss_small,p019,,p019_loss_small,loss_small,lama,masked_region,15653,,,,,15653,3.0285,2.6538,45095.5,93.05191802978516,45002.448081970215,210.0625,5.876211166381836,204.18628883361816,1.5894715430424344,28.44355031427274,26.854078771230306,,,,ok,,landscape_natural
p019_mixed_damage,p019,,p019_mixed_damage,mixed_damage,lama,masked_region,41705,,,,,41705,8.0689,7.0708,44308.48046875,608.3046264648438,43700.175842285156,205.31097412109375,13.607513427734375,191.70346069335938,1.6659350443486898,20.289592413628835,18.623657369280146,,,,ok,,landscape_natural
p010_loss_small,p010,,p010_loss_small,loss_small,lama,masked_region,19716,,,,,19716,3.6938,3.3427,43583.0078125,306.3359680175781,43276.67184448242,207.92715454101562,12.551295280456543,195.37585926055908,1.7376316177513542,23.268823689765156,21.531192072013802,,,,ok,,portrait_figure
p008_loss_large,p008,,p008_loss_large,loss_large,lama,masked_region,48511,,,,,48511,11.16,8.2247,43503.1640625,606.2439575195312,42896.92010498047,205.6322021484375,14.127950668334961,191.50425148010254,1.7455951575439248,20.30432937882749,18.558734221283565,,,,ok,,portrait_figure
p010_scratch_thin,p010,,p010_scratch_thin,scratch_thin,lama,masked_region,10545,,,,,10545,1.9756,1.7878,42933.53515625,116.05067443847656,42817.48448181152,205.01126098632812,7.441725730895996,197.56953525543213,1.8028371101782417,27.484326921289025,25.681489811110783,,,,ok,,portrait_figure
p050_scratch_thin,p050,,p050_scratch_thin,scratch_thin,lama,masked_region,11991,,,,,11991,2.6827,2.033,42905.9453125,165.06582641601562,42740.879486083984,204.32791137695312,8.590970993041992,195.73694038391113,1.8056288599056103,25.954231903013792,24.14860304310818,,,,ok,,high_texture_brushwork
p005_loss_small,p005,,p005_loss_small,loss_small,lama,masked_region,21814,,,,,21814,4.9919,3.6984,42348.3828125,386.1976318359375,41962.18518066406,201.6292266845703,10.898184776306152,190.73104190826416,1.8624353059357126,22.262707545103396,20.400272239167684,,,,ok,,portrait_figure
