case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p035_scratch_thin,p035,abstraction_surrealism,The Bewitched Mill,p035_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,6576,1.6156,1.1149,0.9843804836273193,0.999808669090271,0.01542818546295166,0.9660708904266357,0.9988794922828674,0.03280860185623169,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p017_scratch_thin,p017,landscape_natural,Picturesque Landscape,p017_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,5790,1.332,0.9816,0.9738470315933228,0.9995875954627991,0.02574056386947632,0.9146866798400879,0.9982463121414185,0.08355963230133057,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p034_loss_small,p034,abstraction_surrealism,Painting with Green Center,p034_loss_small,loss_small,lama,mask_bbox_crop,494209,65,62,768,765,18146,3.3046,3.0765,0.972231388092041,0.9989274740219116,0.026696085929870605,0.9555100202560425,0.9973708391189575,0.04186081886291504,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p038_loss_small,p038,abstraction_surrealism,Mahana no atua (Day of the God),p038_loss_small,loss_small,lama,mask_bbox_crop,438244,93,19,755,681,19642,4.4634,3.3301,0.9665353298187256,0.9986563920974731,0.03212106227874756,0.9658729434013367,0.9973992705345154,0.03152632713317871,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p005_scratch_thin,p005,portrait_figure,Self-Portrait with Two Pupils,p005_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,5805,1.3284,0.9842,0.963783323764801,0.9998146295547485,0.03603130578994751,0.9644947648048401,0.9998885989189148,0.03539383411407471,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p033_loss_small,p033,abstraction_surrealism,Movement,p033_loss_small,loss_small,lama,mask_bbox_crop,360000,0,40,600,640,20720,3.5359,3.5129,0.9611656665802002,0.9980278015136719,0.03686213493347168,0.9656491875648499,0.995840847492218,0.030191659927368164,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p032_scratch_thin,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,14929,2.6092,2.5311,0.9623438119888306,0.999721348285675,0.03737753629684448,0.7796550989151001,0.9977114200592041,0.218056321144104,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p016_scratch_thin,p016,landscape_natural,Wooded Landscape with a House beside a River,p016_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,5937,1.5939,1.0066,0.9618636965751648,0.9997355341911316,0.0378718376159668,0.9370157122612,0.9994914531707764,0.062475740909576416,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p033_scratch_thin,p033,abstraction_surrealism,Movement,p033_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,13276,2.2656,2.2508,0.9614170789718628,0.9998363256454468,0.038419246673583984,0.935650110244751,0.9994844794273376,0.06383436918258667,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p036_loss_large,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_large,loss_large,lama,mask_bbox_crop,419904,39,102,687,750,92174,15.6274,15.6274,0.9498238563537598,0.9898247718811035,0.04000091552734375,0.9439882636070251,0.9751790761947632,0.031190812587738037,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
