case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p046_loss_large,p046,high_texture_brushwork,Boating,p046_loss_large,loss_large,lama,mask_bbox_crop,107584,82,260,410,588,46619,10.3587,7.9039,0.7497090101242065,0.9069807529449463,0.15727174282073975,0.7862265110015869,0.6854718923568726,-0.10075461864471436,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,13905,2.3575,2.3575,0.9261481761932373,0.9989223480224609,0.07277417182922363,0.9730130434036255,0.9795359373092651,0.0065228939056396484,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p036_mixed_damage,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,47780,8.1007,8.1007,0.8751250505447388,0.9936562776565552,0.1185312271118164,0.9480408430099487,0.9568504095077515,0.008809566497802734,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p028_loss_large,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),p028_loss_large,loss_large,lama,mask_bbox_crop,154449,213,230,606,623,60196,14.7609,10.2058,0.8268417119979858,0.9409185647964478,0.11407685279846191,0.881481409072876,0.893047034740448,0.011565625667572021,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_large,loss_large,lama,mask_bbox_crop,179776,205,271,629,695,56801,11.8335,9.6302,0.8696916103363037,0.9865611791610718,0.11686956882476807,0.8860812187194824,0.8980652689933777,0.011984050273895264,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p035_loss_small,p035,abstraction_surrealism,The Bewitched Mill,p035_loss_small,loss_small,lama,mask_bbox_crop,488601,69,69,768,768,13591,3.339,2.3042,0.9537371397018433,0.996954619884491,0.043217480182647705,0.9794147610664368,0.9942952394485474,0.014880478382110596,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p023_loss_small,p023,architecture_structured,Church Interior,p023_loss_small,loss_small,lama,mask_bbox_crop,269361,154,60,673,579,20722,4.9058,3.5133,0.8159589767456055,0.9991546273231506,0.18319565057754517,0.9821230173110962,0.9988434314727783,0.01672041416168213,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p019_loss_small,p019,landscape_natural,Evening: Landscape with an Aqueduct,p019_loss_small,loss_small,lama,mask_bbox_crop,534361,0,37,731,768,15653,3.0285,2.6538,0.909371554851532,0.9991778135299683,0.08980625867843628,0.9829432964324951,0.9996907711029053,0.016747474670410156,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p024_loss_small,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,p024_loss_small,loss_small,lama,mask_bbox_crop,242064,68,260,560,752,14413,3.1383,2.4436,0.8438320159912109,0.9987902045249939,0.15495818853378296,0.970638632774353,0.9877291917800903,0.017090559005737305,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p004_loss_small,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_small,loss_small,lama,mask_bbox_crop,423801,106,0,757,651,16444,3.4258,2.788,0.952534556388855,0.9992948174476624,0.04676026105880737,0.9798383116722107,0.9985748529434204,0.018736541271209717,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p030_loss_small,p030,architecture_structured,Interior with Five Women,p030_loss_small,loss_small,lama,mask_bbox_crop,300304,115,109,663,657,14901,3.842,2.5263,0.8722997307777405,0.985108494758606,0.11280876398086548,0.9726945161819458,0.9923377633094788,0.01964324712753296,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p005_loss_small,p005,portrait_figure,Self-Portrait with Two Pupils,p005_loss_small,loss_small,lama,mask_bbox_crop,419904,41,9,689,657,21814,4.9919,3.6984,0.9317833185195923,0.9977086186408997,0.06592530012130737,0.9724296927452087,0.9956352710723877,0.023205578327178955,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p036_loss_small,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_small,loss_small,lama,mask_bbox_crop,521284,0,0,722,722,18062,3.0623,3.0623,0.9223775267601013,0.9915118217468262,0.06913429498672485,0.9736409783363342,0.9970611333847046,0.02342015504837036,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
