case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue
p036_loss_small,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_small,loss_small,lama,mask_bbox_crop,521284,0,0,722,722,18062,3.0623,3.0623,0.06012517213821411,0.00023234629770740867,0.0598928258405067,alex,256,cuda,ok,
p035_loss_small,p035,abstraction_surrealism,The Bewitched Mill,p035_loss_small,loss_small,lama,mask_bbox_crop,488601,69,69,768,768,13591,3.339,2.3042,0.06725757569074631,0.003504812717437744,0.06375276297330856,alex,256,cuda,ok,
p035_scratch_thin,p035,abstraction_surrealism,The Bewitched Mill,p035_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,6576,1.6156,1.1149,0.07272163778543472,0.0004558698274195194,0.0722657679580152,alex,256,cuda,ok,
p034_loss_small,p034,abstraction_surrealism,Painting with Green Center,p034_loss_small,loss_small,lama,mask_bbox_crop,494209,65,62,768,765,18146,3.3046,3.0765,0.09496395289897919,0.015089159831404686,0.0798747930675745,alex,256,cuda,ok,
p031_loss_small,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),p031_loss_small,loss_small,lama,mask_bbox_crop,537289,35,35,768,768,22150,3.7701,3.7554,0.09255994856357574,0.009212451055645943,0.0833474975079298,alex,256,cuda,ok,
p017_scratch_thin,p017,landscape_natural,Picturesque Landscape,p017_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,5790,1.332,0.9816,0.09323197603225708,0.0025247412268072367,0.09070723480544984,alex,256,cuda,ok,
p016_scratch_thin,p016,landscape_natural,Wooded Landscape with a House beside a River,p016_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,5937,1.5939,1.0066,0.10143551230430603,0.004991023801267147,0.09644448850303888,alex,256,cuda,ok,
p033_loss_small,p033,abstraction_surrealism,Movement,p033_loss_small,loss_small,lama,mask_bbox_crop,360000,0,40,600,640,20720,3.5359,3.5129,0.11269798874855042,0.012162637896835804,0.10053535085171461,alex,256,cuda,ok,
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,13905,2.3575,2.3575,0.10542716085910797,0.0008030412718653679,0.1046241195872426,alex,256,cuda,ok,
p040_loss_small,p040,abstraction_surrealism,Houses at Murnau,p040_loss_small,loss_small,lama,mask_bbox_crop,589824,0,0,768,768,23305,5.1259,3.9512,0.11582774668931961,0.00803649052977562,0.10779125615954399,alex,256,cuda,ok,
p038_loss_small,p038,abstraction_surrealism,Mahana no atua (Day of the God),p038_loss_small,loss_small,lama,mask_bbox_crop,438244,93,19,755,681,19642,4.4634,3.3301,0.12287551909685135,0.007490342017263174,0.11538517707958817,alex,256,cuda,ok,
p033_scratch_thin,p033,abstraction_surrealism,Movement,p033_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,13276,2.2656,2.2508,0.12299755215644836,0.00040483116754330695,0.12259272098890506,alex,256,cuda,ok,
p015_loss_small,p015,landscape_natural,Landscape,p015_loss_small,loss_small,lama,mask_bbox_crop,589824,0,0,768,768,15734,3.7114,2.6676,0.12911100685596466,0.006098449695855379,0.12301255716010928,alex,256,cuda,ok,
p004_loss_small,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_small,loss_small,lama,mask_bbox_crop,423801,106,0,757,651,16444,3.4258,2.788,0.13605326414108276,0.010804715566337109,0.12524854857474566,alex,256,cuda,ok,
p016_loss_small,p016,landscape_natural,Wooded Landscape with a House beside a River,p016_loss_small,loss_small,lama,mask_bbox_crop,502681,54,29,763,738,20307,5.4518,3.4429,0.14031606912612915,0.012703156098723412,0.12761291302740574,alex,256,cuda,ok,
p039_loss_small,p039,abstraction_surrealism,Painting with Troika,p039_loss_small,loss_small,lama,mask_bbox_crop,421201,0,39,649,688,18244,4.2119,3.0931,0.13661716878414154,0.007717350497841835,0.1288998182862997,alex,256,cuda,ok,
p017_loss_small,p017,landscape_natural,Picturesque Landscape,p017_loss_small,loss_small,lama,mask_bbox_crop,310249,168,200,725,757,20288,4.6673,3.4397,0.1596577912569046,0.03070475161075592,0.12895303964614868,alex,256,cuda,ok,
p032_loss_small,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_small,loss_small,lama,mask_bbox_crop,588289,0,1,767,768,24362,4.2579,4.1304,0.13163530826568604,0.00037850375520065427,0.13125680451048538,alex,256,cuda,ok,
p019_loss_small,p019,landscape_natural,Evening: Landscape with an Aqueduct,p019_loss_small,loss_small,lama,mask_bbox_crop,534361,0,37,731,768,15653,3.0285,2.6538,0.13740324974060059,0.00324323121458292,0.13416001852601767,alex,256,cuda,ok,
p021_loss_small,p021,architecture_structured,Interior of the Oude Kerk in Delft,p021_loss_small,loss_small,lama,mask_bbox_crop,589824,0,0,768,768,17382,3.4873,2.947,0.13929502665996552,0.005044152494519949,0.13425087416544557,alex,256,cuda,ok,
