case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,opencv_telea,full_image,589824,0,0,768,768,67242,13.2058,11.4003,0.2640497088432312,0.08896052092313766,0.17508918792009354,alex,256,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,opencv_telea,content_region,509184,52,0,715,768,67242,13.2058,11.4003,0.28821808099746704,0.10145629942417145,0.1867617815732956,alex,256,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,opencv_telea,mask_bbox_crop,178929,197,314,620,737,67242,13.2058,11.4003,0.5921071767807007,0.2738807201385498,0.3182264566421509,alex,256,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,opencv_telea,full_image,589824,0,0,768,768,24198,4.7523,4.1026,0.33528822660446167,0.005583113059401512,0.32970511354506016,alex,256,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,opencv_telea,content_region,509184,52,0,715,768,24198,4.7523,4.1026,0.31892648339271545,0.0064400495029985905,0.31248643388971686,alex,256,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,opencv_telea,mask_bbox_crop,471969,48,1,735,688,24198,4.7523,4.1026,0.34100931882858276,0.007826346904039383,0.3331829719245434,alex,256,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,opencv_telea,full_image,589824,0,0,768,768,44392,8.7183,7.5263,0.41632840037345886,0.030484460294246674,0.3858439400792122,alex,256,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,opencv_telea,content_region,509184,52,0,715,768,44392,8.7183,7.5263,0.43684709072113037,0.030697088688611984,0.4061500020325184,alex,256,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,589824,0,0,768,768,44392,8.7183,7.5263,0.41632840037345886,0.030484460294246674,0.3858439400792122,alex,256,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,opencv_telea,full_image,589824,0,0,768,768,8012,1.5735,1.3584,0.4253467917442322,0.005461147055029869,0.4198856446892023,alex,256,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,opencv_telea,content_region,509184,52,0,715,768,8012,1.5735,1.3584,0.44158411026000977,0.003249412402510643,0.4383346978574991,alex,256,cuda,ok,
