case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,stable_diffusion_inpainting,full_image,589824,0,0,768,768,67242,13.2058,11.4003,0.2640497088432312,0.08455106616020203,0.17949864268302917,alex,256,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,stable_diffusion_inpainting,content_region,509184,52,0,715,768,67242,13.2058,11.4003,0.28821808099746704,0.09707529097795486,0.19114279001951218,alex,256,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,140625,221,338,596,713,67242,13.2058,11.4003,0.6643260717391968,0.27319368720054626,0.3911323845386505,alex,256,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,stable_diffusion_inpainting,full_image,589824,0,0,768,768,24198,4.7523,4.1026,0.33528822660446167,0.03960106521844864,0.29568716138601303,alex,256,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,stable_diffusion_inpainting,content_region,509184,52,0,715,768,24198,4.7523,4.1026,0.31892648339271545,0.04293619096279144,0.275990292429924,alex,256,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,408321,72,25,711,664,24198,4.7523,4.1026,0.3563153147697449,0.05031324177980423,0.30600207298994064,alex,256,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,full_image,589824,0,0,768,768,44392,8.7183,7.5263,0.41632840037345886,0.17186395823955536,0.2444644421339035,alex,256,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,content_region,509184,52,0,715,768,44392,8.7183,7.5263,0.43684709072113037,0.17950135469436646,0.2573457360267639,alex,256,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,44392,8.7183,7.5263,0.41632840037345886,0.17186395823955536,0.2444644421339035,alex,256,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,stable_diffusion_inpainting,full_image,589824,0,0,768,768,8012,1.5735,1.3584,0.4253467917442322,0.263627290725708,0.16171950101852417,alex,256,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,stable_diffusion_inpainting,content_region,509184,52,0,715,768,8012,1.5735,1.3584,0.44158411026000977,0.2730998992919922,0.16848421096801758,alex,256,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,8012,1.5735,1.3584,0.4253467917442322,0.263627290725708,0.16171950101852417,alex,256,cuda,ok,
p001_zero_control,p001,portrait_figure,Juan de Pareja,p001_zero_control,zero_control,stable_diffusion_inpainting,full_image,589824,0,0,768,768,0,0.0,0.0,0.0,0.0,0.0,alex,256,cuda,ok,
p001_zero_control,p001,portrait_figure,Juan de Pareja,p001_zero_control,zero_control,stable_diffusion_inpainting,content_region,509184,52,0,715,768,0,0.0,0.0,0.0,0.0,0.0,alex,256,cuda,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,stable_diffusion_inpainting,full_image,589824,0,0,768,768,49705,14.4143,8.4271,0.17036934196949005,0.06283752620220184,0.10753181576728821,alex,256,cuda,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,stable_diffusion_inpainting,content_region,344832,159,0,608,768,49705,14.4143,8.4271,0.24802906811237335,0.10244289040565491,0.14558617770671844,alex,256,cuda,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,97344,283,434,595,746,49705,14.4143,8.4271,0.680068850517273,0.2725929915904999,0.40747585892677307,alex,256,cuda,ok,
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_small,loss_small,stable_diffusion_inpainting,full_image,589824,0,0,768,768,19520,5.6607,3.3095,0.1489289551973343,0.03238261863589287,0.11654633656144142,alex,256,cuda,ok,
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_small,loss_small,stable_diffusion_inpainting,content_region,344832,159,0,608,768,19520,5.6607,3.3095,0.22806912660598755,0.0501411035656929,0.17792802304029465,alex,256,cuda,ok,
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,508369,11,37,724,750,19520,5.6607,3.3095,0.14800113439559937,0.034157894551754,0.11384323984384537,alex,256,cuda,ok,
p002_mixed_damage,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_mixed_damage,mixed_damage,stable_diffusion_inpainting,full_image,589824,0,0,768,768,42027,12.1877,7.1253,0.4236736595630646,0.22368982434272766,0.19998383522033691,alex,256,cuda,ok,
p002_mixed_damage,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_mixed_damage,mixed_damage,stable_diffusion_inpainting,content_region,344832,159,0,608,768,42027,12.1877,7.1253,0.48550868034362793,0.24755242466926575,0.23795625567436218,alex,256,cuda,ok,
p002_mixed_damage,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,42027,12.1877,7.1253,0.4236736595630646,0.22368982434272766,0.19998383522033691,alex,256,cuda,ok,
p002_scratch_thin,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_scratch_thin,scratch_thin,stable_diffusion_inpainting,full_image,589824,0,0,768,768,8436,2.4464,1.4303,0.28562024235725403,0.163702130317688,0.12191811203956604,alex,256,cuda,ok,
p002_scratch_thin,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_scratch_thin,scratch_thin,stable_diffusion_inpainting,content_region,344832,159,0,608,768,8436,2.4464,1.4303,0.3921394348144531,0.24907150864601135,0.14306792616844177,alex,256,cuda,ok,
