evaluation_region,mask_type,rows,cases,mean_damaged_lpips,mean_restored_lpips,mean_lpips_improvement,median_damaged_lpips,median_restored_lpips,median_lpips_improvement,improvement_rate,mean_region_pixel_count
content_region,loss_large,50,50,0.20968,0.13045,0.07923,0.19131,0.13145,0.07405,0.98,454656.0
content_region,loss_small,50,50,0.18592,0.08421,0.10172,0.17568,0.07711,0.09346,0.98,454656.0
content_region,mixed_damage,50,50,0.35524,0.15875,0.19649,0.34546,0.15118,0.20493,1.0,454656.0
content_region,scratch_thin,50,50,0.28975,0.15887,0.13088,0.29345,0.15144,0.14072,0.9,454656.0
content_region,zero_control,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454656.0
full_image,loss_large,50,50,0.17097,0.09703,0.07393,0.16219,0.09427,0.06924,1.0,589824.0
full_image,loss_small,50,50,0.15516,0.06057,0.09459,0.14588,0.05748,0.09203,1.0,589824.0
full_image,mixed_damage,50,50,0.30743,0.1243,0.18313,0.30914,0.12546,0.19024,1.0,589824.0
full_image,scratch_thin,50,50,0.25229,0.12405,0.12824,0.2505,0.1128,0.14146,0.9,589824.0
full_image,zero_control,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589824.0
mask_bbox_crop,loss_large,50,50,0.57325,0.35184,0.22141,0.5926,0.33265,0.20923,1.0,137882.06
mask_bbox_crop,loss_small,50,50,0.20216,0.09346,0.1087,0.19557,0.08668,0.09834,1.0,369764.72
mask_bbox_crop,mixed_damage,50,50,0.31851,0.13017,0.18833,0.31766,0.12634,0.19133,1.0,560881.26
mask_bbox_crop,scratch_thin,50,50,0.26245,0.13122,0.13123,0.25635,0.11344,0.14715,0.9,562828.24
