lpips_row_id,lpips_case_id,metric_case_id,restoration_case_id,source_case_id,source_case_id_original,case_id,dataset_name,metric_applicability,painting_id,category,title,artist,style,model_name,mask_id,mask_type,metric_mask_id,metric_mask_type,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,mask_area_pixels,is_zero_control,mask_threshold_rule,mask_bbox_margin,lpips_net,lpips_input_size,damaged_lpips,restored_lpips,lpips_improvement,metric_runtime_seconds,case_runtime_seconds,lpips_schema_version,lpips_implementation_name,device,python_version,numpy_version,pandas_version,pillow_version,torch_version,lpips_package_version,status,issue,rank_group
lama__mask_robustness__mask_robustness__p001__loss_large__variant_05__mask_bbox_crop__lpips,lama__mask_robustness__mask_robustness__p001__loss_large__variant_05,lama__mask_robustness__mask_robustness__p001__loss_large__variant_05,lama__mask_robustness__mask_robustness__p001__loss_large__variant_05,mask_robustness__p001__loss_large__variant_05,p001__loss_large__variant_05,mask_robustness__p001__loss_large__variant_05,mask_robustness,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,,,,,mask_bbox_crop,143641,306,101,685,480,63643,False,> 127,8,alex,256,0.6983163356781006,0.09651003032922745,0.6018063053488731,0.052498199976980686,0.3719652999425307,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,strongest_improvement
lama__canonical__canonical__p011_loss_large__mask_bbox_crop__lpips,lama__canonical__canonical__p011_loss_large,lama__canonical__canonical__p011_loss_large,lama__canonical__canonical__p011_loss_large,canonical__p011_loss_large,p011_loss_large,canonical__p011_loss_large,canonical,primary,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,Jan van Goyen,,lama,p011_loss_large,loss_large,p011_loss_large,loss_large,mask_bbox_crop,92416,351,284,655,588,42824,False,> 127,8,alex,256,0.6887830495834351,0.1279796063899994,0.5608034431934357,0.0332738000433892,0.3293182000052184,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,strongest_improvement
lama__damage_size__damage_size__p026__loss_large__size_02pct__mask_bbox_crop__lpips,lama__damage_size__damage_size__p026__loss_large__size_02pct,lama__damage_size__damage_size__p026__loss_large__size_02pct,lama__damage_size__damage_size__p026__loss_large__size_02pct,damage_size__p026__loss_large__size_02pct,p026__loss_large__size_02pct,damage_size__p026__loss_large__size_02pct,damage_size,primary,p026,architecture_structured,View of a Village along a River,attributed to Jan Brueghel I,,lama,,,,,mask_bbox_crop,16384,479,262,607,390,8147,False,> 127,8,alex,256,0.6553181409835815,0.09630772471427917,0.5590104162693024,0.03779129998292774,0.3397238999605179,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,strongest_improvement
lama__damage_size__damage_size__p001__loss_large__size_02pct__mask_bbox_crop__lpips,lama__damage_size__damage_size__p001__loss_large__size_02pct,lama__damage_size__damage_size__p001__loss_large__size_02pct,lama__damage_size__damage_size__p001__loss_large__size_02pct,damage_size__p001__loss_large__size_02pct,p001__loss_large__size_02pct,damage_size__p001__loss_large__size_02pct,damage_size,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,,,,,mask_bbox_crop,32761,326,125,507,306,10169,False,> 127,8,alex,256,0.6093716621398926,0.07560780644416809,0.5337638556957245,0.03274309996049851,0.3654296000022441,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,strongest_improvement
lama__canonical__canonical__p044_loss_large__mask_bbox_crop__lpips,lama__canonical__canonical__p044_loss_large,lama__canonical__canonical__p044_loss_large,lama__canonical__canonical__p044_loss_large,canonical__p044_loss_large,p044_loss_large,canonical__p044_loss_large,canonical,primary,p044,high_texture_brushwork,Versailles,Auguste Renoir,Impressionism,lama,p044_loss_large,loss_large,p044_loss_large,loss_large,mask_bbox_crop,106276,136,122,462,448,57276,False,> 127,8,alex,256,0.7665926218032837,0.23546066880226135,0.5311319530010223,0.042592399986460805,0.37493380007799715,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,strongest_improvement
lama__damage_size__damage_size__p001__loss_large__size_04pct__mask_bbox_crop__lpips,lama__damage_size__damage_size__p001__loss_large__size_04pct,lama__damage_size__damage_size__p001__loss_large__size_04pct,lama__damage_size__damage_size__p001__loss_large__size_04pct,damage_size__p001__loss_large__size_04pct,p001__loss_large__size_04pct,damage_size__p001__loss_large__size_04pct,damage_size,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,,,,,mask_bbox_crop,62001,292,91,541,340,20290,False,> 127,8,alex,256,0.6345361471176147,0.10844222456216812,0.5260939225554466,0.03151919995434582,0.30259910004679114,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,strongest_improvement
lama__canonical__canonical__p001_scratch_thin__mask_bbox_crop__lpips,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,canonical__p001_scratch_thin,p001_scratch_thin,canonical__p001_scratch_thin,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_scratch_thin,scratch_thin,p001_scratch_thin,scratch_thin,mask_bbox_crop,589824,0,0,768,768,12058,False,> 127,8,alex,256,0.5241221189498901,0.0016946960240602493,0.5224274229258299,0.08098049997352064,0.38351509999483824,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,strongest_improvement
lama__damage_size__damage_size__p026__loss_large__size_04pct__mask_bbox_crop__lpips,lama__damage_size__damage_size__p026__loss_large__size_04pct,lama__damage_size__damage_size__p026__loss_large__size_04pct,lama__damage_size__damage_size__p026__loss_large__size_04pct,damage_size__p026__loss_large__size_04pct,p026__loss_large__size_04pct,damage_size__p026__loss_large__size_04pct,damage_size,primary,p026,architecture_structured,View of a Village along a River,attributed to Jan Brueghel I,,lama,,,,,mask_bbox_crop,30625,456,240,631,415,16243,False,> 127,8,alex,256,0.6535576581954956,0.1319011151790619,0.5216565430164337,0.03885110002011061,0.33969470008742064,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,strongest_improvement
lama__damage_size__damage_size__p026__loss_large__size_06pct__mask_bbox_crop__lpips,lama__damage_size__damage_size__p026__loss_large__size_06pct,lama__damage_size__damage_size__p026__loss_large__size_06pct,lama__damage_size__damage_size__p026__loss_large__size_06pct,damage_size__p026__loss_large__size_06pct,p026__loss_large__size_06pct,damage_size__p026__loss_large__size_06pct,damage_size,primary,p026,architecture_structured,View of a Village along a River,attributed to Jan Brueghel I,,lama,,,,,mask_bbox_crop,44521,438,221,649,432,24409,False,> 127,8,alex,256,0.6626418232917786,0.1444486379623413,0.5181931853294373,0.04087239992804825,0.3471360000548884,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,strongest_improvement
lama__damage_size__damage_size__p026__loss_large__size_08pct__mask_bbox_crop__lpips,lama__damage_size__damage_size__p026__loss_large__size_08pct,lama__damage_size__damage_size__p026__loss_large__size_08pct,lama__damage_size__damage_size__p026__loss_large__size_08pct,damage_size__p026__loss_large__size_08pct,p026__loss_large__size_08pct,damage_size__p026__loss_large__size_08pct,damage_size,primary,p026,architecture_structured,View of a Village along a River,attributed to Jan Brueghel I,,lama,,,,,mask_bbox_crop,57600,423,206,663,446,32448,False,> 127,8,alex,256,0.6642674207687378,0.14776204526424408,0.5165053755044937,0.05523599998559803,0.34818700002506375,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,strongest_improvement
