case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue
p006_scratch_thin,p006,portrait_figure,Boy with a Sword,p006_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,494209,33,65,736,768,13053,2.9507,2.213,0.46624433994293213,0.00511857308447361,0.4611257668584585,alex,256,cuda,ok,
p010_mixed_damage,p010,portrait_figure,Joan of Arc,p010_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,589824,0,0,768,768,48195,9.0293,8.1711,0.49672678112983704,0.055791180580854416,0.4409356005489826,alex,256,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,589824,0,0,768,768,8012,1.5735,1.3584,0.4253467917442322,0.005461147055029869,0.4198856446892023,alex,256,cuda,ok,
p050_scratch_thin,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,589824,0,0,768,768,11991,2.6827,2.033,0.4201236367225647,0.0038842856884002686,0.41623935103416443,alex,256,cuda,ok,
p014_scratch_thin,p014,landscape_natural,Landscape on a River,p014_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,301401,219,109,768,658,8107,2.4267,1.3745,0.421140193939209,0.005662888288497925,0.41547730565071106,alex,256,cuda,ok,
p006_mixed_damage,p006,portrait_figure,Boy with a Sword,p006_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,589824,0,0,768,768,44236,9.9998,7.4999,0.43814849853515625,0.02942579984664917,0.4087226986885071,alex,256,cuda,ok,
p022_scratch_thin,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",p022_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,454276,47,0,721,674,11554,2.5158,1.9589,0.41253697872161865,0.004629465751349926,0.4079075129702687,alex,256,cuda,ok,
p027_mixed_damage,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,p027_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,541696,0,15,736,751,44664,9.6766,7.5724,0.4683019816875458,0.06944957375526428,0.3988524079322815,alex,256,cuda,ok,
p027_scratch_thin,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,p027_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,589824,0,0,768,768,9175,1.9878,1.5555,0.39669567346572876,0.001926748314872384,0.3947689251508564,alex,256,cuda,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,opencv_telea,mask_bbox_crop,129600,259,408,619,768,49705,14.4143,8.4271,0.5892032980918884,0.2020873725414276,0.3871159255504608,alex,256,cuda,ok,
