category,evaluation_region,rows,cases,median_damaged_lpips,median_restored_lpips,median_lpips_improvement,mean_damaged_lpips,mean_restored_lpips,mean_lpips_improvement,improvement_rate,median_region_pixel_count
portrait_figure,content_region,82,82,0.234163,0.007797,0.208935,0.236831,0.031126,0.205705,0.756098,509184.0
architecture_structured,content_region,82,82,0.220478,0.009896,0.196027,0.209218,0.023843,0.185376,0.756098,406272.0
landscape_natural,content_region,82,82,0.202475,0.013222,0.164613,0.192193,0.025038,0.167156,0.756098,389376.0
high_texture_brushwork,content_region,82,82,0.169649,0.00875,0.136386,0.180051,0.027448,0.152603,0.756098,469248.0
abstraction_surrealism,content_region,82,82,0.120263,0.006508,0.091714,0.114216,0.025627,0.088589,0.756098,433152.0
portrait_figure,full_image,82,82,0.216454,0.005546,0.186052,0.213899,0.026376,0.187523,0.756098,589824.0
architecture_structured,full_image,82,82,0.184031,0.006703,0.160202,0.179212,0.017618,0.161594,0.756098,589824.0
landscape_natural,full_image,82,82,0.154241,0.007787,0.132139,0.147359,0.015867,0.131492,0.756098,589824.0
high_texture_brushwork,full_image,82,82,0.137319,0.006541,0.112728,0.153946,0.021683,0.132264,0.756098,589824.0
abstraction_surrealism,full_image,82,82,0.103776,0.004137,0.079922,0.100598,0.019785,0.080813,0.756098,589824.0
architecture_structured,mask_bbox_crop,70,70,0.346153,0.020842,0.333911,0.368345,0.079546,0.2888,0.885714,385130.5
portrait_figure,mask_bbox_crop,72,72,0.351794,0.015029,0.31683,0.376655,0.080399,0.296256,0.861111,430361.0
landscape_natural,mask_bbox_crop,72,72,0.276903,0.018246,0.253983,0.313159,0.075501,0.237658,0.861111,343397.0
high_texture_brushwork,mask_bbox_crop,71,71,0.293124,0.021738,0.253738,0.320869,0.093304,0.227565,0.873239,332929.0
abstraction_surrealism,mask_bbox_crop,70,70,0.182783,0.019307,0.174263,0.251472,0.086103,0.16537,0.885714,391522.5
