category,evaluation_region,rows,cases,mean_damaged_lpips,mean_restored_lpips,mean_lpips_improvement,median_damaged_lpips,median_restored_lpips,median_lpips_improvement,improvement_rate,mean_region_pixel_count
abstraction_surrealism,content_region,50,50,0.13888,0.01997,0.11891,0.15564,0.00575,0.11072,0.8,506419.2
abstraction_surrealism,full_image,50,50,0.12536,0.01716,0.10819,0.12675,0.00443,0.09969,0.8,589824.0
abstraction_surrealism,mask_bbox_crop,40,40,0.21952,0.05256,0.16696,0.19249,0.01222,0.16204,1.0,467135.45
architecture_structured,content_region,50,50,0.22577,0.0213,0.20447,0.23081,0.00783,0.18847,0.8,437760.0
architecture_structured,full_image,50,50,0.1941,0.01576,0.17833,0.20054,0.00543,0.1675,0.8,589824.0
architecture_structured,mask_bbox_crop,40,40,0.3458,0.0583,0.28751,0.32303,0.0189,0.29626,1.0,404083.95
high_texture_brushwork,content_region,50,50,0.22183,0.02154,0.20029,0.23608,0.00986,0.20871,0.8,458803.2
high_texture_brushwork,full_image,50,50,0.1881,0.01666,0.17144,0.20397,0.00754,0.16627,0.8,589824.0
high_texture_brushwork,mask_bbox_crop,40,40,0.33162,0.05494,0.27668,0.31414,0.01523,0.26687,1.0,427452.45
landscape_natural,content_region,50,50,0.21906,0.02183,0.19723,0.22344,0.00949,0.18517,0.8,413030.4
landscape_natural,full_image,50,50,0.1687,0.01482,0.15388,0.15863,0.00567,0.14389,0.8,589824.0
landscape_natural,mask_bbox_crop,40,40,0.31471,0.05101,0.2637,0.29755,0.01588,0.26911,1.0,428443.175
portrait_figure,content_region,50,50,0.23506,0.01758,0.21748,0.24164,0.00587,0.22244,0.8,457267.2
portrait_figure,full_image,50,50,0.20961,0.01436,0.19525,0.19338,0.00479,0.17867,0.8,589824.0
portrait_figure,mask_bbox_crop,40,40,0.3535,0.04923,0.30427,0.34043,0.01247,0.30913,1.0,447260.925
