evaluation_region,category,rows,cases,mean_damaged_lpips,mean_restored_lpips,mean_lpips_improvement,median_damaged_lpips,median_restored_lpips,median_lpips_improvement,improvement_rate,mean_region_pixel_count
content_region,abstraction_surrealism,50,50,0.13888,0.03532,0.10356,0.15564,0.01937,0.09162,0.8,506419.2
content_region,architecture_structured,50,50,0.22577,0.04249,0.18328,0.23081,0.01881,0.14248,0.8,437760.0
content_region,high_texture_brushwork,50,50,0.22183,0.03803,0.1838,0.23608,0.01939,0.19008,0.8,458803.2
content_region,landscape_natural,50,50,0.21906,0.04617,0.17289,0.22344,0.02783,0.14218,0.8,413030.4
content_region,portrait_figure,50,50,0.23506,0.03349,0.20156,0.24164,0.01917,0.18858,0.8,457267.2
full_image,abstraction_surrealism,50,50,0.12536,0.03083,0.09453,0.12675,0.01651,0.07955,0.8,589824.0
full_image,architecture_structured,50,50,0.1941,0.03221,0.16188,0.20054,0.01555,0.12905,0.8,589824.0
full_image,high_texture_brushwork,50,50,0.1881,0.03006,0.15804,0.20397,0.01392,0.14818,0.8,589824.0
full_image,landscape_natural,50,50,0.1687,0.03206,0.13664,0.15863,0.01398,0.11153,0.8,589824.0
full_image,portrait_figure,50,50,0.20961,0.02704,0.18257,0.19338,0.01334,0.17284,0.8,589824.0
mask_bbox_crop,abstraction_surrealism,40,40,0.21952,0.08039,0.13913,0.19249,0.03287,0.14185,1.0,467135.45
mask_bbox_crop,architecture_structured,40,40,0.3458,0.10698,0.23882,0.32303,0.041,0.2254,1.0,404083.95
mask_bbox_crop,high_texture_brushwork,40,40,0.33162,0.09512,0.23651,0.31414,0.03764,0.22605,1.0,427452.45
mask_bbox_crop,landscape_natural,40,40,0.31471,0.10752,0.20719,0.29755,0.03842,0.20936,1.0,428443.175
mask_bbox_crop,portrait_figure,40,40,0.3535,0.08334,0.27016,0.34043,0.02996,0.26448,1.0,447260.925
