case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue
p017_loss_large,p017,landscape_natural,Picturesque Landscape,p017_loss_large,loss_large,opencv_telea,mask_bbox_crop,142884,138,390,516,768,45832,10.5437,7.7705,0.3723841607570648,0.33948254585266113,0.032901614904403687,alex,256,cuda,ok,
p020_loss_large,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_loss_large,loss_large,opencv_telea,mask_bbox_crop,132496,389,276,753,640,51159,12.5923,8.6736,0.4251325726509094,0.3839724063873291,0.04116016626358032,alex,256,cuda,ok,
p036_loss_small,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_small,loss_small,opencv_telea,mask_bbox_crop,521284,0,0,722,722,18062,3.0623,3.0623,0.06012517213821411,0.018700847402215004,0.04142432473599911,alex,256,cuda,ok,
p036_loss_large,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_large,loss_large,opencv_telea,mask_bbox_crop,419904,39,102,687,750,92174,15.6274,15.6274,0.2463143765926361,0.19810885190963745,0.04820552468299866,alex,256,cuda,ok,
p035_loss_small,p035,abstraction_surrealism,The Bewitched Mill,p035_loss_small,loss_small,opencv_telea,mask_bbox_crop,488601,69,69,768,768,13591,3.339,2.3042,0.06725757569074631,0.009462990798056126,0.05779458489269018,alex,256,cuda,ok,
p035_scratch_thin,p035,abstraction_surrealism,The Bewitched Mill,p035_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,589824,0,0,768,768,6576,1.6156,1.1149,0.07272163778543472,0.0008786413818597794,0.07184299640357494,alex,256,cuda,ok,
p032_loss_large,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_large,loss_large,opencv_telea,mask_bbox_crop,446224,38,47,706,715,88089,15.3959,14.9348,0.2490488886833191,0.17712607979774475,0.07192280888557434,alex,256,cuda,ok,
p035_loss_large,p035,abstraction_surrealism,The Bewitched Mill,p035_loss_large,loss_large,opencv_telea,mask_bbox_crop,124609,253,74,606,427,44445,10.9191,7.5353,0.3712199330329895,0.2992211580276489,0.07199877500534058,alex,256,cuda,ok,
p031_loss_small,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),p031_loss_small,loss_small,opencv_telea,mask_bbox_crop,537289,35,35,768,768,22150,3.7701,3.7554,0.09255994856357574,0.020082129165530205,0.07247781939804554,alex,256,cuda,ok,
p034_loss_small,p034,abstraction_surrealism,Painting with Green Center,p034_loss_small,loss_small,opencv_telea,mask_bbox_crop,494209,65,62,768,765,18146,3.3046,3.0765,0.09496395289897919,0.01801418513059616,0.07694976776838303,alex,256,cuda,ok,
