case_id,painting_id,category,title,mask_type,mse_improvement,restored_mse,mae_improvement,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement,mse_improvement_rank,lpips_improvement_rank,rank_difference_mse_minus_lpips,absolute_rank_difference
p042_loss_large,p042,high_texture_brushwork,View of Beirut,loss_large,5184.239700317383,35.87309265136719,65.61999797821045,21.62911067864953,0.44703298807144165,0.12716208398342133,0.3198709040880203,192.0,29.0,163.0,163.0
p019_loss_small,p019,landscape_natural,Evening: Landscape with an Aqueduct,loss_small,44883.55497741699,211.9489288330078,201.28735542297363,23.27902018150616,0.13740324974060059,0.009668958373367786,0.1277342913672328,13.0,166.0,-153.0,153.0
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),loss_small,45021.30486297608,73.05841827392578,206.42278003692627,27.904519937637083,0.1513971984386444,0.0136558897793293,0.1377413086593151,12.0,160.0,-148.0,148.0
p021_loss_small,p021,architecture_structured,Interior of the Oude Kerk in Delft,loss_small,36344.1103515625,599.9091796875,171.2017002105713,17.894586376986883,0.13929502665996552,0.014993109740316868,0.12430191691964865,34.0,171.0,-137.0,137.0
p011_loss_large,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,loss_large,18997.17807006836,287.2887268066406,125.70010566711426,18.26889050769048,0.6593158841133118,0.30025041103363037,0.3590654730796814,149.0,19.0,130.0,130.0
p003_loss_small,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,loss_small,35172.7975769043,452.4289855957031,172.93438148498535,18.962072140442075,0.1557527482509613,0.026070980355143547,0.12968176789581776,41.0,165.0,-124.0,124.0
p042_mixed_damage,p042,high_texture_brushwork,View of Beirut,mixed_damage,12680.769104003906,614.9369506835938,90.65000820159912,13.34880815074018,0.33408433198928833,0.05557846277952194,0.2785058692097664,176.0,53.0,123.0,123.0
p044_scratch_thin,p044,high_texture_brushwork,Versailles,scratch_thin,20893.765090942383,86.70170593261719,130.50173330307007,23.837875039464063,0.3671807050704956,0.0013843282358720899,0.3657963768346235,139.0,17.0,122.0,122.0
p027_mixed_damage,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,mixed_damage,23249.70098876953,688.9240112304688,129.80554580688477,15.40927879956234,0.4683019816875458,0.06944957375526428,0.3988524079322815,129.0,8.0,121.0,121.0
p049_loss_small,p049,high_texture_brushwork,Peonies,loss_small,32699.17694091797,347.22930908203125,164.65492820739746,19.785078613095205,0.15483713150024414,0.019460372626781464,0.13537675887346268,51.0,162.0,-111.0,111.0
p030_loss_small,p030,architecture_structured,Interior with Five Women,loss_small,30988.70556640625,672.68505859375,158.54359436035156,16.727182045189966,0.15636682510375977,0.03292619436979294,0.12344063073396683,63.0,172.0,-109.0,109.0
p044_loss_large,p044,high_texture_brushwork,Versailles,loss_large,15768.85922241211,475.0245666503906,107.74660110473631,15.339738033927633,0.564807116985321,0.29692283272743225,0.2678842842578888,166.0,60.0,106.0,106.0
p025_mixed_damage,p025,architecture_structured,The Quay de Paris in Rouen,mixed_damage,17671.193939208984,472.0580139160156,106.39927768707275,15.847197567531085,0.31241682171821594,0.033825017511844635,0.2785918042063713,157.0,52.0,105.0,105.0
p020_mixed_damage,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),mixed_damage,4540.541717529297,436.2405090332031,50.75857925415039,10.572226459126258,0.2603759467601776,0.04301323741674423,0.21736270934343338,193.0,92.0,101.0,101.0
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,loss_large,34788.599853515625,2166.282958984375,153.13356399536133,12.319566460668938,0.4133918583393097,0.2612385153770447,0.15215334296226501,45.0,146.0,-101.0,101.0
p014_mixed_damage,p014,landscape_natural,Landscape on a River,mixed_damage,24221.775665283203,491.1813659667969,137.96792030334473,17.016828315192193,0.4394245743751526,0.06708231568336487,0.3723422586917877,117.0,16.0,101.0,101.0
p040_loss_small,p040,abstraction_surrealism,Houses at Murnau,loss_small,28794.397033691406,850.9896850585938,144.62960815429688,15.420328240271456,0.11582774668931961,0.015055088326334953,0.10077265836298466,83.0,183.0,-100.0,100.0
p005_loss_large,p005,portrait_figure,Self-Portrait with Two Pupils,loss_large,35037.200439453125,1329.151123046875,160.67140579223633,14.37125370282389,0.433108925819397,0.27373266220092773,0.15937626361846924,42.0,142.0,-100.0,100.0
p009_loss_large,p009,portrait_figure,Madame Roulin and Her Baby,loss_large,18937.0322265625,2045.8681640625,94.02520561218262,10.109878746659383,0.6020157337188721,0.32476484775543213,0.27725088596343994,151.0,54.0,97.0,97.0
p012_mixed_damage,p012,landscape_natural,An Extensive Wooded Landscape,mixed_damage,15732.673583984377,812.929931640625,105.4151725769043,13.086294987273453,0.29214197397232056,0.0490788035094738,0.24306317046284676,167.0,71.0,96.0,96.0
