dataset_name,case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,metric_module,metric_version,metric_timestamp_utc,python_version,numpy_version,pandas_version,skimage_version,status,issue
synthetic,p001__dirt_dust__mild,p001,portrait_figure,Juan de Pareja,,,opencv_telea,full_image,589824,0.0,0.0,768.0,768.0,,,,0.0001650209742365405,0.20917369425296783,-0.2090086732787313,0.0001650209742365405,0.011470653116703033,-0.011305632142466493,85.95541214131043,54.92573294243988,-31.029679198870554,0.9999997622637996,0.9995250809113877,-0.0004746813524119098,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
synthetic,p001__dirt_dust__mild,p001,portrait_figure,Juan de Pareja,,,opencv_telea,content_region,509184,52.0,0.0,715.0,768.0,,,,0.0001911555154947564,0.24230074882507324,-0.24210959330957849,0.0001911555154947564,0.013287272304296494,-0.013096116788801737,85.31693527441034,54.28725604550897,-31.029679228901372,0.9999997242694297,0.9994895109646453,-0.0005102133047844015,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
synthetic,p001__dirt_dust__mild,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,179470,,,,,,,,0.0005423375987447798,0.6874445080757141,-0.6869021704769693,0.0005423375987447798,0.037698037922382355,-0.037155700323637575,80.78810646970254,49.75842714088047,-31.02967932882207,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
synthetic,p001__dirt_dust__mild,p001,portrait_figure,Juan de Pareja,,,opencv_telea,boundary_region,15557,,,,,,,,0.002356923883780837,5.375565052032471,-5.37320812814869,0.002356923883780837,0.2863662540912628,-0.284009330207482,74.40734803539912,40.82656239055766,-33.58078564484146,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
synthetic,p001__dirt_dust__mild,p001,portrait_figure,Juan de Pareja,,,opencv_telea,outside_mask_region,329714,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
synthetic,p001__dirt_dust__mild,p001,portrait_figure,Juan de Pareja,,,opencv_telea,mask_bbox_crop,519435,44.0,0.0,723.0,765.0,,,,0.0001873830915428698,0.23751896619796753,-0.23733158310642466,0.0001873830915428698,0.013025050051510334,-0.012837666959967464,85.4034996098065,54.37382066543879,-31.02967894436771,0.9999997297607544,0.9994601504691829,-0.0005395792915714459,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
synthetic,p001__dirt_dust__moderate,p001,portrait_figure,Juan de Pareja,,,opencv_telea,full_image,589824,0.0,0.0,768.0,768.0,,,,0.008196795359253883,0.47166159749031067,-0.4634648021310568,0.006763599347323179,0.03465892747044563,-0.027895328123122454,68.99436268218307,51.3944984327599,-17.599864249423163,0.999946472937503,0.9986265211413606,-0.0013199517961424156,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
synthetic,p001__dirt_dust__moderate,p001,portrait_figure,Juan de Pareja,,,opencv_telea,content_region,509184,52.0,0.0,715.0,768.0,,,,0.009494930505752563,0.546359121799469,-0.5368641912937164,0.007834757678210735,0.040147896856069565,-0.03231313917785883,68.35588570423482,50.75602162582875,-17.59986407840607,0.999938119573581,0.9984335164293322,-0.0015046031442488284,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
synthetic,p001__dirt_dust__moderate,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,130222,,,,,,,,0.037126343697309494,2.13633131980896,-2.0992049761116505,0.030634865164756775,0.15698319673538208,-0.1263483315706253,62.43398180030414,44.83411753332389,-17.599864266980248,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
synthetic,p001__dirt_dust__moderate,p001,portrait_figure,Juan de Pareja,,,opencv_telea,boundary_region,22542,,,,,,,,0.1401384025812149,7.878966808319092,-7.738828405737877,0.1072220727801323,0.5830450057983398,-0.47582293301820755,56.66523198146472,39.16611089934797,-17.49912108211675,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
