painting_id,mask_id,mask_type,case_id_opencv,model_name_opencv,clean_path_opencv,damaged_path_opencv,restored_path_opencv,mask_path_opencv,status_opencv,case_id_lama,model_name_lama,clean_path_lama,damaged_path_lama,restored_path_lama,mask_path_lama,status_lama,title,artist,date,category,style_or_period,medium,source,source_url,license,filename
p001,p001_loss_large,loss_large,p001_loss_large,opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,ok,p001_loss_large,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,data/processed/restored/lama/p001_loss_large_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,ok,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg
p001,p001_loss_small,loss_small,p001_loss_small,opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_small_mask.png,ok,p001_loss_small,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_small_damaged.png,data/processed/restored/lama/p001_loss_small_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_small_mask.png,ok,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg
p001,p001_mixed_damage,mixed_damage,p001_mixed_damage,opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_mixed_damage_mask.png,ok,p001_mixed_damage,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_mixed_damage_damaged.png,data/processed/restored/lama/p001_mixed_damage_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_mixed_damage_mask.png,ok,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg
p001,p001_scratch_thin,scratch_thin,p001_scratch_thin,opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_scratch_thin_mask.png,ok,p001_scratch_thin,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_scratch_thin_damaged.png,data/processed/restored/lama/p001_scratch_thin_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_scratch_thin_mask.png,ok,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg
p001,p001_zero_control,zero_control,p001_zero_control,opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_zero_control_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_zero_control_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_zero_control_mask.png,ok,p001_zero_control,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_zero_control_damaged.png,data/processed/restored/lama/p001_zero_control_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_zero_control_mask.png,ok,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg
p002,p002_loss_large,loss_large,p002_loss_large,opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_large_mask.png,ok,p002_loss_large,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_large_damaged.png,data/processed/restored/lama/p002_loss_large_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_large_mask.png,ok,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg
p002,p002_loss_small,loss_small,p002_loss_small,opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_small_mask.png,ok,p002_loss_small,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_small_damaged.png,data/processed/restored/lama/p002_loss_small_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_small_mask.png,ok,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg
p002,p002_mixed_damage,mixed_damage,p002_mixed_damage,opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_mixed_damage_mask.png,ok,p002_mixed_damage,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_mixed_damage_damaged.png,data/processed/restored/lama/p002_mixed_damage_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_mixed_damage_mask.png,ok,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg
p002,p002_scratch_thin,scratch_thin,p002_scratch_thin,opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_scratch_thin_mask.png,ok,p002_scratch_thin,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_scratch_thin_damaged.png,data/processed/restored/lama/p002_scratch_thin_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_scratch_thin_mask.png,ok,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg
p002,p002_zero_control,zero_control,p002_zero_control,opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_zero_control_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_zero_control_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_zero_control_mask.png,ok,p002_zero_control,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_zero_control_damaged.png,data/processed/restored/lama/p002_zero_control_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_zero_control_mask.png,ok,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg
