case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,status,issue
p006_mixed_damage,p006,portrait_figure,Boy with a Sword,p006_mixed_damage,mixed_damage,opencv_telea,masked_region,44236,,,,,44236,9.9998,7.4999,51966.46484375,125.12757873535156,51841.33726501465,227.11514282226562,5.385485649108887,221.72965717315674,0.973571870712628,27.157273199789916,26.183701329077287,,,,ok,
p006_loss_large,p006,portrait_figure,Boy with a Sword,p006_loss_large,loss_large,opencv_telea,masked_region,51891,,,,,51891,11.7303,8.7977,52182.81640625,344.2409973144531,51838.57540893555,227.9275665283203,11.80357551574707,216.12399101257324,0.9555284576862368,22.762177695795597,21.806649238109358,,,,ok,
p006_scratch_thin,p006,portrait_figure,Boy with a Sword,p006_scratch_thin,scratch_thin,opencv_telea,masked_region,13053,,,,,13053,2.9507,2.213,51070.07421875,72.9850082397461,50997.089210510254,224.1601104736328,3.604586362838745,220.55552411079407,1.0491387186355186,29.49846699478936,28.449328276153842,,,,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,opencv_telea,masked_region,49705,,,,,49705,14.4143,8.4271,51229.84765625,315.2899169921875,50914.55773925781,225.61866760253906,11.879395484924316,213.73927211761475,1.0355729646430696,23.14370278685415,22.10812982221108,,,,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,opencv_telea,masked_region,44392,,,,,44392,8.7183,7.5263,50740.69921875,219.76803588867188,50520.93118286133,224.4674072265625,7.844874382019043,216.62253284454346,1.0772391326102264,24.71115834048137,23.63391920787114,,,,ok,
p002_scratch_thin,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_scratch_thin,scratch_thin,opencv_telea,masked_region,8436,,,,,8436,2.4464,1.4303,50183.65625,69.27576446533203,50114.38048553467,222.0612030029297,3.182985544204712,218.87821745872498,1.1251806117602001,29.72499033902007,28.59980972725987,,,,ok,
p006_loss_small,p006,portrait_figure,Boy with a Sword,p006_loss_small,loss_small,opencv_telea,masked_region,22150,,,,,22150,5.0071,3.7554,49847.98046875,67.87867736816406,49780.101791381836,222.69287109375,3.346245288848877,219.34662580490112,1.1543279278481775,29.813469894689455,28.659141966841275,,,,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,opencv_telea,masked_region,8012,,,,,8012,1.5735,1.3584,48508.55859375,173.1220245361328,48335.43656921387,217.93804931640625,6.558287620544434,211.37976169586182,1.272619908817357,25.747280386537167,24.47466047771981,,,,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,opencv_telea,masked_region,67242,,,,,67242,13.2058,11.4003,48997.8046875,981.8536376953125,48015.95104980469,219.8046112060547,19.00289535522461,200.80171585083008,1.229037386651714,18.210336073770222,16.981298687118507,,,,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,opencv_telea,masked_region,24198,,,,,24198,4.7523,4.1026,46995.5,32.689231872558594,46962.81076812744,216.0694580078125,3.5549495220184326,212.51450848579407,1.4102408630948342,32.986756451645235,31.5765155885504,,,,ok,
