case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,status,issue
p036_loss_large,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_large,loss_large,opencv_telea,masked_region,92174,,,,,92174,15.6274,15.6274,5263.03271484375,4746.7626953125,516.27001953125,46.358219146728516,30.242277145385742,16.115942001342773,10.918442912815733,11.366828402707654,0.44838548989192084,,,,ok,
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_scratch_thin,scratch_thin,opencv_telea,masked_region,13905,,,,,13905,2.3575,2.3575,2009.9451904296875,38.38523483276367,1971.5599555969238,29.343353271484375,1.6090614795684814,27.734291791915894,15.098961461431877,32.28916158994954,17.190200128517667,,,,ok,
p032_mixed_damage,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_mixed_damage,mixed_damage,opencv_telea,masked_region,51647,,,,,51647,9.0267,8.7563,2763.68408203125,478.9772644042969,2284.706817626953,40.7200813293457,7.431790351867676,33.28829097747803,13.715919637258228,21.327654616038604,7.611734978780376,,,,ok,
p036_loss_small,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_small,loss_small,opencv_telea,masked_region,18062,,,,,18062,3.0623,3.0623,3290.943115234375,847.4501953125,2443.492919921875,37.02277374267578,7.999778747558594,29.022994995117188,12.957599853961828,18.849661767497665,5.892061913535837,,,,ok,
p032_loss_large,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_large,loss_large,opencv_telea,masked_region,88089,,,,,88089,15.3959,14.9348,7354.85400390625,4368.19775390625,2986.65625,61.183589935302734,32.82170486450195,28.36188507080078,9.465063045966385,11.727780696588203,2.262717650621818,,,,ok,
p036_mixed_damage,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_mixed_damage,mixed_damage,opencv_telea,masked_region,47780,,,,,47780,8.1007,8.1007,4701.5478515625,1155.855224609375,3545.692626953125,42.42812728881836,10.897690773010254,31.530436515808105,11.408395002247481,17.501769204605445,6.093374202357964,,,,ok,
p020_loss_small,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_loss_small,loss_small,opencv_telea,masked_region,13227,,,,,13227,3.2557,2.2425,4237.94580078125,256.5134582519531,3981.432342529297,62.286888122558594,9.104130744934082,53.18275737762451,11.859249626630596,24.039702050994958,12.180452424364361,,,,ok,
p020_mixed_damage,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_mixed_damage,mixed_damage,opencv_telea,masked_region,54098,,,,,54098,13.3157,9.1719,4976.7822265625,436.2405090332031,4540.541717529297,62.75547409057617,11.996894836425781,50.75857925415039,11.161317235137693,21.73354369426395,10.572226459126258,,,,ok,
p042_loss_large,p042,high_texture_brushwork,View of Beirut,p042_loss_large,loss_large,opencv_telea,masked_region,44565,,,,,44565,11.7464,7.5556,5220.11279296875,35.87309265136719,5184.239700317383,70.19696044921875,4.576962471008301,65.61999797821045,10.95400473797698,32.58311541662651,21.629110678649532,,,,ok,
p020_loss_large,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_loss_large,loss_large,opencv_telea,masked_region,51159,,,,,51159,12.5923,8.6736,6440.32666015625,1214.7965087890625,5225.5301513671875,72.3664779663086,25.514083862304688,46.852394104003906,10.041724650755764,17.285768257413928,7.244043606658163,,,,ok,
