rank,dataset_name,case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,metric_module,metric_version,metric_timestamp_utc,python_version,numpy_version,pandas_version,skimage_version,status,issue
1,mask_robustness,p001__scratch_thin__variant_01,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,10186,,,,,,,,54909.4765625,44.40283966064453,54865.07372283936,234.1381683349609,3.657307386398315,230.48086094856265,0.7343305715309524,31.656696157642585,30.922365586111628,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
2,canonical,p001_loss_small,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,18239,,,,,,,,54324.203125,68.4379653930664,54255.76515960693,232.4738311767578,4.542317867279053,227.9315133094788,0.7808699644053069,29.77783271040616,28.99696274600085,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
3,canonical,p006_scratch_thin,p006,portrait_figure,Boy with a Sword,,,opencv_telea,masked_region,12613,,,,,,,,53555.17578125,61.86423873901367,53493.311542510986,230.69097900390625,3.205607891082764,227.4853711128235,0.8427891175766073,30.216406877177647,29.37361775960104,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
4,mask_robustness,p001__loss_small__variant_03,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,22960,,,,,,,,52737.828125,100.2885284423828,52637.53959655762,229.2097320556641,6.437804698944092,222.77192735672,0.9095812036972816,28.118291020159614,27.20870981646233,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
5,mask_robustness,p001__scratch_thin__variant_04,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,10157,,,,,,,,51953.40625,148.93780517578125,51804.46844482422,226.14236450195312,5.9301629066467285,220.2122015953064,0.9746633415116585,26.40075411300605,25.426090771494398,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
6,mask_robustness,p001__scratch_thin__variant_02,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,10191,,,,,,,,51236.26953125,105.26343536376952,51131.00609588623,224.4574279785156,5.019494533538818,219.4379334449768,1.0350285925215958,27.90802821377204,26.872999621250443,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
7,mask_robustness,p001__loss_small__variant_01,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,22079,,,,,,,,50764.4375,246.1794891357422,50518.25801086426,224.59039306640625,9.24279499053955,215.3475980758667,1.075207825608837,24.218284947512416,23.143077121903577,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
8,mask_robustness,p001__loss_small__variant_04,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,22924,,,,,,,,50626.421875,158.54554748535156,50467.87632751465,224.1803436279297,6.048130035400391,218.1322135925293,1.0870312703936302,26.12926310844725,25.042231838053624,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
9,mask_robustness,p001__loss_small__variant_05,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,22900,,,,,,,,50742.828125,286.4866027832031,50456.3415222168,223.76339721679688,8.425894737243652,215.3375024795532,1.0770569213171826,23.559760433720744,22.48270351240356,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
10,canonical,p001_mixed_damage,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,45733,,,,,,,,50902.8046875,591.841552734375,50310.963134765625,223.8587646484375,13.331175804138184,210.5275888442993,1.0633864873258143,20.40874907495594,19.345362587630124,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
