dataset_name,case_id,painting_id,representative_role,selection_metric,selection_metric_value,model_name,mask_type,category,figure_path,generation_status,figure_exists,figure_size_bytes
canonical,p001_loss_small,p001,best,improvement_mean_masked,227.93150329589844,opencv_telea,,portrait_figure,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\canonical\representative\canonical__best__p001_loss_small__opencv_telea_spatial_diagnostic.png,generated,True,2018409
canonical,p040_loss_small,p040,median,improvement_mean_masked,142.5326690673828,opencv_telea,,abstraction_surrealism,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\canonical\representative\canonical__median__p040_loss_small__opencv_telea_spatial_diagnostic.png,generated,True,2567226
canonical,p032_mixed_damage,p032,worst,improvement_mean_masked,9.965008735656738,opencv_telea,,abstraction_surrealism,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\canonical\representative\canonical__worst__p032_mixed_damage__opencv_telea_spatial_diagnostic.png,generated,True,2142574
damage_size,p001__loss_large__size_15pct,p001,best,improvement_mean_masked,208.2345733642578,opencv_telea,,portrait_figure,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\damage_size\representative\damage_size__best__p001__loss_large__size_15pct__opencv_telea_spatial_diagnostic.png,generated,True,2177327
damage_size,p018__loss_large__size_10pct,p018,median,improvement_mean_masked,129.5537567138672,opencv_telea,,landscape_natural,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\damage_size\representative\damage_size__median__p018__loss_large__size_10pct__opencv_telea_spatial_diagnostic.png,generated,True,1661050
damage_size,p039__loss_large__size_15pct,p039,worst,improvement_mean_masked,85.30410766601562,opencv_telea,,abstraction_surrealism,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\damage_size\representative\damage_size__worst__p039__loss_large__size_15pct__opencv_telea_spatial_diagnostic.png,generated,True,2286182
mask_robustness,p001__scratch_thin__variant_01,p001,best,improvement_mean_masked,230.48085021972656,opencv_telea,,portrait_figure,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\mask_robustness\representative\mask_robustness__best__p001__scratch_thin__variant_01__opencv_telea_spatial_diagnostic.png,generated,True,1948214
mask_robustness,p043__loss_small__variant_02,p043,median,improvement_mean_masked,151.77908325195312,opencv_telea,,high_texture_brushwork,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\mask_robustness\representative\mask_robustness__median__p043__loss_small__variant_02__opencv_telea_spatial_diagnostic.png,generated,True,2400280
mask_robustness,p039__loss_large__variant_01,p039,worst,improvement_mean_masked,79.01685333251953,opencv_telea,,abstraction_surrealism,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\mask_robustness\representative\mask_robustness__worst__p039__loss_large__variant_01__opencv_telea_spatial_diagnostic.png,generated,True,2251354
synthetic,p001__partial_transparency__severe,p001,best,improvement_mean_masked,2.6554322242736816,opencv_telea,,portrait_figure,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\synthetic\representative\synthetic__best__p001__partial_transparency__severe__opencv_telea_spatial_diagnostic.png,generated,True,3203579
synthetic,p026__dirt_dust__severe,p026,median,improvement_mean_masked,-0.3311243951320648,opencv_telea,,architecture_structured,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\synthetic\representative\synthetic__median__p026__dirt_dust__severe__opencv_telea_spatial_diagnostic.png,generated,True,2325641
synthetic,p039__partial_transparency__moderate,p039,worst,improvement_mean_masked,-11.462428092956543,opencv_telea,,abstraction_surrealism,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\synthetic\representative\synthetic__worst__p039__partial_transparency__moderate__opencv_telea_spatial_diagnostic.png,generated,True,2574278
