case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,status,issue,selection_reason,clean_path,damaged_path,restored_path,mask_path,visual_figure_path
p036_loss_large,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_large,loss_large,stable_diffusion_inpainting,masked_region,92174,,,,,92174,15.6274,15.6274,5263.03271484375,6783.63916015625,-1520.6064453125,46.358219146728516,39.678016662597656,6.680202484130859,10.918442912815733,9.816176222856518,-1.1022666899592153,,,,ok,,Weakest masked-region MSE improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p036_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p036_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p036_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p036_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_classical_metric_cases\p036_loss_large_stable_diffusion_classical_metrics.png
p037_loss_large,p037,abstraction_surrealism,In the Sea,p037_loss_large,loss_large,stable_diffusion_inpainting,masked_region,47216,,,,,47216,10.6182,8.0051,33494.56640625,1358.86083984375,32135.70556640625,177.57241821289062,23.200794219970703,154.37162399291992,2.881060007318896,16.79905377706047,13.917993769741576,,,,ok,,Strong category example by masked-region MSE improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p037_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_classical_metric_cases\p037_loss_large_stable_diffusion_classical_metrics.png
p032_mixed_damage,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,51647,,,,,51647,9.0267,8.7563,2763.684326171875,878.4815063476562,1885.2028198242188,40.7200813293457,15.60427474975586,25.115806579589844,13.71591925360757,18.693477376384216,4.977558122776646,,,,ok,,Weakest masked-region MSE improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p032_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_classical_metric_cases\p032_mixed_damage_stable_diffusion_classical_metrics.png
p036_mixed_damage,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,47780,,,,,47780,8.1007,8.1007,4701.5478515625,1958.1153564453125,2743.4324951171875,42.42812728881836,21.388349533081055,21.039777755737305,11.408395002247481,15.21242087500936,3.80402587276188,,,,ok,,Weakest masked-region MSE improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p036_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p036_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p036_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p036_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_classical_metric_cases\p036_mixed_damage_stable_diffusion_classical_metrics.png
p032_scratch_thin,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,14929,,,,,14929,2.6092,2.5311,5889.0458984375,6026.02734375,-136.9814453125,56.945430755615234,66.25721740722656,-9.311786651611328,10.43035421701841,10.330492628679771,-0.0998615883386389,,,,ok,,Weakest masked-region MSE improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p032_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_classical_metric_cases\p032_scratch_thin_stable_diffusion_classical_metrics.png
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,13905,,,,,13905,2.3575,2.3575,2009.9451904296875,9849.736328125,-7839.7911376953125,29.343353271484375,90.69157409667969,-61.34822082519531,15.098961461431877,8.196557560325354,-6.902403901106522,,,,ok,,Weakest masked-region MSE improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p036_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p036_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p036_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p036_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_classical_metric_cases\p036_scratch_thin_stable_diffusion_classical_metrics.png
p022_loss_small,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",p022_loss_small,loss_small,stable_diffusion_inpainting,masked_region,24273,,,,,24273,5.2852,4.1153,37372.19921875,1078.51220703125,36293.68701171875,189.66786193847656,20.53844451904297,169.1294174194336,2.4053170560685375,17.802552958833935,15.397235902765399,,,,ok,,Strong category example by masked-region MSE improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p022_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p022_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p022_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p022_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_classical_metric_cases\p022_loss_small_stable_diffusion_classical_metrics.png
p050_scratch_thin,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,11991,,,,,11991,2.6827,2.033,42905.9453125,3832.838134765625,39073.107177734375,204.32791137695312,44.88724899291992,159.4406623840332,1.8056288599056103,12.295598819898812,10.489969959993202,,,,ok,,Strong category example by masked-region MSE improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p050_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p050_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p050_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p050_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_classical_metric_cases\p050_scratch_thin_stable_diffusion_classical_metrics.png
p013_loss_large,p013,landscape_natural,Landscape with a Village in the Distance,p013_loss_large,loss_large,stable_diffusion_inpainting,masked_region,44375,,,,,44375,10.8202,7.5234,46091.91796875,1272.348388671875,44819.569580078125,212.23541259765625,23.01388931274414,189.2215232849121,1.4945558058210142,17.084743167243257,15.590187361422243,,,,ok,,Strong category example by masked-region MSE improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p013_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p013_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p013_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p013_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_classical_metric_cases\p013_loss_large_stable_diffusion_classical_metrics.png
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,stable_diffusion_inpainting,masked_region,67242,,,,,67242,13.2058,11.4003,48997.8046875,864.7740478515625,48133.03063964844,219.8046417236328,19.11393165588379,200.69071006774902,1.229037386651714,18.76177713044742,17.532739743795705,,,,ok,,Strongest masked-region MSE improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p001_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_classical_metric_cases\p001_loss_large_stable_diffusion_classical_metrics.png
