case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,status,issue,distance_from_median_mse_improvement,mse_improved,mae_improved,psnr_improved,ssim_improved,num_classical_metrics_improved,num_classical_metrics_worsened_or_tied,selection_reason,clean_path,damaged_path,restored_path,mask_path
p032_loss_large,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_large,loss_large,stable_diffusion_inpainting,masked_region,88089,,,,,88089,15.3959,14.9348,7354.853515625,139.065185546875,7215.788330078125,61.183589935302734,8.177400588989258,53.00618934631348,9.465063334290068,26.69861941280668,17.233556078516614,,,,ok,,,True,True,True,False,3.0,1.0,classical_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p032_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_loss_large_mask.png
p036_loss_large,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_large,loss_large,stable_diffusion_inpainting,masked_region,92174,,,,,92174,15.6274,15.6274,5263.03271484375,6783.63916015625,-1520.6064453125,46.35821914672852,39.678016662597656,6.680202484130859,10.918442912815731,9.816176222856518,-1.1022666899592153,,,,ok,,,,,,,,,classical_metric_disagreement; worst_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p036_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p036_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p036_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p036_loss_large_mask.png
p037_loss_large,p037,abstraction_surrealism,In the Sea,p037_loss_large,loss_large,stable_diffusion_inpainting,masked_region,47216,,,,,47216,10.6182,8.0051,33494.56640625,1358.86083984375,32135.70556640625,177.57241821289062,23.200794219970703,154.37162399291992,2.881060007318896,16.79905377706047,13.917993769741576,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p037_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_loss_large_mask.png
p032_loss_small,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_small,loss_small,stable_diffusion_inpainting,masked_region,24362,,,,,24362,4.2579,4.1304,8350.02734375,98.93270874023438,8251.094635009766,67.46461486816406,6.8647074699401855,60.59990739822388,8.913924632022368,28.177404608086757,19.263479976064385,,,,ok,,,True,True,True,False,3.0,1.0,classical_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p032_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_loss_small_mask.png
p035_loss_small,p035,abstraction_surrealism,The Bewitched Mill,p035_loss_small,loss_small,stable_diffusion_inpainting,masked_region,13591,,,,,13591,3.339,2.3042,25589.68359375,1377.309326171875,24212.374267578125,147.60800170898438,23.98209571838379,123.6259059906006,4.050154448258966,16.740488726349174,12.690334278090209,,,,ok,,314.8215026855469,,,,,,,median_representative_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p035_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p035_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p035_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p035_loss_small_mask.png
p036_loss_small,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_small,loss_small,stable_diffusion_inpainting,masked_region,18062,,,,,18062,3.0623,3.0623,3290.943359375,61.60858917236328,3229.3347702026367,37.02277374267578,7.111191272735596,29.911582469940186,12.957599531777824,30.23439097240432,17.276791440626496,,,,ok,,,,,,,,,classical_metric_disagreement; worst_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p036_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p036_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p036_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p036_loss_small_mask.png
p040_loss_small,p040,abstraction_surrealism,Houses at Murnau,p040_loss_small,loss_small,stable_diffusion_inpainting,masked_region,23305,,,,,23305,5.1259,3.9512,29645.38671875,1247.2672119140625,28398.119506835938,162.19778442382812,24.31007575988769,137.88770866394043,3.411232408563922,17.17120855081527,13.759976142251348,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p040_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p040_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p040_loss_small_mask.png
p032_mixed_damage,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,51647,,,,,51647,9.0267,8.7563,2763.684326171875,878.4815063476562,1885.2028198242188,40.7200813293457,15.60427474975586,25.115806579589844,13.71591925360757,18.693477376384216,4.977558122776646,,,,ok,,,,,,,,,classical_metric_disagreement; worst_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p032_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_mixed_damage_mask.png
p036_mixed_damage,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,47780,,,,,47780,8.1007,8.1007,4701.5478515625,1958.1153564453125,2743.4324951171875,42.42812728881836,21.38834953308105,21.039777755737305,11.40839500224748,15.21242087500936,3.80402587276188,,,,ok,,,,,,,,,classical_metric_disagreement; worst_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p036_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p036_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p036_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p036_mixed_damage_mask.png
p039_mixed_damage,p039,abstraction_surrealism,Painting with Troika,p039_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,40658,,,,,40658,9.3865,6.8932,31935.0625,1568.446044921875,30366.616455078125,172.1687469482422,26.115745544433597,146.0530014038086,3.088125904168514,16.17610777455273,13.087981870384215,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p039_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p039_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p039_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p039_mixed_damage_mask.png
