case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue,distance_from_median_dinov2_improvement,clip_improved,dinov2_improved,feature_disagreement_magnitude,selection_reason,clean_path,damaged_path,restored_path,mask_path,visual_figure_path
p032_loss_large,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,446224,38,47,706,715,88089,15.3959,14.9348,0.9372342228889465,0.9926382303237915,0.05540400743484497,0.7952632308006287,0.9714962244033813,0.17623299360275269,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,category_mask_representative_best_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p032_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p032_loss_large_stable_diffusion_feature_similarity.png
p040_loss_large,p040,abstraction_surrealism,Houses at Murnau,p040_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,126025,0,244,355,599,47500,10.4475,8.0532,0.784898042678833,0.9308006167411804,0.1459025740623474,0.6292569637298584,0.5839576125144958,-0.04529935121536255,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,True,False,0.19120192527770996,clip_dinov2_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p040_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p040_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p040_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p040_loss_large_stable_diffusion_feature_similarity.png
p032_loss_small,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,588289,0,1,767,768,24362,4.2579,4.1304,0.9010993838310242,0.9931815266609192,0.09208214282989502,0.9477355480194092,0.982117235660553,0.0343816876411438,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,category_mask_representative_best_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p032_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p032_loss_small_stable_diffusion_feature_similarity.png
p038_loss_small,p038,abstraction_surrealism,Mahana no atua (Day of the God),p038_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,438244,93,19,755,681,19642,4.4634,3.3301,0.9665353298187256,0.952599048614502,-0.013936281204223633,0.9658729434013367,0.9250717759132385,-0.040801167488098145,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,weakest_mask_bbox_clip_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p038_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p038_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p038_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p038_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p038_loss_small_stable_diffusion_feature_similarity.png
p040_mixed_damage,p040,abstraction_surrealism,Houses at Murnau,p040_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,549081,0,0,741,741,47749,10.5022,8.0955,0.8909457921981812,0.9732807874679565,0.08233499526977539,0.7622695565223694,0.8778467774391174,0.11557722091674805,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,category_mask_representative_best_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p040_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p040_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p040_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p040_mixed_damage_stable_diffusion_feature_similarity.png
p037_scratch_thin,p037,abstraction_surrealism,In the Sea,p037_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,12338,2.7746,2.0918,0.8077754974365234,0.9804587364196777,0.1726832389831543,0.909679114818573,0.891459584236145,-0.01821953058242798,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,True,False,0.19090276956558228,clip_dinov2_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p037_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p037_scratch_thin_stable_diffusion_feature_similarity.png
p038_scratch_thin,p038,abstraction_surrealism,Mahana no atua (Day of the God),p038_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,7989,1.8154,1.3545,0.8913913369178772,0.9742388725280762,0.08284753561019897,0.8797181844711304,0.9118615388870239,0.032143354415893555,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,category_mask_representative_best_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p038_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p038_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p038_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p038_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p038_scratch_thin_stable_diffusion_feature_similarity.png
p022_loss_large,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",p022_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,184900,231,8,661,438,72675,15.8242,12.3215,0.7214130163192749,0.8140431046485901,0.09263008832931519,0.8092225193977356,0.7153465151786804,-0.09387600421905518,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,True,False,0.18650609254837036,clip_dinov2_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p022_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p022_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p022_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p022_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p022_loss_large_stable_diffusion_feature_similarity.png
p025_loss_large,p025,architecture_structured,The Quay de Paris in Rouen,p025_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,119716,175,134,521,480,52108,10.6014,8.8345,0.7358732223510742,0.939290463924408,0.20341724157333374,0.8501129746437073,0.7667966485023499,-0.08331632614135742,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,clip_dinov2_metric_disagreement; strongest_mask_bbox_clip_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p025_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p025_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p025_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p025_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p025_loss_large_stable_diffusion_feature_similarity.png
p026_loss_large,p026,architecture_structured,View of a Village along a River,p026_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,116281,225,140,566,481,44723,11.0081,7.5824,0.763953447341919,0.90608811378479,0.1421346664428711,0.6635925769805908,0.7891290187835693,0.12553644180297852,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,category_mask_representative_best_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p026_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p026_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p026_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p026_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p026_loss_large_stable_diffusion_feature_similarity.png
p028_loss_large,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),p028_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,154449,213,230,606,623,60196,14.7609,10.2058,0.8268417119979858,0.8435401320457458,0.01669842004776001,0.881481409072876,0.6112333536148071,-0.27024805545806885,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,clip_dinov2_metric_disagreement; weakest_mask_bbox_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p028_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p028_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p028_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p028_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p028_loss_large_stable_diffusion_feature_similarity.png
p029_loss_large,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",p029_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,112896,323,240,659,576,39135,10.2118,6.635,0.8195840120315552,0.8927005529403687,0.07311654090881348,0.9326847195625305,0.7685543298721313,-0.16413038969039917,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,clip_dinov2_metric_disagreement; weakest_mask_bbox_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p029_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p029_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p029_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p029_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p029_loss_large_stable_diffusion_feature_similarity.png
p022_loss_small,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",p022_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,342225,111,105,696,690,24273,5.2852,4.1153,0.7598941326141357,0.8778204917907715,0.11792635917663574,0.9314420223236084,0.9685883522033691,0.03714632987976074,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,category_mask_representative_best_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p022_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p022_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p022_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p022_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p022_loss_small_stable_diffusion_feature_similarity.png
