original_case_id,category,mask_type,uncertainty_selection_role,combined_uncertainty_index,masked_std_mean,mean_pairwise_lpips,mean_dinov2_uncertainty_distance,refined_stable_diffusion_metric_wins,refined_overall_metric_vote,uncertainty_performance_quadrant
p011_scratch_thin,landscape_natural,scratch_thin,relatively_weak_or_disagreement_prone_stable_diffusion,0.0043489072746971365,0.03615361452102661,0.026132960182925064,0.013459791739781698,0,lama,low_uncertainty_low_reference_performance
p021_scratch_thin,architecture_structured,scratch_thin,relatively_strong_stable_diffusion,0.02341460823494397,0.04133828356862068,0.022370098779598873,0.015395541985829672,0,lama,low_uncertainty_low_reference_performance
p010_loss_small,portrait_figure,loss_small,relatively_weak_or_disagreement_prone_stable_diffusion,0.0366313102055265,0.035396695137023926,0.06088693564136823,0.03490728139877319,0,tie_lama_opencv_telea,low_uncertainty_low_reference_performance
p021_loss_small,architecture_structured,loss_small,relatively_strong_stable_diffusion,0.04037744059421747,0.0453743040561676,0.025773654070993263,0.013235539197921753,0,lama,low_uncertainty_low_reference_performance
p043_scratch_thin,high_texture_brushwork,scratch_thin,relatively_strong_stable_diffusion,0.04843185495849445,0.044426340609788895,0.023144506538907688,0.03749591112136841,0,lama,low_uncertainty_low_reference_performance
p026_scratch_thin,architecture_structured,scratch_thin,relatively_weak_or_disagreement_prone_stable_diffusion,0.053239787957150786,0.043842069804668427,0.05157463190456232,0.02858838438987732,0,opencv_telea,low_uncertainty_low_reference_performance
p041_scratch_thin,high_texture_brushwork,scratch_thin,relatively_weak_or_disagreement_prone_stable_diffusion,0.05409703095605011,0.04280859977006912,0.045743233213822045,0.016880641380945843,0,opencv_telea,low_uncertainty_low_reference_performance
p031_scratch_thin,abstraction_surrealism,scratch_thin,relatively_weak_or_disagreement_prone_stable_diffusion,0.058083521002166155,0.049358297139406204,0.025014519691467285,0.03147008021672567,0,opencv_telea,low_uncertainty_low_reference_performance
p009_scratch_thin,portrait_figure,scratch_thin,relatively_strong_stable_diffusion,0.06814286457595463,0.05338358134031296,0.021655254065990448,0.024067074060440063,0,opencv_telea,low_uncertainty_low_reference_performance
p037_scratch_thin,abstraction_surrealism,scratch_thin,relatively_strong_stable_diffusion,0.06926660164210727,0.05023855343461037,0.045784556617339454,0.029199908177057903,0,opencv_telea,low_uncertainty_low_reference_performance
