case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue,distance_from_median_lpips_improvement,selection_reason,clean_path,damaged_path,restored_path,mask_path,visual_figure_path
p037_loss_large,p037,abstraction_surrealism,In the Sea,p037_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,96100,132,162,442,472,47216,10.6182,8.0051,0.6136142015457153,0.27089086174964905,0.3427233397960663,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement; strongest_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p037_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p037_loss_large_stable_diffusion_lpips.png
p032_loss_small,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,525625,0,25,725,750,24362,4.2579,4.1304,0.12399567663669586,0.010641870088875294,0.11335380654782057,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p032_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p032_loss_small_stable_diffusion_lpips.png
p038_mixed_damage,p038,abstraction_surrealism,Mahana no atua (Day of the God),p038_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,561001,19,9,768,758,45786,10.4044,7.7627,0.2816559672355652,0.06270936131477356,0.21894660592079163,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p038_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p038_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p038_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p038_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p038_mixed_damage_stable_diffusion_lpips.png
p032_scratch_thin,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,14929,2.6092,2.5311,0.17260819673538208,0.24184530973434448,-0.0692371129989624,alex,256,cuda,ok,,,weakest_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p032_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p032_scratch_thin_stable_diffusion_lpips.png
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,13905,2.3575,2.3575,0.10542716085910797,0.2450990229845047,-0.13967186212539673,alex,256,cuda,ok,,,weakest_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p036_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p036_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p036_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p036_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p036_scratch_thin_stable_diffusion_lpips.png
p037_scratch_thin,p037,abstraction_surrealism,In the Sea,p037_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,12338,2.7746,2.0918,0.2702181041240692,0.07615278661251068,0.19406531751155853,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p037_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p037_scratch_thin_stable_diffusion_lpips.png
p021_loss_large,p021,architecture_structured,Interior of the Oude Kerk in Delft,p021_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,98596,383,155,697,469,49986,10.0286,8.4747,0.66901034116745,0.29252541065216064,0.3764849305152893,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement; strongest_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p021_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p021_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p021_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p021_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p021_loss_large_stable_diffusion_lpips.png
p024_loss_large,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,p024_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,134689,166,67,533,434,74607,16.2449,12.649,0.6998010277748108,0.33433836698532104,0.36546266078948975,alex,256,cuda,ok,,,strongest_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p024_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p024_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p024_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p024_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p024_loss_large_stable_diffusion_lpips.png
p023_loss_small,p023,architecture_structured,Church Interior,p023_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,221841,178,84,649,555,20722,4.9058,3.5133,0.27419522404670715,0.06090317666530609,0.21329204738140106,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p023_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p023_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p023_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p023_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p023_loss_small_stable_diffusion_lpips.png
p026_mixed_damage,p026,architecture_structured,View of a Village along a River,p026_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,41381,10.1855,7.0158,0.45245397090911865,0.15833047032356262,0.29412350058555603,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p026_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p026_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p026_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p026_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p026_mixed_damage_stable_diffusion_lpips.png
