case_id,painting_id,category,title,mask_type,mse_improvement,psnr_improvement,ssim_improvement,lpips_improvement,clip_similarity_improvement,dinov2_similarity_improvement,mse_improved,psnr_improved,ssim_improved,lpips_improved,clip_improved,dinov2_improved,num_metrics_improved,num_metrics_not_improved,all_metrics_improved,mixed_metric_outcome,all_metrics_not_improved
p001_loss_large,p001,portrait_figure,Juan de Pareja,loss_large,48133.03063964844,17.532739743795705,,0.3911323845386505,0.119137167930603,0.2484029531478881,True,True,False,True,True,True,5,1,False,True,False
p001_loss_small,p001,portrait_figure,Juan de Pareja,loss_small,46912.75653839111,27.54322588719374,,0.3060020729899406,0.0711422562599182,0.0376319885253906,True,True,False,True,True,True,5,1,False,True,False
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,mixed_damage,49826.72888183594,17.444243467566327,,0.2444644421339035,0.0605040788650512,0.1679370403289795,True,True,False,True,True,True,5,1,False,True,False
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,scratch_thin,42301.111328125,8.929055695455837,,0.1617195010185241,0.0434409379959106,-0.0055909156799316,True,True,False,True,True,False,4,2,False,True,False
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),loss_large,50524.24639892578,18.609613472432343,,0.407475858926773,0.222472608089447,0.1196770668029785,True,True,False,True,True,True,5,1,False,True,False
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),loss_small,44989.35935211182,26.32916708975248,,0.1138432398438453,0.0458941459655761,0.0282710790634155,True,True,False,True,True,True,5,1,False,True,False
p002_mixed_damage,p002,portrait_figure,Madame X (Madame Pierre Gautreau),mixed_damage,41183.26171875,9.800949758649336,,0.1999838352203369,0.1067594289779663,0.0203089118003845,True,True,False,True,True,True,5,1,False,True,False
p002_scratch_thin,p002,portrait_figure,Madame X (Madame Pierre Gautreau),scratch_thin,46487.78466796875,11.328454270204762,,0.121918112039566,0.0437761545181274,-0.0119901299476623,True,True,False,True,True,False,4,2,False,True,False
p003_loss_large,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,loss_large,30771.634643554688,13.773152416199482,,0.3396731615066528,0.1141000986099243,0.1084542870521545,True,True,False,True,True,True,5,1,False,True,False
p003_loss_small,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,loss_small,35236.34942626953,19.61945225122053,,0.1131276823580265,0.0557383298873901,0.0142415165901184,True,True,False,True,True,True,5,1,False,True,False
p003_mixed_damage,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,mixed_damage,33376.64929199219,17.383015593310724,,0.2872752100229263,0.1875447630882263,0.1357249021530151,True,True,False,True,True,True,5,1,False,True,False
p003_scratch_thin,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,scratch_thin,34090.868408203125,11.048727505676538,,0.1330270543694496,0.1549835205078125,0.0534685254096984,True,True,False,True,True,True,5,1,False,True,False
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,loss_large,34116.811767578125,11.146485665538588,,0.1889379024505615,0.099894106388092,-0.0339831113815307,True,True,False,True,True,False,4,2,False,True,False
p004_loss_small,p004,portrait_figure,Madame Georges Charpentier and Her Children,loss_small,26787.91357421875,14.040409308125682,,0.0728057622909545,0.0267199873924255,-0.0391765832901001,True,True,False,True,True,False,4,2,False,True,False
p004_mixed_damage,p004,portrait_figure,Madame Georges Charpentier and Her Children,mixed_damage,31158.90295410156,13.946485123434416,,0.201812282204628,0.0872054696083068,0.0648757815361023,True,True,False,True,True,True,5,1,False,True,False
p004_scratch_thin,p004,portrait_figure,Madame Georges Charpentier and Her Children,scratch_thin,31850.838012695312,15.753555275591284,,0.1790601760149002,0.0895023345947265,0.0757519006729126,True,True,False,True,True,True,5,1,False,True,False
p005_loss_large,p005,portrait_figure,Self-Portrait with Two Pupils,loss_large,34622.197509765625,13.19116743432456,,0.2590415775775909,0.0503495335578918,0.0178481340408325,True,True,False,True,True,True,5,1,False,True,False
p005_loss_small,p005,portrait_figure,Self-Portrait with Two Pupils,loss_small,41815.07733154297,18.9986078318032,,0.191028743982315,0.0502140522003173,0.0030492544174194,True,True,False,True,True,True,5,1,False,True,False
p005_mixed_damage,p005,portrait_figure,Self-Portrait with Two Pupils,mixed_damage,35955.15686035156,13.303817748077147,,0.1993796452879905,0.0881147980690002,0.0685981512069702,True,True,False,True,True,True,5,1,False,True,False
p005_scratch_thin,p005,portrait_figure,Self-Portrait with Two Pupils,scratch_thin,30686.05419921875,15.456346309960576,,0.1065663993358612,0.0161940455436706,0.004464566707611,True,True,False,True,True,True,5,1,False,True,False
p006_loss_large,p006,portrait_figure,Boy with a Sword,loss_large,47805.2099609375,10.76291154989159,,0.2863410115242004,0.0096548199653625,0.0588897466659545,True,True,False,True,True,True,5,1,False,True,False
p006_loss_small,p006,portrait_figure,Boy with a Sword,loss_small,49793.97232055664,29.65219659778529,,0.291860569268465,0.0582409501075744,0.0486762523651123,True,True,False,True,True,True,5,1,False,True,False
