case_id,painting_id,category,title,mask_type,mse_improvement,psnr_improvement,ssim_improvement,lpips_improvement,clip_similarity_improvement,dinov2_similarity_improvement,mse_improved,psnr_improved,ssim_improved,lpips_improved,clip_improved,dinov2_improved,num_metrics_improved,num_metrics_not_improved,all_metrics_improved,mixed_metric_outcome,all_metrics_not_improved,report_selection_reason
p031_loss_large,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),loss_large,15065.325927734377,8.255180764984829,,0.1551523804664611,0.1481353044509887,0.0635701417922973,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative; highest_number_of_improved_metrics
p032_loss_large,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,loss_large,7215.788330078125,17.233556078516614,,0.2684201505035162,0.0554040074348449,0.1762329936027526,True,True,False,True,True,True,5,1,False,True,False,highest_number_of_improved_metrics
p036_loss_large,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",loss_large,-1520.6064453125,-1.1022666899592153,,0.1370712518692016,0.0169072151184082,-0.031297743320465,False,False,False,True,True,False,2,4,False,True,False,lowest_number_of_improved_metrics; mixed_metric_outcome
p032_loss_small,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,loss_small,8251.094635009766,19.263479976064385,,0.1133538065478205,0.092082142829895,0.0343816876411438,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative; highest_number_of_improved_metrics
p033_loss_small,p033,abstraction_surrealism,Movement,loss_small,21045.13720703125,9.8124399693856,,0.0523375198245048,0.0235408544540405,0.0058739781379699,True,True,False,True,True,True,5,1,False,True,False,highest_number_of_improved_metrics
p036_loss_small,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",loss_small,3229.3347702026367,17.276791440626496,,0.0583429662510752,0.061913788318634,-0.0089855194091796,True,True,False,True,True,False,4,2,False,True,False,mixed_metric_outcome
p038_loss_small,p038,abstraction_surrealism,Mahana no atua (Day of the God),loss_small,23013.37646484375,10.51262332982216,,0.0250037834048271,-0.0139362812042236,-0.0408011674880981,True,True,False,True,False,False,3,3,False,True,False,lowest_number_of_improved_metrics; mixed_metric_outcome
p031_mixed_damage,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),mixed_damage,16620.9189453125,11.136058567816614,,0.1159544736146926,0.031994879245758,0.0817086696624755,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative; highest_number_of_improved_metrics
p032_mixed_damage,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,mixed_damage,1885.2028198242188,4.977558122776646,,0.0364083796739578,0.0400010347366333,0.0522945523262023,True,True,False,True,True,True,5,1,False,True,False,highest_number_of_improved_metrics
p033_mixed_damage,p033,abstraction_surrealism,Movement,mixed_damage,25415.0517578125,11.238588003462077,,0.1263585947453975,0.0326557159423828,0.0631607770919799,True,True,False,True,True,True,5,1,False,True,False,highest_number_of_improved_metrics
