case_id,painting_id,mask_id,mask_type,clean_filename,clean_path,mask_filename,mask_path,damaged_filename,damaged_path,damage_fill_strategy,damage_fill_r,damage_fill_g,damage_fill_b,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,status,issue,model_name,restoration_method,hf_model_id,inference_mode,restored_filename,restored_path,prompt,negative_prompt,seed,num_inference_steps,guidance_scale,inference_size,device,case_runtime_seconds,restored_width,restored_height,restored_mode,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,selection_reason,visual_figure_path
p031_loss_large,p031,p031_loss_large,loss_large,p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,p031_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_loss_large_mask.png,p031_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_loss_large_damaged.png,white_fill,255,255,255,83367,14.1896,14.1342,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p031_loss_large_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p031_loss_large_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.90783950034529,768,768,RGB,Improvisation No. 30 (Cannons),Wassily Kandinsky,,abstraction_surrealism,,,Art Institute of Chicago,https://www.artic.edu/artworks/8991/improvisation-no-30-cannons,CC0 Public Domain Designation,p031.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p031_loss_large_stable_diffusion_restoration.png
p031_loss_small,p031,p031_loss_small,loss_small,p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,p031_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_loss_small_mask.png,p031_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_loss_small_damaged.png,white_fill,255,255,255,22150,3.7701,3.7554,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p031_loss_small_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p031_loss_small_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.240535899996758,768,768,RGB,Improvisation No. 30 (Cannons),Wassily Kandinsky,,abstraction_surrealism,,,Art Institute of Chicago,https://www.artic.edu/artworks/8991/improvisation-no-30-cannons,CC0 Public Domain Designation,p031.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p031_loss_small_stable_diffusion_restoration.png
p031_mixed_damage,p031,p031_mixed_damage,mixed_damage,p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,p031_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_mixed_damage_mask.png,p031_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_mixed_damage_damaged.png,white_fill,255,255,255,48010,8.1716,8.1397,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p031_mixed_damage_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p031_mixed_damage_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.797129199840128,768,768,RGB,Improvisation No. 30 (Cannons),Wassily Kandinsky,,abstraction_surrealism,,,Art Institute of Chicago,https://www.artic.edu/artworks/8991/improvisation-no-30-cannons,CC0 Public Domain Designation,p031.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p031_mixed_damage_stable_diffusion_restoration.png
p031_scratch_thin,p031,p031_scratch_thin,scratch_thin,p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,p031_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_scratch_thin_mask.png,p031_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_scratch_thin_damaged.png,white_fill,255,255,255,15636,2.6614,2.651,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p031_scratch_thin_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p031_scratch_thin_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.864496000111103,768,768,RGB,Improvisation No. 30 (Cannons),Wassily Kandinsky,,abstraction_surrealism,,,Art Institute of Chicago,https://www.artic.edu/artworks/8991/improvisation-no-30-cannons,CC0 Public Domain Designation,p031.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p031_scratch_thin_stable_diffusion_restoration.png
p031_zero_control,p031,p031_zero_control,zero_control,p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,p031_zero_control_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_zero_control_mask.png,p031_zero_control_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_zero_control_damaged.png,white_fill,255,255,255,0,0.0,0.0,ok,zero_control copied without model inference,stable_diffusion_inpainting,zero_control_copy,runwayml/stable-diffusion-inpainting,copied_zero_control,p031_zero_control_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p031_zero_control_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,none,0.0,768,768,RGB,Improvisation No. 30 (Cannons),Wassily Kandinsky,,abstraction_surrealism,,,Art Institute of Chicago,https://www.artic.edu/artworks/8991/improvisation-no-30-cannons,CC0 Public Domain Designation,p031.jpg,Zero-control sanity example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p031_zero_control_stable_diffusion_restoration.png
p021_loss_large,p021,p021_loss_large,loss_large,p021_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p021_clean.png,p021_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p021_loss_large_mask.png,p021_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p021_loss_large_damaged.png,white_fill,255,255,255,49986,10.0286,8.4747,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p021_loss_large_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p021_loss_large_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.747884100303054,768,768,RGB,Interior of the Oude Kerk in Delft,Gerard Houckgeest,,architecture_structured,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interieur-van-de-Oude-Kerk-in-Delft--a9a613509471ccc6de1cd242596ce9a1,Public domain,p021.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p021_loss_large_stable_diffusion_restoration.png
p021_loss_small,p021,p021_loss_small,loss_small,p021_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p021_clean.png,p021_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p021_loss_small_mask.png,p021_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p021_loss_small_damaged.png,white_fill,255,255,255,17382,3.4873,2.947,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p021_loss_small_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p021_loss_small_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.55385640077293,768,768,RGB,Interior of the Oude Kerk in Delft,Gerard Houckgeest,,architecture_structured,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interieur-van-de-Oude-Kerk-in-Delft--a9a613509471ccc6de1cd242596ce9a1,Public domain,p021.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p021_loss_small_stable_diffusion_restoration.png
p021_mixed_damage,p021,p021_mixed_damage,mixed_damage,p021_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p021_clean.png,p021_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p021_mixed_damage_mask.png,p021_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p021_mixed_damage_damaged.png,white_fill,255,255,255,50041,10.0397,8.4841,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p021_mixed_damage_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p021_mixed_damage_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.783125000074506,768,768,RGB,Interior of the Oude Kerk in Delft,Gerard Houckgeest,,architecture_structured,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interieur-van-de-Oude-Kerk-in-Delft--a9a613509471ccc6de1cd242596ce9a1,Public domain,p021.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p021_mixed_damage_stable_diffusion_restoration.png
p021_scratch_thin,p021,p021_scratch_thin,scratch_thin,p021_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p021_clean.png,p021_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p021_scratch_thin_mask.png,p021_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p021_scratch_thin_damaged.png,white_fill,255,255,255,7395,1.4837,1.2538,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p021_scratch_thin_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p021_scratch_thin_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.860526399686933,768,768,RGB,Interior of the Oude Kerk in Delft,Gerard Houckgeest,,architecture_structured,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interieur-van-de-Oude-Kerk-in-Delft--a9a613509471ccc6de1cd242596ce9a1,Public domain,p021.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p021_scratch_thin_stable_diffusion_restoration.png
p021_zero_control,p021,p021_zero_control,zero_control,p021_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p021_clean.png,p021_zero_control_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p021_zero_control_mask.png,p021_zero_control_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p021_zero_control_damaged.png,white_fill,255,255,255,0,0.0,0.0,ok,zero_control copied without model inference,stable_diffusion_inpainting,zero_control_copy,runwayml/stable-diffusion-inpainting,copied_zero_control,p021_zero_control_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p021_zero_control_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,none,0.0,768,768,RGB,Interior of the Oude Kerk in Delft,Gerard Houckgeest,,architecture_structured,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interieur-van-de-Oude-Kerk-in-Delft--a9a613509471ccc6de1cd242596ce9a1,Public domain,p021.jpg,Zero-control sanity example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p021_zero_control_stable_diffusion_restoration.png
