case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p050_loss_large,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,126025,276,195,631,550,51958,11.6243,8.8091,0.5895628929138184,0.8476015329360962,0.25803864002227783,0.31175124645233154,0.7248903512954712,0.41313910484313965,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p049_loss_large,p049,high_texture_brushwork,Peonies,p049_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,119025,154,286,499,631,48472,13.0672,8.218,0.7169419527053833,0.9399484992027283,0.22300654649734497,0.8582639694213867,0.8609199523925781,0.0026559829711914062,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,129600,259,408,619,768,49705,14.4143,8.4271,0.7243326306343079,0.9468052387237549,0.22247260808944702,0.7628775835037231,0.8825546503067017,0.11967706680297852,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p048_loss_large,p048,high_texture_brushwork,A Farm in Brittany,p048_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,161604,57,177,459,579,63467,13.4811,10.7603,0.7472100257873535,0.9555028676986694,0.20829284191131592,0.6979923248291016,0.8421911001205444,0.14419877529144287,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p025_loss_large,p025,architecture_structured,The Quay de Paris in Rouen,p025_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,119716,175,134,521,480,52108,10.6014,8.8345,0.7358732223510742,0.939290463924408,0.20341724157333374,0.8501129746437073,0.7667966485023499,-0.08331632614135742,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p003_mixed_damage,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,48680,10.3234,8.2533,0.7892763614654541,0.9768211245536804,0.18754476308822632,0.7852474451065063,0.9209723472595215,0.13572490215301514,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p021_loss_large,p021,architecture_structured,Interior of the Oude Kerk in Delft,p021_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,131044,359,131,721,493,49986,10.0286,8.4747,0.7417053580284119,0.928986668586731,0.1872813105583191,0.7518935203552246,0.8562528491020203,0.10435932874679565,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p021_mixed_damage,p021,architecture_structured,Interior of the Oude Kerk in Delft,p021_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,50041,10.0397,8.4841,0.7696846723556519,0.9537361264228821,0.18405145406723022,0.8578055500984192,0.9057637453079224,0.047958195209503174,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p013_mixed_damage,p013,landscape_natural,Landscape with a Village in the Distance,p013_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,42332,10.3221,7.1771,0.7245900630950928,0.908288836479187,0.18369877338409424,0.6110111474990845,0.7536211609840393,0.14261001348495483,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p030_mixed_damage,p030,architecture_structured,Interior with Five Women,p030_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,46497,11.9887,7.8832,0.7783498167991638,0.9608058929443359,0.18245607614517212,0.745064377784729,0.9146738648414612,0.16960948705673218,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p027_mixed_damage,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,p027_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,541696,0,15,736,751,44664,9.6766,7.5724,0.7802485227584839,0.9549986124038696,0.17475008964538574,0.5743319988250732,0.7022035121917725,0.12787151336669922,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p007_mixed_damage,p007,portrait_figure,Princesse de Broglie,p007_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,42099,9.4511,7.1376,0.7757822275161743,0.9486085176467896,0.17282629013061523,0.6985129117965698,0.8876542448997498,0.18914133310317993,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p037_scratch_thin,p037,abstraction_surrealism,In the Sea,p037_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,12338,2.7746,2.0918,0.8077754974365234,0.9804587364196777,0.1726832389831543,0.909679114818573,0.891459584236145,-0.01821953058242798,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p008_mixed_damage,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,p008_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,485809,36,0,733,697,38912,8.9517,6.5972,0.7980608344078064,0.9699889421463013,0.17192810773849487,0.774750292301178,0.8908844590187073,0.1161341667175293,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p037_loss_large,p037,abstraction_surrealism,In the Sea,p037_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,128164,108,138,466,496,47216,10.6182,8.0051,0.7857882976531982,0.9545365571975708,0.16874825954437256,0.844184398651123,0.8603807687759399,0.016196370124816895,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
