case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p048_mixed_damage,p048,high_texture_brushwork,A Farm in Brittany,p048_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,52192,11.0862,8.8487,0.8208789825439453,0.9502716064453125,0.1293926239013672,0.4098643660545349,0.840300977230072,0.4304366111755371,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p050_loss_large,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,126025,276,195,631,550,51958,11.6243,8.8091,0.5895628929138184,0.8476015329360962,0.25803864002227783,0.31175124645233154,0.7248903512954712,0.41313910484313965,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p015_mixed_damage,p015,landscape_natural,Landscape,p015_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,553536,12,24,756,768,45768,10.796,7.7596,0.8455324172973633,0.960662841796875,0.11513042449951172,0.5655384659767151,0.9154418706893921,0.349903404712677,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p050_mixed_damage,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,568516,0,0,754,754,39368,8.8076,6.6745,0.803747296333313,0.9069553017616272,0.10320800542831421,0.3954562842845917,0.742018461227417,0.3465621769428253,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p044_mixed_damage,p044,high_texture_brushwork,Versailles,p044_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,49669,10.0894,8.421,0.8135443925857544,0.9544492959976196,0.14090490341186523,0.5766584873199463,0.9055424332618713,0.32888394594192505,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p017_mixed_damage,p017,landscape_natural,Picturesque Landscape,p017_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,39263,9.0325,6.6567,0.9047965407371521,0.9753968715667725,0.07060033082962036,0.620887279510498,0.9417644143104553,0.3208771347999573,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p041_mixed_damage,p041,high_texture_brushwork,Wheat Field with Cypresses,p041_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,511225,53,40,768,755,41902,8.9296,7.1042,0.8797738552093506,0.9871858358383179,0.10741198062896729,0.6722637414932251,0.9683924913406372,0.2961287498474121,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p044_loss_small,p044,high_texture_brushwork,Versailles,p044_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,373321,65,123,676,734,21050,4.276,3.5689,0.8543024659156799,0.9652943015098572,0.11099183559417725,0.6768215894699097,0.9589989185333252,0.2821773290634155,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p050_loss_small,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,249001,97,105,596,604,14760,3.3022,2.5024,0.8075283169746399,0.9751312732696533,0.16760295629501343,0.6462240219116211,0.917621374130249,0.27139735221862793,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p016_mixed_damage,p016,landscape_natural,Wooded Landscape with a House beside a River,p016_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,46836,12.5741,7.9407,0.8152161836624146,0.976699948310852,0.1614837646484375,0.6812602877616882,0.9377241134643555,0.25646382570266724,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p010_loss_large,p010,portrait_figure,Joan of Arc,p010_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,328329,61,126,634,699,92273,17.2874,15.6442,0.7887468338012695,0.945712149143219,0.15696531534194946,0.6321842670440674,0.8881535530090332,0.2559692859649658,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,178929,197,314,620,737,67242,13.2058,11.4003,0.8109001517295837,0.9300373196601868,0.11913716793060303,0.7064647078514099,0.9548676609992981,0.24840295314788818,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p014_loss_small,p014,landscape_natural,Landscape on a River,p014_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,274576,148,130,672,654,18677,5.5906,3.1665,0.8788616061210632,0.9484389424324036,0.06957733631134033,0.656363308429718,0.8940937519073486,0.23773044347763062,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p020_mixed_damage,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,54098,13.3157,9.1719,0.82358717918396,0.9402306079864502,0.11664342880249023,0.5853419303894043,0.816914439201355,0.23157250881195068,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p044_scratch_thin,p044,high_texture_brushwork,Versailles,p044_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,10331,2.0986,1.7515,0.8743038177490234,0.9328176975250244,0.05851387977600098,0.6628749966621399,0.8897334337234497,0.22685843706130981,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p041_loss_large,p041,high_texture_brushwork,Wheat Field with Cypresses,p041_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,177241,0,210,421,631,67806,14.4499,11.496,0.8152316808700562,0.9648926258087158,0.14966094493865967,0.6883238554000854,0.9132626056671143,0.2249387502670288,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p041_scratch_thin,p041,high_texture_brushwork,Wheat Field with Cypresses,p041_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,11793,2.5132,1.9994,0.8903596997261047,0.9702785015106201,0.07991880178451538,0.6784182786941528,0.8998309373855591,0.22141265869140625,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
