case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,97344,283,434,595,746,49705,14.4143,8.4271,0.680068850517273,0.2725929915904999,0.40747585892677307,alex,256,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,140625,221,338,596,713,67242,13.2058,11.4003,0.6643260717391968,0.27319368720054626,0.3911323845386505,alex,256,cuda,ok,
p021_loss_large,p021,architecture_structured,Interior of the Oude Kerk in Delft,p021_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,98596,383,155,697,469,49986,10.0286,8.4747,0.66901034116745,0.29252541065216064,0.3764849305152893,alex,256,cuda,ok,
p024_loss_large,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,p024_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,134689,166,67,533,434,74607,16.2449,12.649,0.6998010277748108,0.33433836698532104,0.36546266078948975,alex,256,cuda,ok,
p037_loss_large,p037,abstraction_surrealism,In the Sea,p037_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,96100,132,162,442,472,47216,10.6182,8.0051,0.6136142015457153,0.27089086174964905,0.3427233397960663,alex,256,cuda,ok,
p003_loss_large,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,91204,150,23,452,325,48196,10.2207,8.1713,0.635498583316803,0.29582542181015015,0.33967316150665283,alex,256,cuda,ok,
p014_loss_large,p014,landscape_natural,Landscape on a River,p014_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,108900,112,265,442,595,57683,17.2662,9.7797,0.683463990688324,0.34699565172195435,0.33646833896636963,alex,256,cuda,ok,
p007_loss_large,p007,portrait_figure,Princesse de Broglie,p007_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,90601,306,168,607,469,47676,10.7031,8.0831,0.6305727958679199,0.2963292598724365,0.3342435359954834,alex,256,cuda,ok,
p010_mixed_damage,p010,portrait_figure,Joan of Arc,p010_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,48195,9.0293,8.1711,0.49672678112983704,0.19057467579841614,0.3061521053314209,alex,256,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,408321,72,25,711,664,24198,4.7523,4.1026,0.3563153147697449,0.05031324177980423,0.30600207298994064,alex,256,cuda,ok,
p006_mixed_damage,p006,portrait_figure,Boy with a Sword,p006_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,44236,9.9998,7.4999,0.43814849853515625,0.1378094106912613,0.30033908784389496,alex,256,cuda,ok,
p023_loss_large,p023,architecture_structured,Church Interior,p023_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,87025,281,59,576,354,45016,10.6572,7.6321,0.583641529083252,0.28420108556747437,0.2994404435157776,alex,256,cuda,ok,
p050_loss_large,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,94249,300,219,607,526,51958,11.6243,8.8091,0.7467003464698792,0.4490070939064026,0.29769325256347656,alex,256,cuda,ok,
p030_loss_large,p030,architecture_structured,Interior with Five Women,p030_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,94864,242,208,550,516,49329,12.7189,8.3633,0.6196065545082092,0.32427340745925903,0.2953331470489502,alex,256,cuda,ok,
p013_loss_large,p013,landscape_natural,Landscape with a Village in the Distance,p013_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,85849,276,333,569,626,44375,10.8202,7.5234,0.7269705533981323,0.4319787621498108,0.29499179124832153,alex,256,cuda,ok,
p026_mixed_damage,p026,architecture_structured,View of a Village along a River,p026_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,41381,10.1855,7.0158,0.45245397090911865,0.15833047032356262,0.29412350058555603,alex,256,cuda,ok,
p006_loss_small,p006,portrait_figure,Boy with a Sword,p006_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,427716,41,12,695,666,22150,5.0071,3.7554,0.3295958638191223,0.03773529455065727,0.29186056926846504,alex,256,cuda,ok,
p003_mixed_damage,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,586756,1,2,767,768,48680,10.3234,8.2533,0.35743048787117004,0.07015527784824371,0.28727521002292633,alex,256,cuda,ok,
p006_loss_large,p006,portrait_figure,Boy with a Sword,p006_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,101761,163,179,482,498,51891,11.7303,8.7977,0.6818643808364868,0.3955233693122864,0.28634101152420044,alex,256,cuda,ok,
p010_loss_large,p010,portrait_figure,Joan of Arc,p010_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,275625,85,150,610,675,92273,17.2874,15.6442,0.5448732376098633,0.26229527592658997,0.2825779616832733,alex,256,cuda,ok,
