original_case_id,category,mask_type,uncertainty_selection_role,combined_uncertainty_index,masked_std_mean,mean_pairwise_lpips,mean_dinov2_uncertainty_distance,refined_stable_diffusion_metric_wins,refined_overall_metric_vote,uncertainty_performance_quadrant
p011_loss_large,landscape_natural,loss_large,relatively_weak_or_disagreement_prone_stable_diffusion,0.9834162335148644,0.14998354017734528,0.44739577174186707,0.6022597427169482,0,lama,high_uncertainty_low_reference_performance
p009_loss_large,portrait_figure,loss_large,relatively_strong_stable_diffusion,0.719251401201778,0.1475362777709961,0.3724637379248937,0.15424065788586935,2,lama,high_uncertainty_high_reference_performance
p031_loss_large,abstraction_surrealism,loss_large,relatively_weak_or_disagreement_prone_stable_diffusion,0.5625869738362576,0.10873526334762573,0.31811081369717914,0.2554130256175995,0,lama,high_uncertainty_low_reference_performance
p018_loss_large,landscape_natural,loss_large,relatively_strong_stable_diffusion,0.5287961206693911,0.08840785920619965,0.28835925956567127,0.3888624260822932,1,lama,high_uncertainty_high_reference_performance
p026_loss_large,architecture_structured,loss_large,relatively_weak_or_disagreement_prone_stable_diffusion,0.4841082828630068,0.08345761895179749,0.34533925851186115,0.2332913875579834,0,lama,high_uncertainty_low_reference_performance
p037_loss_large,abstraction_surrealism,loss_large,relatively_strong_stable_diffusion,0.4290620717541782,0.09862791001796722,0.264517975350221,0.13146554430325827,4,stable_diffusion_inpainting,high_uncertainty_high_reference_performance
p010_loss_large,portrait_figure,loss_large,relatively_weak_or_disagreement_prone_stable_diffusion,0.42586817951510375,0.06724465638399124,0.33247319360574085,0.28011488914489746,0,tie_lama_opencv_telea,high_uncertainty_low_reference_performance
p043_loss_large,high_texture_brushwork,loss_large,relatively_strong_stable_diffusion,0.4116464237619671,0.08480453491210938,0.30169521768887836,0.134131650129954,2,lama,high_uncertainty_high_reference_performance
p021_loss_large,architecture_structured,loss_large,relatively_strong_stable_diffusion,0.3581157763880629,0.0732654333114624,0.2510444050033887,0.21148839592933655,2,lama,high_uncertainty_high_reference_performance
p011_mixed_damage,landscape_natural,mixed_damage,relatively_weak_or_disagreement_prone_stable_diffusion,0.35618716155507874,0.09702650457620621,0.15176211297512054,0.29230934381484985,0,lama,high_uncertainty_low_reference_performance
