case_id,painting_id,mask_id,mask_type,category,seed_count,heatmap_status,heatmap_png_path,overlay_png_path,compact_figure_path,heatmap_error_message
p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p009_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p009_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p009_loss_large_uncertainty_compact.png,
p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p009_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p009_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p009_loss_small_uncertainty_compact.png,
p009_mixed_damage,p009,p009_mixed_damage,mixed_damage,portrait_figure,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p009_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p009_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p009_mixed_damage_uncertainty_compact.png,
p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p009_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p009_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p009_scratch_thin_uncertainty_compact.png,
p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p010_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p010_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p010_loss_large_uncertainty_compact.png,
p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p010_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p010_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p010_loss_small_uncertainty_compact.png,
p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p010_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p010_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p010_mixed_damage_uncertainty_compact.png,
p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p010_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p010_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p010_scratch_thin_uncertainty_compact.png,
p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p011_loss_large_uncertainty_compact.png,
p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p011_loss_small_uncertainty_compact.png,
