case_id,selection_reasons,selection_count,first_selection_sort_column,first_selection_sort_value,painting_id,mask_id,mask_type,category,seed_count,seeds,bbox_margin,boundary_dilation_iterations,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,mask_pixel_count,boundary_ring_pixel_count,image_height,image_width,clean_image_path,damaged_image_path,mask_path,global_pixel_count,global_mean_uncertainty,global_median_uncertainty,global_std_uncertainty,global_max_uncertainty,global_p95_uncertainty,masked_pixel_count,masked_mean_uncertainty,masked_median_uncertainty,masked_std_uncertainty,masked_max_uncertainty,masked_p95_uncertainty,bbox_pixel_count,bbox_mean_uncertainty,bbox_median_uncertainty,bbox_std_uncertainty,bbox_max_uncertainty,bbox_p95_uncertainty,boundary_pixel_count,boundary_mean_uncertainty,boundary_median_uncertainty,boundary_std_uncertainty,boundary_max_uncertainty,boundary_p95_uncertainty,outside_mask_pixel_count,outside_mask_mean_uncertainty,outside_mask_median_uncertainty,outside_mask_std_uncertainty,outside_mask_max_uncertainty,outside_mask_p95_uncertainty,masked_vs_global_mean_uncertainty_ratio,boundary_vs_global_mean_uncertainty_ratio,outside_vs_global_mean_uncertainty_ratio,heatmap_png_path,overlay_png_path,compact_figure_path,heatmap_status,heatmap_error_message,original_case_id,title,uncertainty_selection_role,num_seed_outputs,mask_fraction,full_std_mean,full_std_max,full_variance_mean,full_mad_mean,masked_std_mean,masked_std_max,masked_variance_mean,masked_mad_mean,bbox_std_mean,bbox_std_max,bbox_variance_mean,bbox_mad_mean,lpips_pair_count,mean_pairwise_lpips,median_pairwise_lpips,max_pairwise_lpips,range_pairwise_lpips,feature_pair_count,mean_pairwise_clip_similarity,mean_pairwise_dinov2_similarity,mean_clip_uncertainty_distance,mean_dinov2_uncertainty_distance,max_clip_uncertainty_distance,max_dinov2_uncertainty_distance,range_pairwise_clip_similarity,range_pairwise_dinov2_similarity,masked_std_mean_normalized,masked_mad_mean_normalized,bbox_std_mean_normalized,mean_pairwise_lpips_normalized,mean_clip_uncertainty_distance_normalized,mean_dinov2_uncertainty_distance_normalized,combined_uncertainty_index,uncertainty_rank_high_to_low,refined_overall_metric_vote,refined_metric_ties,refined_mixed_metric_outcome,refined_stable_diffusion_metric_wins,stable_diffusion_inpainting_mse_improvement,stable_diffusion_inpainting_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,stable_diffusion_inpainting_lpips_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_mse_improvement,winner_psnr_improvement,winner_ssim_improvement,winner_lpips_improvement,winner_clip_improvement,winner_dinov2_improvement,stable_diffusion_won_refined_vote,stable_diffusion_zero_metric_wins,stable_diffusion_low_metric_wins,uncertainty_performance_quadrant,selected_detail_figure_path
p011_loss_large,category_representative_high_uncertainty__landscape_natural; highest_masked_uncertainty; mask_type_representative_high_uncertainty__loss_large; uncertainty_performance_quadrant__high_uncertainty_low_reference_performance,4,masked_mean_uncertainty,38.24580001831055,p011,p011_loss_large,loss_large,landscape_natural,4,"2026,2027,2028,2029",16,8,0,144,323,445,323,301,49885,10576,768,768,data/processed/clean/p011_clean.png,data/processed/masked/p011_loss_large_damaged.png,data/processed/masks/p011_loss_large_mask.png,589824,4.662737846374512,1.199358582496643,11.168102264404297,85.53619384765625,34.53424320220947,49885,38.24580001831055,37.81229782104492,14.67510986328125,85.53619384765625,60.90542373657227,97223,20.874053955078125,13.218913078308105,20.81867790222168,85.53619384765625,57.594700241088866,10576,4.813465118408203,3.0071096420288086,5.279903411865234,49.6590690612793,16.35024356842041,539939,1.5599974393844604,1.117646336555481,1.589470386505127,49.6590690612793,4.079689788818359,8.202434105538238,1.0323259138035457,0.33456683335773646,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p011_loss_large_uncertainty_compact.png,ok,,p011_loss_large,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,4,0.0845760769314236,0.0182852465659379,0.335436075925827,0.0022777351550757,0.0161102768033742,0.1499835401773452,0.335436075925827,0.026072546839714,0.1333269029855728,0.0818590372800827,0.335436075925827,0.0135059198364615,0.0726456716656684,6,0.447395771741867,0.4590431153774261,0.4928002059459686,0.1240645945072174,6,0.767004132270813,0.3977402572830518,0.232995867729187,0.6022597427169482,0.3155068755149841,0.8233110904693604,0.2001419067382812,0.5338128805160522,1.0,1.0,0.9004974010891864,1.0,1.0,1.0,0.9834162335148644,1,lama,0,True,0,18524.33337402344,14.04316734735312,-0.159793581787485,0.0501744747161865,-0.1398811936378479,0.0464450120925903,lama,lama,opencv_telea,lama,lama,lama,False,True,True,high_uncertainty_low_reference_performance,outputs/figures/uncertainty_heatmaps/selected_cases/p011_loss_large_uncertainty_selected_detail.png
p009_loss_large,category_representative_high_uncertainty__portrait_figure; highest_boundary_uncertainty; highest_masked_uncertainty; uncertainty_performance_quadrant__high_uncertainty_high_reference_performance,4,masked_mean_uncertainty,37.62174606323242,p009,p009_loss_large,loss_large,portrait_figure,4,"2026,2027,2028,2029",16,8,114,5,425,353,311,348,58251,11188,768,768,data/processed/clean/p009_clean.png,data/processed/masked/p009_loss_large_damaged.png,data/processed/masks/p009_loss_large_mask.png,589824,7.139126300811768,3.315714120864868,11.713876724243164,90.90380859375,36.27931690216063,58251,37.62174606323242,36.474517822265625,17.32316017150879,90.90380859375,68.59126281738281,108228,22.9434757232666,15.369256973266602,20.564123153686523,90.90380859375,63.10339031219481,11188,8.28358268737793,6.111486911773682,6.086685657501221,49.875125885009766,20.399110412597654,531573,3.7987701892852783,3.1104466915130615,2.52699613571167,54.92240905761719,8.151491355895994,5.269796950679609,1.1603076240341839,0.5321057541077925,outputs/figures/uncertainty_heatmaps/heatmap_images/p009_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p009_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p009_loss_large_uncertainty_compact.png,ok,,p009_loss_large,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,4,0.0987599690755208,0.027996577322483,0.356485515832901,0.0031586454715579,0.0243051331490278,0.1475362777709961,0.356485515832901,0.0287883169949054,0.1290014237165451,0.08997443318367,0.356485515832901,0.0159266665577888,0.0785766094923019,6,0.3724637379248937,0.3684093654155731,0.4030385017395019,0.0584813058376312,6,0.92319256067276,0.8457593421141306,0.0768074393272399,0.1542406578858693,0.0951206684112548,0.2266567945480346,0.0586758255958557,0.1193432211875915,0.9786427280942412,0.957905628156207,1.0,0.8239960006014264,0.3155764023716034,0.2393876479871899,0.719251401201778,2,lama,0,True,2,14208.7275390625,4.9100932973564575,-0.2402667881871068,0.1938725113868713,0.1394519209861755,0.1910362839698791,lama,lama,opencv_telea,lama,stable_diffusion_inpainting,stable_diffusion_inpainting,False,False,False,high_uncertainty_high_reference_performance,outputs/figures/uncertainty_heatmaps/selected_cases/p009_loss_large_uncertainty_selected_detail.png
p031_loss_large,category_representative_high_uncertainty__abstraction_surrealism; highest_masked_uncertainty; uncertainty_performance_quadrant__high_uncertainty_low_reference_performance,3,masked_mean_uncertainty,27.727493286132812,p031,p031_loss_large,loss_large,abstraction_surrealism,4,"2026,2027,2028,2029",16,8,408,239,740,699,332,460,83367,15432,768,768,data/processed/clean/p031_clean.png,data/processed/masked/p031_loss_large_damaged.png,data/processed/masks/p031_loss_large_mask.png,589824,6.5758748054504395,2.7268269062042236,10.097654342651367,67.91751861572266,32.604769897460905,83367,27.727493286132812,26.988967895507812,13.009593963623047,67.91751861572266,50.21257438659668,152720,17.275758743286133,12.42132568359375,15.195388793945312,67.91751861572266,46.19729099273679,15432,7.723886489868164,5.859436988830566,5.678280353546143,54.08858108520508,19.011855792999263,506457,3.0941431522369385,2.473065137863159,2.262728452682495,54.08858108520508,6.972018337249755,4.216548225794276,1.174579307945522,0.4705295096200814,outputs/figures/uncertainty_heatmaps/heatmap_images/p031_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p031_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p031_loss_large_uncertainty_compact.png,ok,,p031_loss_large,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,4,0.1413421630859375,0.0257877483963966,0.2663432359695434,0.0023412422742694,0.0224730297923088,0.1087352633476257,0.2663432359695434,0.0150943212211132,0.095316857099533,0.0677480772137641,0.2663432359695434,0.0085269846022129,0.0592866092920303,6,0.3181108136971791,0.3171663284301758,0.3350630402565002,0.0345134735107421,6,0.9334937632083892,0.7445869743824005,0.0665062367916107,0.2554130256175995,0.0960418581962585,0.3002370595932007,0.0445072054862976,0.1049575805664062,0.6400260709228454,0.6300967116445693,0.7274833896464743,0.6963292130369543,0.2704361434454418,0.4111503143212603,0.5625869738362576,3,lama,0,True,0,15065.325927734377,8.255180764984829,-0.1514314211573308,0.1551523804664611,0.1481353044509887,0.0635701417922973,lama,lama,opencv_telea,lama,lama,lama,False,True,True,high_uncertainty_low_reference_performance,outputs/figures/uncertainty_heatmaps/selected_cases/p031_loss_large_uncertainty_selected_detail.png
p037_loss_large,highest_masked_uncertainty; uncertainty_performance_quadrant__high_uncertainty_high_reference_performance,2,masked_mean_uncertainty,25.150114059448242,p037,p037_loss_large,loss_large,abstraction_surrealism,4,"2026,2027,2028,2029",16,8,137,154,438,480,301,326,47216,11074,768,768,data/processed/clean/p037_clean.png,data/processed/masked/p037_loss_large_damaged.png,data/processed/masks/p037_loss_large_mask.png,589824,3.5053186416625977,1.3485374450683594,9.037932395935059,76.83805084228516,11.070740318298324,47216,25.150114059448242,14.913082122802734,22.19759750366211,76.83805084228516,64.42223739624023,98126,13.451173782348633,3.9161577224731445,19.126182556152344,76.83805084228516,60.84409523010254,11074,3.5728683471679688,2.8239097595214844,2.4359970092773438,20.935548782348633,8.442109441757202,542608,1.6218587160110474,1.2629659175872803,1.2655093669891357,26.813642501831055,3.8985765576362588,7.174843875468886,1.0192706290691524,0.4626851014648235,outputs/figures/uncertainty_heatmaps/heatmap_images/p037_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p037_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p037_loss_large_uncertainty_compact.png,ok,,p037_loss_large,In the Sea,relatively_strong_stable_diffusion,4,0.0800509982638889,0.0137463510036468,0.3013257086277008,0.0014593953965231,0.0119969332590699,0.0986279100179672,0.3013257086277008,0.017450213432312,0.0867098197340965,0.0527497008442878,0.3013257086277008,0.0084813144057989,0.046299897134304,6,0.264517975350221,0.2712946534156799,0.2875142693519592,0.0719933658838272,6,0.9583626985549928,0.8685344556967417,0.0416373014450073,0.1314655443032582,0.0590351819992065,0.1530965566635131,0.0355092883110046,0.0378970503807067,0.5518191451967562,0.5463353967011855,0.5435887964639365,0.5704477520956227,0.1614595286394623,0.2007218114281062,0.4290620717541782,6,stable_diffusion_inpainting,0,True,4,32135.70556640625,13.917993769741576,0.0675870679054061,0.3427233397960663,0.1687482595443725,0.0161963701248168,stable_diffusion_inpainting,stable_diffusion_inpainting,opencv_telea,stable_diffusion_inpainting,stable_diffusion_inpainting,lama,True,False,False,high_uncertainty_high_reference_performance,outputs/figures/uncertainty_heatmaps/selected_cases/p037_loss_large_uncertainty_selected_detail.png
p011_mixed_damage,highest_masked_uncertainty; mask_type_representative_high_uncertainty__mixed_damage,2,masked_mean_uncertainty,24.741758346557617,p011,p011_mixed_damage,mixed_damage,landscape_natural,4,"2026,2027,2028,2029",16,8,0,104,768,664,768,560,44361,49747,768,768,data/processed/clean/p011_clean.png,data/processed/masked/p011_mixed_damage_damaged.png,data/processed/masks/p011_mixed_damage_mask.png,589824,3.510373115539551,1.2383626699447632,7.467641830444336,87.87361907958984,19.156488513946524,44361,24.741758346557617,23.805795669555664,13.997818946838379,87.87361907958984,50.96318435668945,430080,4.545158386230469,1.6844825744628906,8.51465129852295,87.87361907958984,24.715697002410877,49747,4.385313987731934,2.887479782104492,4.750566482543945,57.89542770385742,13.236221122741695,545463,1.7836830615997314,1.1461325883865356,2.173543930053711,57.89542770385742,5.05072574615478,7.048184754649056,1.2492444053387923,0.5081177976844202,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p011_mixed_damage_uncertainty_compact.png,ok,,p011_mixed_damage,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,4,0.0752105712890625,0.0137661704793572,0.3446024358272552,0.0010835368884727,0.0119419172406196,0.0970265045762062,0.3446024358272552,0.0128535954281687,0.0844122469425201,0.0178241543471813,0.3446024358272552,0.0014824023237451,0.0154668195173144,6,0.1517621129751205,0.1534062027931213,0.1645003259181976,0.0254759192466735,6,0.9540075262387594,0.7076906561851501,0.0459924737612406,0.2923093438148498,0.0524847507476806,0.361537754535675,0.0138700008392333,0.1321294903755188,0.5378436714746417,0.5239760516641353,0.1153678339713499,0.3056013076213306,0.1805440583672154,0.473790046231799,0.3561871615550787,10,lama,0,True,0,21250.73583984375,9.572920686858668,-0.216708177258931,0.1531517803668975,-0.0448507666587829,-0.1016206741333007,lama,lama,opencv_telea,lama,lama,lama,False,True,True,high_uncertainty_low_reference_performance,outputs/figures/uncertainty_heatmaps/selected_cases/p011_mixed_damage_uncertainty_selected_detail.png
p037_loss_small,mask_type_representative_high_uncertainty__loss_small; uncertainty_performance_quadrant__middle_region,2,masked_mean_uncertainty,22.331777572631836,p037,p037_loss_small,loss_small,abstraction_surrealism,4,"2026,2027,2028,2029",16,8,131,148,766,605,635,457,22216,16491,768,768,data/processed/clean/p037_clean.png,data/processed/masked/p037_loss_small_damaged.png,data/processed/masks/p037_loss_small_mask.png,589824,2.567934036254883,1.3965822458267212,5.385249614715576,87.96695709228516,6.341876816749571,22216,22.331777572631836,16.34499740600586,17.176952362060547,87.96695709228516,56.870211601257324,290195,3.7814886569976807,1.81521475315094,7.414079189300537,87.96695709228516,12.778785037994362,16491,5.407199382781982,3.8903133869171143,4.96284818649292,81.6579818725586,14.780798435211182,567608,1.7943834066390991,1.3562482595443726,1.6435394287109375,81.6579818725586,4.375303053855896,8.69639841615125,2.1056613158223167,0.6987653788289685,outputs/figures/uncertainty_heatmaps/heatmap_images/p037_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p037_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p037_loss_small_uncertainty_compact.png,ok,,p037_loss_small,In the Sea,relatively_strong_stable_diffusion,4,0.0376654730902777,0.0100703295320272,0.3449684679508209,0.0005565743776969,0.008696143515408,0.0875755921006202,0.3449684679508209,0.0123569378629326,0.0755649507045745,0.0148293673992156,0.3449684679508209,0.0010818309383466,0.0128081887960433,6,0.0782415357728799,0.0782739892601966,0.0962613970041275,0.0418952107429504,6,0.973166604836782,0.956219494342804,0.0268333951632181,0.043780505657196,0.0446275472640991,0.0597047805786132,0.0328004956245422,0.0341930985450744,0.4553655085383963,0.4378766036055191,0.0786488509362722,0.1329126060535529,0.0965882516824976,0.0518568953139591,0.2088747860216995,14,lama,0,False,0,25585.7314453125,13.47329425603014,-0.1754760485816866,0.0904728472232818,0.0566115975379943,-0.0033158063888549,lama,lama,lama,lama,lama,lama,False,True,True,middle_region,outputs/figures/uncertainty_heatmaps/selected_cases/p037_loss_small_uncertainty_selected_detail.png
p041_mixed_damage,highest_boundary_uncertainty; highest_outside_mask_uncertainty,2,boundary_mean_uncertainty,10.275064468383789,p041,p041_mixed_damage,mixed_damage,high_texture_brushwork,4,"2026,2027,2028,2029",16,8,69,90,768,705,699,615,41902,38706,768,768,data/processed/clean/p041_clean.png,data/processed/masked/p041_mixed_damage_damaged.png,data/processed/masks/p041_mixed_damage_mask.png,589824,4.858458518981934,2.8640143871307373,5.979068279266357,64.99917602539062,17.246538257598875,41902,18.26451301574707,16.92162322998047,9.739639282226562,64.99917602539062,36.148813247680636,429885,6.139920711517334,3.892313003540039,6.485971927642822,64.99917602539062,19.985005187988275,38706,10.275064468383789,8.973603248596191,6.309084415435791,54.47784423828125,22.430920124053955,547922,3.833238124847412,2.6201179027557373,4.053828239440918,54.47784423828125,11.839280033111569,3.759322613704456,2.1148815837555124,0.7889823700215156,outputs/figures/uncertainty_heatmaps/heatmap_images/p041_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p041_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p041_mixed_damage_uncertainty_compact.png,ok,,p041_mixed_damage,Wheat Field with Cypresses,relatively_weak_or_disagreement_prone_stable_diffusion,4,0.0710415310329861,0.019052779302001,0.2548987567424774,0.0009616236784495,0.0164978858083486,0.0716255381703376,0.2548987567424774,0.0069488692097365,0.0622141771018505,0.0240781288594007,0.2548987567424774,0.0012922505848109,0.0208544880151748,6,0.0893380840619405,0.0893224216997623,0.0979505702853202,0.0151196345686912,6,0.988663117090861,0.9595260818799336,0.0113368829091389,0.0404739181200663,0.017441987991333,0.057761013507843,0.0083033442497253,0.0300318598747253,0.3161693039071402,0.3079505553038958,0.1920476071926101,0.1589767174743704,0.0286819491724636,0.0462432252518885,0.1750115597170615,17,tie_lama_opencv_telea,0,True,0,23985.401977539062,12.610417163140813,-0.5507951961427315,0.1832953095436096,0.1074119806289672,0.2961287498474121,opencv_telea,opencv_telea,opencv_telea,lama,lama,lama,False,True,True,middle_region,outputs/figures/uncertainty_heatmaps/selected_cases/p041_mixed_damage_uncertainty_selected_detail.png
p041_scratch_thin,highest_outside_mask_uncertainty; lowest_masked_uncertainty,2,masked_mean_uncertainty,10.916192054748535,p041,p041_scratch_thin,scratch_thin,high_texture_brushwork,4,"2026,2027,2028,2029",16,8,0,62,768,705,768,643,11793,75305,768,768,data/processed/clean/p041_clean.png,data/processed/masked/p041_scratch_thin_damaged.png,data/processed/masks/p041_scratch_thin_mask.png,589824,4.073519229888916,2.7848458290100098,4.2714009284973145,71.18022918701172,12.448162603378293,11793,10.916192054748535,9.138508796691895,8.283124923706055,71.18022918701172,26.423192214965812,493824,4.686554431915283,3.412494659423828,4.411277770996094,71.18022918701172,13.287909507751465,75305,7.015199661254883,5.460241317749023,5.946916103363037,64.33442687988281,18.568177032470704,578031,3.9339144229888916,2.7298285961151123,4.030205249786377,64.33442687988281,11.88034725189209,2.6797939108411373,1.7221471774480157,0.9657286958330823,outputs/figures/uncertainty_heatmaps/heatmap_images/p041_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p041_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p041_scratch_thin_uncertainty_compact.png,ok,,p041_scratch_thin,Wheat Field with Cypresses,relatively_weak_or_disagreement_prone_stable_diffusion,4,0.0199940999348958,0.0159745849668979,0.2791381478309631,0.0005655095446854,0.0138149410486221,0.0428085997700691,0.2791381478309631,0.0030445423908531,0.0370223820209503,0.018378647044301,0.2791381478309631,0.0006723622791469,0.0158968027681112,6,0.045743233213822,0.0459538605064153,0.0554675608873367,0.019216351211071,6,0.9924303789933524,0.9831193586190542,0.0075696210066477,0.0168806413809458,0.009800910949707,0.0226524472236633,0.0041045546531677,0.0101358890533447,0.0646837307584222,0.0627909501842493,0.122166450464735,0.0565790150285159,0.0121736651024299,0.0061883741979481,0.0540970309560501,34,opencv_telea,0,True,0,24521.362548828125,10.948644924007882,-0.5650127310628693,0.1707083731889724,0.0799188017845153,0.2214126586914062,opencv_telea,opencv_telea,opencv_telea,lama,lama,opencv_telea,False,True,True,low_uncertainty_low_reference_performance,outputs/figures/uncertainty_heatmaps/selected_cases/p041_scratch_thin_uncertainty_selected_detail.png
p037_mixed_damage,uncertainty_performance_quadrant__middle_region,1,masked_mean_uncertainty,22.276716232299805,p037,p037_mixed_damage,mixed_damage,abstraction_surrealism,4,"2026,2027,2028,2029",16,8,0,78,768,689,768,611,48626,65104,768,768,data/processed/clean/p037_clean.png,data/processed/masked/p037_mixed_damage_damaged.png,data/processed/masks/p037_mixed_damage_mask.png,589824,3.6186468601226807,1.4644111394882202,8.050704002380371,81.12641143798828,13.094579172134384,48626,22.276716232299805,14.503406524658203,18.891748428344727,81.12641143798828,59.19736862182617,469248,4.341659069061279,1.7999857664108276,8.881651878356934,81.12641143798828,16.77401666641233,65104,4.1103835105896,2.7028732299804688,4.278645038604736,53.40473556518555,12.480463409423828,541198,1.9422420263290405,1.3581466674804688,2.1169800758361816,53.40473556518555,5.133274698257436,6.156090116509371,1.135889645526602,0.5367315728885129,outputs/figures/uncertainty_heatmaps/heatmap_images/p037_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p037_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p037_mixed_damage_uncertainty_compact.png,ok,,p037_mixed_damage,In the Sea,relatively_strong_stable_diffusion,4,0.0824415418836805,0.0141907697543501,0.3181427717208862,0.0012116619618609,0.0124105857685208,0.0873596742749214,0.3181427717208862,0.0132298795506358,0.0773201212286949,0.0170261152088642,0.3181427717208862,0.0015198730397969,0.0149033451452851,6,0.0629186059037844,0.063914218917489,0.0707284659147262,0.0181621573865413,6,0.9843967258930206,0.9370051523049672,0.0156032741069793,0.0629948476950327,0.0190329551696777,0.0945261716842651,0.0081362724304199,0.0645092129707336,0.4534811925366521,0.4549574392994084,0.105583102673152,0.0969213643630895,0.0473774366832377,0.0844775277481508,0.2071330105506151,15,lama,0,False,0,21733.58935546875,10.37805539080938,-0.1631902572000519,0.1514014154672622,0.1607309579849243,0.003908634185791,lama,lama,lama,lama,lama,lama,False,True,True,middle_region,outputs/figures/uncertainty_heatmaps/selected_cases/p037_mixed_damage_uncertainty_selected_detail.png
p043_loss_large,category_representative_high_uncertainty__high_texture_brushwork,1,masked_mean_uncertainty,21.62515640258789,p043,p043_loss_large,loss_large,high_texture_brushwork,4,"2026,2027,2028,2029",16,8,179,308,510,625,331,317,55790,10654,768,768,data/processed/clean/p043_clean.png,data/processed/masked/p043_loss_large_damaged.png,data/processed/masks/p043_loss_large_mask.png,589824,3.8878490924835205,1.7349114418029785,6.959686756134033,68.5909652709961,19.4633108139038,55790,21.62515640258789,20.281383514404297,11.739669799804688,68.5909652709961,42.688854408264156,104927,13.363154411315918,8.111638069152832,12.454511642456055,68.5909652709961,38.40875473022461,10654,6.009873390197754,4.845645904541016,4.143217086791992,38.14979553222656,14.001804208755502,534034,2.034850597381592,1.5881257057189941,1.6729354858398438,43.73310470581055,4.946586227416992,5.562241700372051,1.545809323298763,0.5233872364237977,outputs/figures/uncertainty_heatmaps/heatmap_images/p043_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p043_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p043_loss_large_uncertainty_compact.png,ok,,p043_loss_large,The Card Players,relatively_strong_stable_diffusion,4,0.0945875379774305,0.0152464676648378,0.2689841985702514,0.0010280180722475,0.0131774907931685,0.0848045349121093,0.2689841985702514,0.009791487827897,0.0732998624444007,0.0524045228958129,0.2689841985702514,0.0053958655335009,0.0452897921204566,6,0.3016952176888783,0.3045652359724045,0.3136772215366363,0.0273085534572601,6,0.9448924859364828,0.865868349870046,0.0551075140635172,0.134131650129954,0.0619244575500488,0.1720215082168579,0.0138132572174072,0.093770146369934,0.4311824778638384,0.4158333890730868,0.5393565811329788,0.6577714640636741,0.2204865095464874,0.205248120891737,0.4116464237619671,8,lama,0,True,2,23756.100830078125,10.839566969984334,-0.0505575392861803,0.2766716778278351,0.0919470787048339,0.1781947016716003,lama,lama,lama,stable_diffusion_inpainting,lama,stable_diffusion_inpainting,False,False,False,high_uncertainty_high_reference_performance,outputs/figures/uncertainty_heatmaps/selected_cases/p043_loss_large_uncertainty_selected_detail.png
