case_id,painting_id,mask_id,mask_type,category,seed_count,seeds,bbox_margin,boundary_dilation_iterations,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,mask_pixel_count,boundary_ring_pixel_count,image_height,image_width,clean_image_path,damaged_image_path,mask_path,global_pixel_count,global_mean_uncertainty,global_median_uncertainty,global_std_uncertainty,global_max_uncertainty,global_p95_uncertainty,masked_pixel_count,masked_mean_uncertainty,masked_median_uncertainty,masked_std_uncertainty,masked_max_uncertainty,masked_p95_uncertainty,bbox_pixel_count,bbox_mean_uncertainty,bbox_median_uncertainty,bbox_std_uncertainty,bbox_max_uncertainty,bbox_p95_uncertainty,boundary_pixel_count,boundary_mean_uncertainty,boundary_median_uncertainty,boundary_std_uncertainty,boundary_max_uncertainty,boundary_p95_uncertainty,outside_mask_pixel_count,outside_mask_mean_uncertainty,outside_mask_median_uncertainty,outside_mask_std_uncertainty,outside_mask_max_uncertainty,outside_mask_p95_uncertainty,masked_vs_global_mean_uncertainty_ratio,boundary_vs_global_mean_uncertainty_ratio,outside_vs_global_mean_uncertainty_ratio,heatmap_png_path,overlay_png_path,compact_figure_path,heatmap_status,heatmap_error_message
p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,4,"2026,2027,2028,2029",16,8,114,5,425,353,311,348,58251,11188,768,768,data/processed/clean/p009_clean.png,data/processed/masked/p009_loss_large_damaged.png,data/processed/masks/p009_loss_large_mask.png,589824,7.139126300811768,3.315714120864868,11.713876724243164,90.90380859375,36.27931690216063,58251,37.62174606323242,36.474517822265625,17.32316017150879,90.90380859375,68.59126281738281,108228,22.9434757232666,15.369256973266602,20.564123153686523,90.90380859375,63.10339031219481,11188,8.28358268737793,6.111486911773682,6.086685657501221,49.875125885009766,20.399110412597654,531573,3.7987701892852783,3.1104466915130615,2.52699613571167,54.92240905761719,8.151491355895994,5.269796950679609,1.1603076240341839,0.5321057541077925,outputs/figures/uncertainty_heatmaps/heatmap_images/p009_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p009_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p009_loss_large_uncertainty_compact.png,ok,
p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,4,"2026,2027,2028,2029",16,8,74,12,608,725,534,713,20955,17768,768,768,data/processed/clean/p009_clean.png,data/processed/masked/p009_loss_small_damaged.png,data/processed/masks/p009_loss_small_mask.png,589824,3.7926321029663086,2.4604742527008057,4.772145748138428,72.9657211303711,10.358957386016845,20955,20.30840301513672,18.510866165161133,12.400115013122559,72.9657211303711,43.84906921386718,380742,4.6410040855407715,2.976457118988037,5.617824077606201,72.9657211303711,13.690309333801277,17768,7.622289657592773,5.569911956787109,6.147392749786377,61.10504150390625,20.243642902374262,568869,3.184253692626953,2.383143663406372,2.744128465652466,61.10504150390625,8.017471313476562,5.354698903093195,2.009762463259638,0.8395893927440465,outputs/figures/uncertainty_heatmaps/heatmap_images/p009_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p009_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p009_loss_small_uncertainty_compact.png,ok,
p009_mixed_damage,p009,p009_mixed_damage,mixed_damage,portrait_figure,4,"2026,2027,2028,2029",16,8,59,22,695,768,636,746,47792,58080,768,768,data/processed/clean/p009_clean.png,data/processed/masked/p009_mixed_damage_damaged.png,data/processed/masks/p009_mixed_damage_mask.png,589824,5.203534126281738,2.7969462871551514,6.918034553527832,79.4578628540039,19.489064884185787,47792,21.4506893157959,19.825096130371094,12.087997436523438,79.4578628540039,43.381598663330074,474456,6.108597755432129,3.473705291748047,7.423000812530518,79.4578628540039,22.247615337371826,58080,8.090476036071777,6.219815254211426,6.228710651397705,67.63603973388672,20.532101345062255,542032,3.770991563796997,2.5591111183166504,3.724039316177368,67.63603973388672,10.581870317459101,4.122330853223499,1.5548040666555416,0.7246981503404942,outputs/figures/uncertainty_heatmaps/heatmap_images/p009_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p009_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p009_mixed_damage_uncertainty_compact.png,ok,
p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,4,"2026,2027,2028,2029",16,8,59,43,708,751,649,708,9528,57787,768,768,data/processed/clean/p009_clean.png,data/processed/masked/p009_scratch_thin_damaged.png,data/processed/masks/p009_scratch_thin_mask.png,589824,3.316187858581543,2.2843337059020996,3.465594530105591,63.51277160644531,9.101200675964352,9528,13.612812995910645,10.551675796508789,9.681342124938965,63.5125846862793,33.434691429138184,459492,3.783984422683716,2.6684978008270264,3.728630781173706,63.51277160644531,10.115617799758892,57787,6.0193963050842285,4.239167213439941,5.445667743682861,63.51277160644531,17.077960968017575,580296,3.147125244140625,2.2508745193481445,2.9831604957580566,63.51277160644531,8.420557260513306,4.104958324249992,1.815155396385594,0.9490189847075122,outputs/figures/uncertainty_heatmaps/heatmap_images/p009_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p009_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p009_scratch_thin_uncertainty_compact.png,ok,
p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,4,"2026,2027,2028,2029",16,8,167,142,527,683,360,541,92273,19790,768,768,data/processed/clean/p010_clean.png,data/processed/masked/p010_loss_large_damaged.png,data/processed/masks/p010_loss_large_mask.png,589824,5.795176982879639,3.3350369930267334,6.9098429679870605,65.55490112304688,20.957514095306397,92273,17.14738655090332,14.903828620910645,10.253619194030762,61.94761657714844,37.32229614257812,194760,10.836265563964844,7.414342880249023,9.67416763305664,61.94761657714844,30.677000999450645,19790,7.825124740600586,6.651029586791992,4.915998935699463,51.7056884765625,17.467861080169676,497551,3.68985915184021,2.870319366455078,2.9614522457122803,65.55490112304688,9.269616603851318,2.9589064444402307,1.3502822692413163,0.6367120721893101,outputs/figures/uncertainty_heatmaps/heatmap_images/p010_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p010_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p010_loss_large_uncertainty_compact.png,ok,
p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,4,"2026,2027,2028,2029",16,8,18,92,738,691,720,599,19716,15848,768,768,data/processed/clean/p010_clean.png,data/processed/masked/p010_loss_small_damaged.png,data/processed/masks/p010_loss_small_mask.png,589824,3.1813223361968994,2.4005937576293945,2.8605880737304688,60.03730392456055,8.291695499420166,19716,9.026156425476074,7.334481239318848,5.996313571929932,51.09991455078125,21.18356227874756,431280,3.501018762588501,2.6414952278137207,2.9908933639526367,60.03730392456055,8.84997172355651,15848,6.773672103881836,5.539705276489258,4.424667835235596,37.66731262207031,15.751647758483887,570108,2.9791910648345947,2.3325722217559814,2.4495339393615723,60.03730392456055,7.471174335479737,2.8372341571316597,2.129200177397741,0.9364631246487984,outputs/figures/uncertainty_heatmaps/heatmap_images/p010_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p010_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p010_loss_small_uncertainty_compact.png,ok,
p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,4,"2026,2027,2028,2029",16,8,0,20,768,747,768,727,48195,94161,768,768,data/processed/clean/p010_clean.png,data/processed/masked/p010_mixed_damage_damaged.png,data/processed/masks/p010_mixed_damage_mask.png,589824,4.872225761413574,3.5290253162384033,4.7710065841674805,76.78975677490234,12.614584589004513,48195,11.822221755981445,8.705855369567871,9.958589553833008,76.78975677490234,34.50956802368163,558336,5.043548107147217,3.712414264678955,4.846464157104492,76.78975677490234,12.889538288116455,94161,6.550951957702637,5.411801815032959,4.748480796813965,59.76040267944336,15.537635803222656,541629,4.253804683685303,3.3006649017333984,3.3589956760406494,59.76040267944336,10.52730350494384,2.426451956587282,1.3445501635286525,0.8730721611143957,outputs/figures/uncertainty_heatmaps/heatmap_images/p010_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p010_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p010_mixed_damage_uncertainty_compact.png,ok,
p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,4,"2026,2027,2028,2029",16,8,0,116,768,747,768,631,10545,63880,768,768,data/processed/clean/p010_clean.png,data/processed/masked/p010_scratch_thin_damaged.png,data/processed/masks/p010_scratch_thin_mask.png,589824,3.652310371398926,2.7102720737457275,3.6242690086364746,87.8553237915039,9.44533176422119,10545,13.19255256652832,8.848538398742676,11.8478422164917,87.8553237915039,36.44228439331052,484608,3.9015209674835205,2.9175045490264893,3.787776231765747,87.8553237915039,9.909651184082028,63880,6.1975908279418945,4.757177829742432,5.224697589874268,72.33354949951172,16.329432201385494,579279,3.4786429405212402,2.6709747314453125,3.0219483375549316,72.33354949951172,8.878966903686523,3.612111564700929,1.696895986580435,0.952449977482153,outputs/figures/uncertainty_heatmaps/heatmap_images/p010_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p010_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p010_scratch_thin_uncertainty_compact.png,ok,
p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,4,"2026,2027,2028,2029",16,8,0,144,323,445,323,301,49885,10576,768,768,data/processed/clean/p011_clean.png,data/processed/masked/p011_loss_large_damaged.png,data/processed/masks/p011_loss_large_mask.png,589824,4.662737846374512,1.199358582496643,11.168102264404297,85.53619384765625,34.53424320220947,49885,38.24580001831055,37.81229782104492,14.67510986328125,85.53619384765625,60.90542373657227,97223,20.874053955078125,13.218913078308105,20.81867790222168,85.53619384765625,57.594700241088866,10576,4.813465118408203,3.0071096420288086,5.279903411865234,49.6590690612793,16.35024356842041,539939,1.5599974393844604,1.117646336555481,1.589470386505127,49.6590690612793,4.079689788818359,8.202434105538238,1.0323259138035457,0.33456683335773646,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p011_loss_large_uncertainty_compact.png,ok,
p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,4,"2026,2027,2028,2029",16,8,24,165,710,617,686,452,24080,18886,768,768,data/processed/clean/p011_clean.png,data/processed/masked/p011_loss_small_damaged.png,data/processed/masks/p011_loss_small_mask.png,589824,2.446918249130249,1.2024047374725342,4.610377788543701,63.72123336791992,7.930068969726542,24080,19.667593002319336,18.480510711669922,11.236969947814941,63.72123336791992,40.195252609252925,310072,3.526540517807007,1.637618064880371,6.025660991668701,63.72123336791992,15.393522405624392,18886,5.020888805389404,3.3686771392822266,4.976591110229492,51.72056579589844,14.564289331436157,565744,1.7139474153518677,1.1517146825790405,1.9042922258377075,51.72056579589844,4.837801456451416,8.037699227970997,2.0519233883906147,0.7004514388482621,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p011_loss_small_uncertainty_compact.png,ok,
p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,4,"2026,2027,2028,2029",16,8,0,104,768,664,768,560,44361,49747,768,768,data/processed/clean/p011_clean.png,data/processed/masked/p011_mixed_damage_damaged.png,data/processed/masks/p011_mixed_damage_mask.png,589824,3.510373115539551,1.2383626699447632,7.467641830444336,87.87361907958984,19.156488513946524,44361,24.741758346557617,23.805795669555664,13.997818946838379,87.87361907958984,50.96318435668945,430080,4.545158386230469,1.6844825744628906,8.51465129852295,87.87361907958984,24.715697002410877,49747,4.385313987731934,2.887479782104492,4.750566482543945,57.89542770385742,13.236221122741695,545463,1.7836830615997314,1.1461325883865356,2.173543930053711,57.89542770385742,5.05072574615478,7.048184754649056,1.2492444053387923,0.5081177976844202,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p011_mixed_damage_uncertainty_compact.png,ok,
p011_scratch_thin,p011,p011_scratch_thin,scratch_thin,landscape_natural,4,"2026,2027,2028,2029",16,8,0,104,768,664,768,560,10323,58281,768,768,data/processed/clean/p011_clean.png,data/processed/masked/p011_scratch_thin_damaged.png,data/processed/masks/p011_scratch_thin_mask.png,589824,1.7573590278625488,1.0991612672805786,2.4034972190856934,60.33335494995117,5.237326979637138,10323,9.219170570373535,6.921708583831787,7.5680437088012695,60.33335494995117,24.379153442382812,430080,2.145772695541382,1.369267463684082,2.7090139389038086,60.33335494995117,6.32330868244171,58281,3.828702211380005,2.3337149620056152,4.174643039703369,53.21506881713867,11.88420581817627,579501,1.6244374513626099,1.082076072692871,1.9621210098266602,53.21506881713867,4.594850063323975,5.246037020179259,2.1786681770145284,0.9243628742697853,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p011_scratch_thin_uncertainty_compact.png,ok,
