original_case_id,case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,seed_a,seed_b,seed_pair,clip_model_name,dinov2_model_name,feature_target_size,bbox_margin,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,pairwise_clip_similarity,pairwise_dinov2_similarity,pairwise_clip_uncertainty_distance,pairwise_dinov2_uncertainty_distance
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2027,2026_2027,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,114,5,425,353,311,348,0.9163681268692017,0.8282002806663513,0.08363187313079834,0.17179971933364868
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2028,2026_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,114,5,425,353,311,348,0.9635551571846008,0.8887633085250854,0.03644484281539917,0.11123669147491455
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2029,2026_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,114,5,425,353,311,348,0.9230067729949951,0.8715788722038269,0.07699322700500488,0.1284211277961731
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2027,2028,2027_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,114,5,425,353,311,348,0.9109086394309998,0.7733432054519653,0.08909136056900024,0.22665679454803467
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2027,2029,2027_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,114,5,425,353,311,348,0.9204373359680176,0.8926864266395569,0.07956266403198242,0.10731357336044312
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2028,2029,2028_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,114,5,425,353,311,348,0.9048793315887451,0.819983959197998,0.09512066841125488,0.18001604080200195
p009_loss_small,p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2027,2026_2027,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,74,12,608,725,534,713,0.9849240779876709,0.9756289124488831,0.015075922012329102,0.024371087551116943
p009_loss_small,p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2028,2026_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,74,12,608,725,534,713,0.9861709475517273,0.9614087343215942,0.013829052448272705,0.03859126567840576
p009_loss_small,p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2029,2026_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,74,12,608,725,534,713,0.9912083148956299,0.9813883900642395,0.008791685104370117,0.018611609935760498
p009_loss_small,p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2027,2028,2027_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,74,12,608,725,534,713,0.9826697111129761,0.9608762264251709,0.017330288887023926,0.0391237735748291
