original_case_id,case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,seed_a,seed_b,seed_pair,lpips_net,lpips_target_size,bbox_margin,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,pairwise_lpips_distance
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2027,2026_2027,alex,256,16,114,5,425,353,311,348,0.37014734745025635
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2028,2026_2028,alex,256,16,114,5,425,353,311,348,0.3445571959018707
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2029,2026_2029,alex,256,16,114,5,425,353,311,348,0.40303850173950195
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2027,2028,2027_2028,alex,256,16,114,5,425,353,311,348,0.38635188341140747
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2027,2029,2027_2029,alex,256,16,114,5,425,353,311,348,0.3666713833808899
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2028,2029,2028_2029,alex,256,16,114,5,425,353,311,348,0.3640161156654358
p009_loss_small,p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2027,2026_2027,alex,256,16,74,12,608,725,534,713,0.07670120894908905
p009_loss_small,p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2028,2026_2028,alex,256,16,74,12,608,725,534,713,0.08349323272705078
p009_loss_small,p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2029,2026_2029,alex,256,16,74,12,608,725,534,713,0.05877850949764252
p009_loss_small,p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2027,2028,2027_2028,alex,256,16,74,12,608,725,534,713,0.10955764353275299
