case_id,painting_id,mask_id,mask_type,clean_filename,clean_path,mask_filename,mask_path,damaged_filename,damaged_path,damage_fill_strategy,damage_fill_r,damage_fill_g,damage_fill_b,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,status,issue,model_name,restoration_method,hf_model_id,inference_mode,restored_filename,restored_path,prompt,negative_prompt,seed,num_inference_steps,guidance_scale,inference_size,device,case_runtime_seconds,restored_width,restored_height,restored_mode,category,title,uncertainty_selection_role,mean_sd_metric_wins,total_sd_metric_wins,sd_overall_wins,sd_zero_metric_win_cases,disagreement_cases,strength_score,weakness_score,overall_metric_vote,stable_diffusion_inpainting_metric_wins,mixed_metric_outcome,stable_diffusion_inpainting_mse_improvement,winner_mse_improvement,stable_diffusion_inpainting_psnr_improvement,winner_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,winner_ssim_improvement,stable_diffusion_inpainting_lpips_improvement,winner_lpips_improvement,stable_diffusion_inpainting_clip_improvement,winner_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_dinov2_improvement,uncertainty_num_seeds,uncertainty_seeds,uncertainty_generation_expected_outputs
p031_loss_large,p031,p031_loss_large,loss_large,p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,p031_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_loss_large_mask.png,p031_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_loss_large_damaged.png,white_fill,255,255,255,83367,14.1896,14.1342,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p031_loss_large_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p031_loss_large_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.90783950034529,768,768,RGB,abstraction_surrealism,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,0.0,0,0,4,3,-1.0,7.0,lama,0,True,15065.325927734377,lama,8.255180764984829,lama,-0.1514314211573308,opencv_telea,0.1551523804664611,lama,0.1481353044509887,lama,0.0635701417922973,lama,4,"2026,2027,2028,2029",4
p031_loss_small,p031,p031_loss_small,loss_small,p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,p031_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_loss_small_mask.png,p031_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_loss_small_damaged.png,white_fill,255,255,255,22150,3.7701,3.7554,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p031_loss_small_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p031_loss_small_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.240535899996758,768,768,RGB,abstraction_surrealism,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,0.0,0,0,4,3,-1.0,7.0,lama,0,False,17307.213989257812,lama,10.831684929484013,lama,-0.27655894988303,lama,0.0372164100408554,lama,0.0327880382537841,lama,0.0023928880691528,lama,4,"2026,2027,2028,2029",4
p031_mixed_damage,p031,p031_mixed_damage,mixed_damage,p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,p031_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_mixed_damage_mask.png,p031_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_mixed_damage_damaged.png,white_fill,255,255,255,48010,8.1716,8.1397,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p031_mixed_damage_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p031_mixed_damage_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.797129199840128,768,768,RGB,abstraction_surrealism,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,0.0,0,0,4,3,-1.0,7.0,lama,0,True,16620.9189453125,lama,11.136058567816614,lama,-0.2410346312058882,opencv_telea,0.1159544736146926,lama,0.031994879245758,lama,0.0817086696624755,lama,4,"2026,2027,2028,2029",4
p031_scratch_thin,p031,p031_scratch_thin,scratch_thin,p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,p031_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_scratch_thin_mask.png,p031_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_scratch_thin_damaged.png,white_fill,255,255,255,15636,2.6614,2.651,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p031_scratch_thin_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p031_scratch_thin_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.864496000111103,768,768,RGB,abstraction_surrealism,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,0.0,0,0,4,3,-1.0,7.0,opencv_telea,0,True,18595.332397460938,opencv_telea,11.24604673227149,opencv_telea,-0.2571735904821831,opencv_telea,0.1264384090900421,lama,0.0165656208992004,opencv_telea,0.0226385593414306,opencv_telea,4,"2026,2027,2028,2029",4
p037_loss_large,p037,p037_loss_large,loss_large,p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,p037_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_loss_large_mask.png,p037_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_loss_large_damaged.png,white_fill,255,255,255,47216,10.6182,8.0051,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p037_loss_large_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p037_loss_large_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.755772900767624,768,768,RGB,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,1.0,4,1,3,1,1.25,3.0,stable_diffusion_inpainting,4,True,32135.70556640625,stable_diffusion_inpainting,13.917993769741576,stable_diffusion_inpainting,0.0675870679054061,opencv_telea,0.3427233397960663,stable_diffusion_inpainting,0.1687482595443725,stable_diffusion_inpainting,0.0161963701248168,lama,4,"2026,2027,2028,2029",4
p037_loss_small,p037,p037_loss_small,loss_small,p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,p037_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_loss_small_mask.png,p037_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_loss_small_damaged.png,white_fill,255,255,255,22216,4.996,3.7665,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p037_loss_small_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p037_loss_small_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.658099500462413,768,768,RGB,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,1.0,4,1,3,1,1.25,3.0,lama,0,False,25585.7314453125,lama,13.47329425603014,lama,-0.1754760485816866,lama,0.0904728472232818,lama,0.0566115975379943,lama,-0.0033158063888549,lama,4,"2026,2027,2028,2029",4
p037_mixed_damage,p037,p037_mixed_damage,mixed_damage,p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,p037_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_mixed_damage_mask.png,p037_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_mixed_damage_damaged.png,white_fill,255,255,255,48626,10.9353,8.2442,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p037_mixed_damage_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p037_mixed_damage_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.807153400033712,768,768,RGB,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,1.0,4,1,3,1,1.25,3.0,lama,0,False,21733.58935546875,lama,10.37805539080938,lama,-0.1631902572000519,lama,0.1514014154672622,lama,0.1607309579849243,lama,0.003908634185791,lama,4,"2026,2027,2028,2029",4
p037_scratch_thin,p037,p037_scratch_thin,scratch_thin,p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,p037_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_scratch_thin_mask.png,p037_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_scratch_thin_damaged.png,white_fill,255,255,255,12338,2.7746,2.0918,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p037_scratch_thin_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p037_scratch_thin_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,7.981811599805951,768,768,RGB,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,1.0,4,1,3,1,1.25,3.0,opencv_telea,0,False,19806.36828613281,opencv_telea,12.572466354418928,opencv_telea,-0.1745834234708793,opencv_telea,0.1940653175115585,opencv_telea,0.1726832389831543,opencv_telea,-0.0182195305824279,opencv_telea,4,"2026,2027,2028,2029",4
p021_loss_large,p021,p021_loss_large,loss_large,p021_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p021_clean.png,p021_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p021_loss_large_mask.png,p021_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p021_loss_large_damaged.png,white_fill,255,255,255,49986,10.0286,8.4747,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p021_loss_large_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p021_loss_large_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.747884100303054,768,768,RGB,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,0.5,2,0,3,1,-0.25,3.5,lama,2,True,26212.961181640625,lama,14.473169042182915,lama,-0.0093335004849903,lama,0.3764849305152893,stable_diffusion_inpainting,0.1872813105583191,lama,0.1043593287467956,stable_diffusion_inpainting,4,"2026,2027,2028,2029",4
p021_loss_small,p021,p021_loss_small,loss_small,p021_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p021_clean.png,p021_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p021_loss_small_mask.png,p021_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p021_loss_small_damaged.png,white_fill,255,255,255,17382,3.4873,2.947,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p021_loss_small_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p021_loss_small_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.55385640077293,768,768,RGB,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,0.5,2,0,3,1,-0.25,3.5,lama,0,False,36244.25830078125,lama,17.2259426798553,lama,-0.2712728828616737,lama,0.0858667269349098,lama,0.035118818283081,lama,-0.0138382911682128,lama,4,"2026,2027,2028,2029",4
