original_case_id,case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,num_seed_outputs,seeds,image_height,image_width,mask_pixel_count,mask_fraction,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,bbox_pixel_count,full_std_mean,full_std_max,full_variance_mean,full_mad_mean,masked_std_mean,masked_std_max,masked_variance_mean,masked_mad_mean,bbox_std_mean,bbox_std_max,bbox_variance_mean,bbox_mad_mean,visual_selection_reason,uncertainty_grid_figure_path
p031_loss_large,p031_loss_large,p031,p031_loss_large,loss_large,abstraction_surrealism,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,83367,0.1413421630859375,408,239,740,699,332,460,152720,0.025787748396396637,0.26634323596954346,0.0023412422742694616,0.022473029792308807,0.10873526334762573,0.26634323596954346,0.015094321221113205,0.09531685709953308,0.06774807721376419,0.26634323596954346,0.008526984602212906,0.059286609292030334,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p031_loss_large.png
p037_loss_small,p037_loss_small,p037,p037_loss_small,loss_small,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,22216,0.037665473090277776,131,148,766,605,635,457,290195,0.010070329532027245,0.3449684679508209,0.0005565743776969612,0.008696143515408039,0.08757559210062027,0.3449684679508209,0.012356937862932682,0.07556495070457458,0.014829367399215698,0.3449684679508209,0.001081830938346684,0.012808188796043396,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_loss_small.png
p037_mixed_damage,p037_mixed_damage,p037,p037_mixed_damage,mixed_damage,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,48626,0.08244154188368055,0,78,768,689,768,611,469248,0.014190769754350185,0.31814277172088623,0.0012116619618609548,0.012410585768520832,0.08735967427492142,0.31814277172088623,0.013229879550635815,0.07732012122869492,0.017026115208864212,0.31814277172088623,0.0015198730397969484,0.01490334514528513,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_mixed_damage.png
p037_scratch_thin,p037_scratch_thin,p037,p037_scratch_thin,scratch_thin,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,12338,0.020918104383680556,0,78,768,689,768,611,469248,0.009023403748869896,0.27231281995773315,0.00023918120132293552,0.00781488697975874,0.05023855343461037,0.27231281995773315,0.0044510201551020145,0.04386205971240997,0.010492732748389244,0.27231281995773315,0.00029725636704824865,0.009092784486711025,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_scratch_thin.png
p026_loss_large,p026_loss_large,p026,p026_loss_large,loss_large,architecture_structured,View of a Village along a River,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,44723,0.0758243136935764,264,156,527,465,263,309,81267,0.014036284759640694,0.22631125152111053,0.0008452082402072847,0.012138638645410538,0.08345761895179749,0.22631125152111053,0.009391417726874352,0.07222787290811539,0.053656063973903656,0.22631125152111053,0.005386155564337969,0.046428147703409195,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p026_loss_large.png
p026_loss_small,p026_loss_small,p026,p026_loss_small,loss_small,architecture_structured,View of a Village along a River,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,13631,0.023110283745659724,244,207,713,552,469,345,161805,0.010224800556898117,0.20563583076000214,0.00024268351262435317,0.008827175945043564,0.04964113608002663,0.20563583076000214,0.0036611363757401705,0.04279010370373726,0.014969519339501858,0.20563583076000214,0.0005348476697690785,0.01292854081839323,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p026_loss_small.png
p026_mixed_damage,p026_mixed_damage,p026,p026_mixed_damage,mixed_damage,architecture_structured,View of a Village along a River,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,41381,0.07015821668836805,0,103,768,664,768,561,430848,0.013526970520615578,0.26936522126197815,0.0005946861929260194,0.011713397689163685,0.05959201231598854,0.26936522126197815,0.005484991241246462,0.051735468208789825,0.01713060401380062,0.26936522126197815,0.000808088865596801,0.014839183539152145,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p026_mixed_damage.png
p026_scratch_thin,p026_scratch_thin,p026,p026_scratch_thin,scratch_thin,architecture_structured,View of a Village along a River,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,6537,0.011082967122395834,95,103,768,532,673,429,288717,0.009287368506193161,0.2224774956703186,0.00020153343211859465,0.008028182201087475,0.043842069804668427,0.21448321640491486,0.0029691976960748434,0.037686485797166824,0.012268466874957085,0.2224774956703186,0.00033137694117613137,0.010598965920507908,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p026_scratch_thin.png
p043_loss_large,p043_loss_large,p043,p043_loss_large,loss_large,high_texture_brushwork,The Card Players,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,55790,0.09458753797743055,179,308,510,625,331,317,104927,0.015246467664837837,0.26898419857025146,0.0010280180722475052,0.013177490793168545,0.08480453491210938,0.26898419857025146,0.009791487827897072,0.07329986244440079,0.05240452289581299,0.26898419857025146,0.00539586553350091,0.045289792120456696,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p043_loss_large.png
p043_loss_small,p043_loss_small,p043,p043_loss_small,loss_small,high_texture_brushwork,The Card Players,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,26756,0.04536268446180555,44,110,663,655,619,545,337355,0.01176223810762167,0.26715269684791565,0.00042005639988929033,0.010165024548768997,0.06368698924779892,0.26715269684791565,0.006067229434847832,0.05512594059109688,0.015293996781110764,0.26715269684791565,0.0006756632938049734,0.013214556500315666,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p043_loss_small.png
p041_mixed_damage,p041_mixed_damage,p041,p041_mixed_damage,mixed_damage,high_texture_brushwork,Wheat Field with Cypresses,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,41902,0.0710415310329861,69,90,768,705,699,615,429885,0.019052779302001,0.2548987567424774,0.0009616236784495413,0.016497885808348656,0.07162553817033768,0.2548987567424774,0.006948869209736586,0.06221417710185051,0.02407812885940075,0.2548987567424774,0.0012922505848109722,0.020854488015174866,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p041_mixed_damage.png
p043_scratch_thin,p043_scratch_thin,p043,p043_scratch_thin,scratch_thin,high_texture_brushwork,The Card Players,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,9357,0.015864054361979168,0,62,768,705,768,643,493824,0.010852242819964886,0.26868119835853577,0.00026909506414085627,0.009374888613820076,0.044426340609788895,0.26868119835853577,0.0033961180597543716,0.03843316808342934,0.012261899188160896,0.26868119835853577,0.0003184427332598716,0.010596441105008125,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p043_scratch_thin.png
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,49885,0.0845760769314236,0,144,323,445,323,301,97223,0.018285246565937996,0.335436075925827,0.0022777351550757885,0.01611027680337429,0.14998354017734528,0.335436075925827,0.02607254683971405,0.13332690298557281,0.0818590372800827,0.335436075925827,0.013505919836461544,0.07264567166566849,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p011_loss_large.png
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,24080,0.040825737847222224,24,165,710,617,686,452,310072,0.009595757350325584,0.24988718330860138,0.00043109062244184315,0.008314112201333046,0.07712781429290771,0.24988718330860138,0.008094015531241894,0.06712237745523453,0.01382957212626934,0.24988718330860138,0.000770341488532722,0.011994827538728714,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p011_loss_small.png
p011_mixed_damage,p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,44361,0.0752105712890625,0,104,768,664,768,560,430080,0.013766170479357243,0.34460243582725525,0.0010835368884727359,0.01194191724061966,0.09702650457620621,0.34460243582725525,0.012853595428168774,0.08441224694252014,0.01782415434718132,0.34460243582725525,0.001482402323745191,0.015466819517314434,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p011_mixed_damage.png
p018_scratch_thin,p018_scratch_thin,p018,p018_scratch_thin,scratch_thin,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,11250,0.019073486328125,0,116,768,653,768,537,412416,0.009165670722723007,0.334787517786026,0.0003150908160023391,0.00793268159031868,0.06023343279957771,0.30683985352516174,0.006772871129214764,0.052342094480991364,0.01166458334773779,0.334787517786026,0.00044489611173048615,0.010094566270709038,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p018_scratch_thin.png
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,58251,0.09875996907552083,114,5,425,353,311,348,108228,0.027996577322483063,0.356485515832901,0.003158645471557975,0.024305133149027824,0.1475362777709961,0.356485515832901,0.028788316994905472,0.1290014237165451,0.08997443318367004,0.356485515832901,0.01592666655778885,0.07857660949230194,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p009_loss_large.png
p009_loss_small,p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,20955,0.035527547200520836,74,12,608,725,534,713,380742,0.014873070642352104,0.2861400842666626,0.0006636285688728094,0.012862995266914368,0.07964080572128296,0.2861400842666626,0.01052327360957861,0.06902503222227097,0.018200017511844635,0.2861400842666626,0.0009497469291090965,0.015750689432024956,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p009_loss_small.png
