original_case_id,case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,num_seed_outputs,seeds,image_height,image_width,mask_pixel_count,mask_fraction,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,bbox_pixel_count,full_std_mean,full_std_max,full_variance_mean,full_mad_mean,masked_std_mean,masked_std_max,masked_variance_mean,masked_mad_mean,bbox_std_mean,bbox_std_max,bbox_variance_mean,bbox_mad_mean,lpips_pair_count,mean_pairwise_lpips,median_pairwise_lpips,max_pairwise_lpips,range_pairwise_lpips,feature_pair_count,mean_pairwise_clip_similarity,mean_pairwise_dinov2_similarity,mean_clip_uncertainty_distance,mean_dinov2_uncertainty_distance,max_clip_uncertainty_distance,max_dinov2_uncertainty_distance,range_pairwise_clip_similarity,range_pairwise_dinov2_similarity,masked_std_mean_normalized,masked_mad_mean_normalized,bbox_std_mean_normalized,mean_pairwise_lpips_normalized,mean_clip_uncertainty_distance_normalized,mean_dinov2_uncertainty_distance_normalized,combined_uncertainty_index,uncertainty_rank_high_to_low,refined_overall_metric_vote,refined_metric_ties,refined_mixed_metric_outcome,refined_stable_diffusion_metric_wins,stable_diffusion_inpainting_mse_improvement,stable_diffusion_inpainting_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,stable_diffusion_inpainting_lpips_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_mse_improvement,winner_psnr_improvement,winner_ssim_improvement,winner_lpips_improvement,winner_clip_improvement,winner_dinov2_improvement,stable_diffusion_won_refined_vote,stable_diffusion_zero_metric_wins,stable_diffusion_low_metric_wins,uncertainty_performance_quadrant
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,49885,0.0845760769314236,0,144,323,445,323,301,97223,0.018285246565937996,0.335436075925827,0.0022777351550757885,0.01611027680337429,0.14998354017734528,0.335436075925827,0.02607254683971405,0.13332690298557281,0.0818590372800827,0.335436075925827,0.013505919836461544,0.07264567166566849,6,0.44739577174186707,0.45904311537742615,0.49280020594596863,0.12406459450721741,6,0.767004132270813,0.3977402572830518,0.232995867729187,0.6022597427169482,0.31550687551498413,0.8233110904693604,0.20014190673828125,0.5338128805160522,1.0,1.0,0.9004974010891864,1.0,1.0,1.0,0.9834162335148644,1,lama,0,True,0,18524.33337402344,14.04316734735312,-0.159793581787485,0.0501744747161865,-0.1398811936378479,0.0464450120925903,lama,lama,opencv_telea,lama,lama,lama,False,True,True,high_uncertainty_low_reference_performance
p009_loss_large,p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,58251,0.09875996907552083,114,5,425,353,311,348,108228,0.027996577322483063,0.356485515832901,0.003158645471557975,0.024305133149027824,0.1475362777709961,0.356485515832901,0.028788316994905472,0.1290014237165451,0.08997443318367004,0.356485515832901,0.01592666655778885,0.07857660949230194,6,0.3724637379248937,0.3684093654155731,0.40303850173950195,0.058481305837631226,6,0.92319256067276,0.8457593421141306,0.07680743932723999,0.15424065788586935,0.09512066841125488,0.22665679454803467,0.05867582559585571,0.11934322118759155,0.9786427280942412,0.957905628156207,1.0,0.8239960006014264,0.3155764023716034,0.23938764798718992,0.719251401201778,2,lama,0,True,2,14208.7275390625,4.9100932973564575,-0.2402667881871068,0.1938725113868713,0.1394519209861755,0.1910362839698791,lama,lama,opencv_telea,lama,stable_diffusion_inpainting,stable_diffusion_inpainting,False,False,False,high_uncertainty_high_reference_performance
p031_loss_large,p031_loss_large,p031,p031_loss_large,loss_large,abstraction_surrealism,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,83367,0.1413421630859375,408,239,740,699,332,460,152720,0.025787748396396637,0.26634323596954346,0.0023412422742694616,0.022473029792308807,0.10873526334762573,0.26634323596954346,0.015094321221113205,0.09531685709953308,0.06774807721376419,0.26634323596954346,0.008526984602212906,0.059286609292030334,6,0.31811081369717914,0.3171663284301758,0.33506304025650024,0.03451347351074219,6,0.9334937632083893,0.7445869743824005,0.06650623679161072,0.2554130256175995,0.09604185819625854,0.3002370595932007,0.04450720548629761,0.10495758056640625,0.6400260709228454,0.6300967116445693,0.7274833896464743,0.6963292130369543,0.2704361434454418,0.41115031432126037,0.5625869738362576,3,lama,0,True,0,15065.325927734377,8.255180764984829,-0.1514314211573308,0.1551523804664611,0.1481353044509887,0.0635701417922973,lama,lama,opencv_telea,lama,lama,lama,False,True,True,high_uncertainty_low_reference_performance
p018_loss_large,p018_loss_large,p018,p018_loss_large,loss_large,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,55845,0.0946807861328125,202,144,546,490,344,346,119024,0.01497077289968729,0.3170560300350189,0.0013454094296321273,0.012989365495741367,0.08840785920619965,0.3170560300350189,0.0132394228130579,0.07712108641862869,0.048079315572977066,0.3170560300350189,0.006369458045810461,0.041894033551216125,6,0.28835925956567127,0.29080407321453094,0.3081102967262268,0.04539692401885986,6,0.8795900146166483,0.6111375739177068,0.12040998538335164,0.3888624260822932,0.16211813688278198,0.5780703127384186,0.08919519186019897,0.3128984272480011,0.4626287079509162,0.45302048739565565,0.486325358187957,0.6264473180885429,0.5066444074909235,0.6377104449023513,0.5287961206693911,4,lama,0,True,1,19818.33935546875,11.440559586906357,-0.070290414840571,0.251799464225769,0.0589441657066345,0.0909712314605712,lama,lama,lama,lama,lama,stable_diffusion_inpainting,False,False,True,high_uncertainty_high_reference_performance
p026_loss_large,p026_loss_large,p026,p026_loss_large,loss_large,architecture_structured,View of a Village along a River,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,44723,0.0758243136935764,264,156,527,465,263,309,81267,0.014036284759640694,0.22631125152111053,0.0008452082402072847,0.012138638645410538,0.08345761895179749,0.22631125152111053,0.009391417726874352,0.07222787290811539,0.053656063973903656,0.22631125152111053,0.005386155564337969,0.046428147703409195,6,0.34533925851186115,0.3450138568878174,0.38427430391311646,0.07902336120605469,6,0.9059257109959921,0.7667086124420166,0.09407428900400798,0.2332913875579834,0.10777699947357178,0.2950150966644287,0.023875653743743896,0.13143384456634521,0.41942793518629173,0.40540108242069683,0.5547016846119865,0.7602847063109384,0.3912403903916976,0.37359389825642964,0.4841082828630068,5,lama,0,True,0,15584.4873046875,9.242691882745962,-0.19169074574643,0.1832665205001831,0.1421346664428711,0.1255364418029785,lama,lama,opencv_telea,lama,lama,lama,False,True,True,high_uncertainty_low_reference_performance
p037_loss_large,p037_loss_large,p037,p037_loss_large,loss_large,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,47216,0.0800509982638889,137,154,438,480,301,326,98126,0.01374635100364685,0.3013257086277008,0.0014593953965231776,0.01199693325906992,0.09862791001796722,0.3013257086277008,0.01745021343231201,0.08670981973409653,0.05274970084428787,0.3013257086277008,0.008481314405798912,0.04629989713430405,6,0.264517975350221,0.27129465341567993,0.28751426935195923,0.07199336588382721,6,0.9583626985549927,0.8685344556967417,0.041637301445007324,0.13146554430325827,0.05903518199920654,0.15309655666351318,0.03550928831100464,0.03789705038070679,0.5518191451967562,0.5463353967011855,0.5435887964639365,0.5704477520956227,0.1614595286394623,0.20072181142810627,0.4290620717541782,6,stable_diffusion_inpainting,0,True,4,32135.70556640625,13.917993769741576,0.0675870679054061,0.3427233397960663,0.1687482595443725,0.0161963701248168,stable_diffusion_inpainting,stable_diffusion_inpainting,opencv_telea,stable_diffusion_inpainting,stable_diffusion_inpainting,lama,True,False,False,high_uncertainty_high_reference_performance
p010_loss_large,p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,92273,0.1564415825737847,167,142,527,683,360,541,194760,0.022726183757185936,0.25707805156707764,0.001289675710722804,0.01972731202840805,0.06724465638399124,0.24293184280395508,0.006327817682176828,0.058490149676799774,0.042495161294937134,0.24293184280395508,0.0033452496863901615,0.03690806403756142,6,0.33247319360574085,0.3346400707960129,0.36212339997291565,0.06325727701187134,6,0.9028877913951874,0.7198851108551025,0.09711220860481262,0.28011488914489746,0.12083065509796143,0.4233192205429077,0.061013221740722656,0.272510826587677,0.2779373254910763,0.27170934700380245,0.4178582285512752,0.7300642683400439,0.4045526689245074,0.4530872387799173,0.42586817951510375,7,tie_lama_opencv_telea,0,True,0,37876.23669433594,17.4499989396261,-0.153183345946177,0.2825779616832733,0.1569653153419494,0.2559692859649658,opencv_telea,opencv_telea,opencv_telea,lama,lama,lama,False,True,True,high_uncertainty_low_reference_performance
p043_loss_large,p043_loss_large,p043,p043_loss_large,loss_large,high_texture_brushwork,The Card Players,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,55790,0.09458753797743055,179,308,510,625,331,317,104927,0.015246467664837837,0.26898419857025146,0.0010280180722475052,0.013177490793168545,0.08480453491210938,0.26898419857025146,0.009791487827897072,0.07329986244440079,0.05240452289581299,0.26898419857025146,0.00539586553350091,0.045289792120456696,6,0.30169521768887836,0.3045652359724045,0.31367722153663635,0.027308553457260132,6,0.9448924859364828,0.865868349870046,0.05510751406351725,0.134131650129954,0.06192445755004883,0.1720215082168579,0.013813257217407227,0.09377014636993408,0.43118247786383845,0.41583338907308687,0.5393565811329788,0.6577714640636741,0.22048650954648744,0.20524812089173705,0.4116464237619671,8,lama,0,True,2,23756.100830078125,10.839566969984334,-0.0505575392861803,0.2766716778278351,0.0919470787048339,0.1781947016716003,lama,lama,lama,stable_diffusion_inpainting,lama,stable_diffusion_inpainting,False,False,False,high_uncertainty_high_reference_performance
p021_loss_large,p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,49986,0.084747314453125,375,161,705,464,330,303,99990,0.014526503160595894,0.27312859892845154,0.0008686755318194628,0.012552601285278797,0.0732654333114624,0.27312859892845154,0.008488873019814491,0.06321953982114792,0.043949298560619354,0.27312859892845154,0.004469673149287701,0.03793678432703018,6,0.2510444050033887,0.25633613765239716,0.26878467202186584,0.039271384477615356,6,0.9519835213820139,0.7885116040706635,0.048016478617986046,0.21148839592933655,0.06818979978561401,0.24036067724227905,0.04088526964187622,0.04838484525680542,0.3304806774382613,0.3177344681403351,0.4356873571393809,0.5388003758477976,0.189413324162669,0.33657845559993343,0.3581157763880629,9,lama,0,True,2,26212.961181640625,14.473169042182915,-0.0093335004849903,0.3764849305152893,0.1872813105583191,0.1043593287467956,lama,lama,lama,stable_diffusion_inpainting,lama,stable_diffusion_inpainting,False,False,False,high_uncertainty_high_reference_performance
p011_mixed_damage,p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,44361,0.0752105712890625,0,104,768,664,768,560,430080,0.013766170479357243,0.34460243582725525,0.0010835368884727359,0.01194191724061966,0.09702650457620621,0.34460243582725525,0.012853595428168774,0.08441224694252014,0.01782415434718132,0.34460243582725525,0.001482402323745191,0.015466819517314434,6,0.15176211297512054,0.15340620279312134,0.16450032591819763,0.025475919246673584,6,0.9540075262387594,0.7076906561851501,0.04599247376124064,0.29230934381484985,0.052484750747680664,0.36153775453567505,0.013870000839233398,0.1321294903755188,0.5378436714746417,0.5239760516641353,0.11536783397134999,0.3056013076213306,0.18054405836721546,0.473790046231799,0.35618716155507874,10,lama,0,True,0,21250.73583984375,9.572920686858668,-0.216708177258931,0.1531517803668975,-0.0448507666587829,-0.1016206741333007,lama,lama,opencv_telea,lama,lama,lama,False,True,True,high_uncertainty_low_reference_performance
